[2026-06-09T05:31:42.791Z] Import start: reset=true, maxFiles=10, existingRead=32424, existingLoaded=0, existingSkippedForCap=0, candidates=10, skippedByProgress=0
[2026-06-09T05:31:42.823Z] adventure-eng-gen-fic.csv: rows=1000, rowLimitHit=no, added=992, duplicates=992, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=992
[2026-06-09T05:31:42.848Z] adventure-eng-gen-nonfic.csv: rows=1000, rowLimitHit=no, added=944, duplicates=944, digitalSkipped=0, missingTitle=0, missingAuthor=56, rejected=0, totalBooks=1936
[2026-06-09T05:31:42.880Z] adventure-eng-ya-fic.csv: rows=1000, rowLimitHit=no, added=920, duplicates=973, digitalSkipped=0, missingTitle=0, missingAuthor=27, rejected=0, totalBooks=2856
[2026-06-09T05:31:42.913Z] adventure-eng-ya-nonfic.csv: rows=1000, rowLimitHit=no, added=940, duplicates=956, digitalSkipped=0, missingTitle=0, missingAuthor=44, rejected=0, totalBooks=3796
[2026-06-09T05:31:42.918Z] adventure-spa-gen-fic.csv: rows=133, rowLimitHit=no, added=131, duplicates=133, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3927
[2026-06-09T05:31:42.919Z] adventure-spa-gen-nonfic.csv: rows=28, rowLimitHit=no, added=27, duplicates=27, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3954
[2026-06-09T05:31:42.939Z] adventure-spa-ya-fic.csv: rows=574, rowLimitHit=no, added=541, duplicates=566, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=4495
[2026-06-09T05:31:42.955Z] adventure-spa-ya-nonfic.csv: rows=37, rowLimitHit=no, added=33, duplicates=34, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=4528
[2026-06-09T05:31:42.979Z] biography-eng-gen-fic.csv: rows=483, rowLimitHit=no, added=472, duplicates=476, digitalSkipped=0, missingTitle=0, missingAuthor=6, rejected=0, totalBooks=5000
[2026-06-09T05:31:42.979Z] Stopping before biography-eng-gen-nonfic.csv: MAX_BOOKS=5000 already reached.
[2026-06-09T05:31:43.002Z] Import complete: processed=9, rows=5255, added=5000, duplicates=5101, totalBooks=5000, capReached=true
[2026-06-09T05:40:41.904Z] Import start: reset=true, balanced=true, maxFiles=78, maxRowsPerFile=150, maxBooks=5000, existingRead=5000, existingLoaded=0, existingSkippedForCap=0, candidates=77, skippedByProgress=0
[2026-06-09T05:40:41.912Z] mystery-eng-gen-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=65
[2026-06-09T05:40:41.915Z] fantasy-eng-gen-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=50, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=35, rejected=0, totalBooks=130
[2026-06-09T05:40:41.919Z] romance-eng-gen-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=72, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=13, rejected=0, totalBooks=195
[2026-06-09T05:40:41.924Z] adventure-eng-gen-fic.csv: genre=Adventure, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=260
[2026-06-09T05:40:41.927Z] scifi-eng-gen-fic.csv: genre=Science Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=325
[2026-06-09T05:40:41.930Z] horror-eng-gen-fic.csv: genre=Horror, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=56, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=27, rejected=0, totalBooks=390
[2026-06-09T05:40:41.932Z] historical-eng-gen-fic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=77, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=455
[2026-06-09T05:40:41.941Z] crime-eng-gen-fic.csv: genre=Crime, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=65, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=18, rejected=0, totalBooks=520
[2026-06-09T05:40:41.944Z] biography-eng-gen-fic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=80, duplicates=68, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=585
[2026-06-09T05:40:41.947Z] drama-eng-gen-fic.csv: genre=Drama, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=5, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=650
[2026-06-09T05:40:41.949Z] adventure-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=77, duplicates=65, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=715
[2026-06-09T05:40:41.952Z] mystery-eng-ya-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=79, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=780
[2026-06-09T05:40:41.955Z] fantasy-eng-ya-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=81, duplicates=15, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=845
[2026-06-09T05:40:41.959Z] romance-eng-ya-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=910
