Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/a3254dbb-ceed-481a-c504-c65ea2043d04-eng,"The adventures of Tom Sawyer","Twain, Mark, 1835-1910",9781435136151,,"Black and White Classics; Signet Classic; Interactive Media; Knopf Doubleday Publishing Group; Bendon, Inc; Book-of-the-Month Club; Lerner Publishing Group; Reader's Digest Association; Duke Classics; Blackstone Publishing; LRS; Barnes & Noble Classics; The American Publishing Company; Penguin Publishing Group; Barnes & Noble; Children's Classics; Project Gutenberg; Baronet Books/Playmore; Grosset & Dunlap; Sterling Pub; Brilliance Audio; Penguin Books; Puffin; Blackstone Audio; Dover Publications; CCS Books; Vintage Classic; Dodd, Mead; University of California Press; Tantor Media, Inc; Courage Books; Random House Publishing Group; Simon & Schuster Books for Young Readers","1876 - 2024","New York; Philadelphia, Pa; Hartford, CT; Ashland, Ohio; Berkeley; Berkshire, UK; Grand Haven, Michigan; Los Angeles, CA; Pleasantville, N.Y; New York, N.Y; [United States]; London; Mineola, N.Y; New York, N. Y; Hartford, Connecticut; New York, New York; [Ashland, OR]","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Arcade Children's Area: CHILDREN FICTION Twain, M. - On Shelf,Book::Franklin Children's: CHILDREN FICTION Twain, M. - In Transit,Book::McKinley Children's Area: CHILDREN FICTION Twain, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/37be382e-06fc-5e63-3c32-436c9c03f5fa-eng,"The adventures of Huckleberry Finn","Twain, Mark, 1835-1910",9780141334844,,"Charles L. Webster and Company; Interactive Media; Recorded Books; Lerner Publishing Group; Lebooks Editora; Modern Pub; Bantam Dell; Duke Classics; Blackstone Publishing; Thorndike Press; Books on Tape; Barnes & Noble Classics; Xist Publishing; Start Publishing LLC; Oxford University Press; Morrow; Librofilio; Penguin Publishing Group; EdCon Publishing; Barnes & Noble; Re-Image Publishing; Project Gutenberg; Aladdin Paperbacks; Grosset & Dunlap; Penguin Classics, an imprint of Penguin Books; Sterling Pub; Brilliance Audio; Puffin; Bendon Inc; Dover Publications; Distributed by Recorded Books; Blackstone Audiobooks; BBC Audiobooks America; Tantor Media, Inc; Random House Publishing Group; Start Classics; Simon & Schuster Books for Young Readers; Findaway Voices","1885 - 2025","New York; Grand Haven, Mich; New York, N.Y; Prince Frederick, MD; United States; Ashland, Ohio; London; Ashland, OR; Oxford; Waterville, Me","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Arden-Dimick Children's Area: CHILDREN FICTION Twain, M. - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN FICTION Twain, M. - Checked Out,Book::Franklin Children's: CHILDREN FICTION Twain, M. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/ef59cd7d-768a-6221-ddab-dfed392d7f19-eng,"Adventure of the busts of Eva Perón","Gamerro, Carlos, 1962-",9781908276506,,"And Other Stories",2015,London,eBook;Book,"Book::Central: FICTION Gamerro, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aba70055-6967-807a-198e-978d06a1382f-eng,"The adventure of the peculiar protocols: adapted from the journals of John H. Watson, M.D","Meyer, Nicholas, 1945-",9781250228956,,"St. Martin's Publishing Group; Minotaur Books; Macmillan Audio",2019,"New York",eAudiobook;Book;eBook,"Book::Arcade: MYSTERY Meyer, N. - On Shelf,Book::Central: MYSTERY Meyer, N. - On Shelf,Book::Belle Cooledge: MYSTERY Meyer, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/92bd8d43-dca3-a7f1-7f6e-847d5ffc76ad-eng,"The adventures of Sherlock Holmes","Doyle, Arthur Conan, 1859-1930",9780895772770,,"Stradivari Audio Books; Dover Publications; George Newnes, Limited; Reader's Digest Association; Quality Paperback Book Club; Harper and Brothers; Barnes & Noble Books; Morrow; Barnes & Noble; Media Books [distributor]; Findaway Voices","1891 - 2025","S.L; London; New York; Pleasantville, N.Y; Englewood Cliffs, NJ; Mineola, N.Y","Audiobook - CD;Book;eAudiobook;eBook","Book::Carmichael: MYSTERY Doyle, A. - Checked Out,Book::Central: MYSTERY Doyle, A. - On Shelf,Book::Fair Oaks: MYSTERY Doyle, A. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/72f01cd7-28c2-3844-df56-827a071c6461-eng,"The adventure zone: the eleventh hour","McElroy, Clint, 1955-",9781250793799,,"First Second",2023,"New York","Graphic Novel/Manga","Graphic Novel/Manga::Arcade: GRAPHIC NOVEL McElroy, C. v.5 - On Shelf,Graphic Novel/Manga::Carmichael: GRAPHIC NOVEL McElroy, C. v.5 - On Shelf,Graphic Novel/Manga::Central: GRAPHIC NOVEL McElroy, C. v.5 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a2301544-1949-2f11-0502-cf0221ba24ba-eng,"The adventure zone: the suffering game","McElroy, Clint, 1955-",9781250861726,,"First Second",2024,"New York","Graphic Novel/Manga","Graphic Novel/Manga::Central: GRAPHIC NOVEL McElroy, C. v.6 - On Shelf,Graphic Novel/Manga::Franklin: GRAPHIC NOVEL McElroy, C. v.6 - On Shelf,Graphic Novel/Manga::North Natomas: GRAPHIC NOVEL McElroy, C. v.6 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bad916d2-1875-59f0-fad1-f62d2dc49edc-eng,"The adventures of Huckleberry Finn: (Tom Sawyer's comrade)","Twain, Mark, 1835-1910",9780451523730,,"Signet Classic; Charles L. Webster and Company; Barnes & Noble Books; Charles L Webster","1891 - 1993","New York",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/04ae7e10-912d-8d9b-017b-858431863a24-eng,"The adventures of Pinocchio","Collodi, Carlo, 1826-1890",9780968876800,,"Lauscher Audiobooks; Simply Read; Creative Editions; Knopf; HarperCollins; Dreamscape Media; HarperCollins Canada; Duke Classics; HarperCollins Publishers; Start Classics; Turnaround","1988 - 2024","New York; Mankato, MN; Vancouver, B.C; London",eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/051cc3f8-8e7b-5a31-495f-b4065b818578-eng,"The adventures of John Carson in several quarters of the world: a novel of Robert Louis Stevenson","Doyle, Brian, 1956 November 6-",9781250100528,,"St. Martin's Press; St. Martin's Publishing Group",2017,"New York",eBook;Book,"Book::Central: FICTION Doyle, B. - On Shelf"
