Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/cb32129f-8a52-fad7-2ea8-e9e5eb40752c-eng,"Adventure on the horizon","Barbo, Maria S",9781546109839,,"Scholastic Inc.; Scholastic Inc","2024 - 2025","New York, NY","Easy Reader;eBook","Easy Reader::Carmichael Children's Area: EASY READER 2 Pokemon - Checked Out,Easy Reader::Central Kids Place - Lower Level: EASY READER 2 Pokemon - On Shelf,Easy Reader::Colonial Heights Children's Area: EASY READER 2 Pokemon - Checked Out"
https://catalog.saclibrary.org/GroupedWork/5d7d4e2b-c6cc-6318-323b-cc7e7b336953-eng,"Adventure School","Sanz, Monica (Romance fiction writer)",9780593722473,,"Random House Worlds; Books on Tape",2026,"New York",eAudiobook;Book;eBook,"Book::Arcade Children's Area: CHILDREN FICTION Minecraft - Checked Out,Book::Carmichael Children's Area: CHILDREN FICTION Minecraft - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Minecraft - Checked Out"
https://catalog.saclibrary.org/GroupedWork/46a8ace6-4193-ce6b-b867-50971c98ee8f-eng,"Adventure against the Endermen","Davidson, Danica",9781510728509,,"Sky Pony; Sky Pony Press",2017,"New York",eBook;Book,"Book::Carmichael Children's Area: CHILDREN FICTION Minecraft - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Minecraft - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN FICTION Minecraft - Checked Out"
https://catalog.saclibrary.org/GroupedWork/7398e80e-2f0c-6dcf-16cd-30abe7a495cc-eng,"Adventure according to Humphrey","Birney, Betty G",9780142415146,,"Books on Tape; G.P. Putnam's Sons; Penguin Young Readers Group",2009,"New York",eAudiobook;eBook;Book,"Book::Carmichael Children's Area: CHILDREN FICTION Birney, B. - Checked Out,Book::Elk Grove Kids' Place: CHILDREN FICTION Birney, B. - In Transit,Book::Franklin Children's: CHILDREN FICTION Birney, B. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/ee0ec523-200e-9239-8e24-56e885233500-eng,"Adventure on Treasure Island","Lane, Jeanette",9781338237535,,"Scholastic, Inc; Scholastic Inc.","2018 - 2021","New York",eBook;Book,"Book::Elk Grove Kids' Place: MOVING UP Pokemon - Checked Out"
https://catalog.saclibrary.org/GroupedWork/71111dbd-a660-64fa-361b-dc6f5a61d813-eng,"Adventure awaits","Kingsbury, Karen",9781665908023,,"Simon & Schuster Audio; A Paula Wiseman Book/Beach Lane Books; Simon & Schuster Books for Young Readers",2022,"New York",eAudiobook;Book;eBook,"Book::Central Kids Place - Lower Level: CHILDREN FICTION Kingsbury, K. - In Transit,Book::Belle Cooledge Children's Area: CHILDREN FICTION Kingsbury, K. - Checked Out,Book::Elk Grove Kids' Place: CHILDREN FICTION Kingsbury, K. - OFF CAMPUS"
https://catalog.saclibrary.org/GroupedWork/a3254dbb-ceed-481a-c504-c65ea2043d04-eng,"The adventures of Tom Sawyer","Twain, Mark, 1835-1910",9781435136151,,"Black and White Classics; Signet Classic; Interactive Media; Knopf Doubleday Publishing Group; Bendon, Inc; Book-of-the-Month Club; Lerner Publishing Group; Reader's Digest Association; Duke Classics; Blackstone Publishing; LRS; Barnes & Noble Classics; The American Publishing Company; Penguin Publishing Group; Barnes & Noble; Children's Classics; Project Gutenberg; Baronet Books/Playmore; Grosset & Dunlap; Sterling Pub; Brilliance Audio; Penguin Books; Puffin; Blackstone Audio; Dover Publications; CCS Books; Vintage Classic; Dodd, Mead; University of California Press; Tantor Media, Inc; Courage Books; Random House Publishing Group; Simon & Schuster Books for Young Readers","1876 - 2024","New York; Philadelphia, Pa; Hartford, CT; Ashland, Ohio; Berkeley; Berkshire, UK; Grand Haven, Michigan; Los Angeles, CA; Pleasantville, N.Y; New York, N.Y; [United States]; London; Mineola, N.Y; New York, N. Y; Hartford, Connecticut; New York, New York; [Ashland, OR]","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Arcade Children's Area: CHILDREN FICTION Twain, M. - On Shelf,Book::Franklin Children's: CHILDREN FICTION Twain, M. - In Transit,Book::McKinley Children's Area: CHILDREN FICTION Twain, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aa712ed6-445c-877b-b864-2c6a154c1f7e-eng,"The adventure and other stories","Jarvis, 1985-",9781536235449,,"Candlewick Press",2024,"Somerville, Massachusetts","Easy Reader;eBook","Easy Reader::Carmichael Children's Area: EASY READER 3 Jarvis - On Shelf,Easy Reader::Central Kids Place - Lower Level: EASY READER 3 Jarvis - Checked Out,Easy Reader::Elk Grove Kids' Place: EASY READER 3 Jarvis - Checked Out"
https://catalog.saclibrary.org/GroupedWork/cdc68336-1a7a-3ff9-6822-fabe2b69dfad-eng,"The adventures of Paddington: Paddington and the painting","Capucilli, Alyssa Satin, 1957-",9780062983077,,"Harper an imprint of HarperCollinsPublishers; HarperCollins",2020,"New York, NY","Easy Reader;eBook","Easy Reader::Colonial Heights Children's Area: EASY READER 1 Capucilli, A. - Checked Out,Easy Reader::Belle Cooledge Children's Area: EASY READER 1 Capucilli, A. - Checked Out,Easy Reader::South Natomas Children's Area: EASY READER 1 Capucilli, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/37be382e-06fc-5e63-3c32-436c9c03f5fa-eng,"The adventures of Huckleberry Finn","Twain, Mark, 1835-1910",9780141334844,,"Charles L. Webster and Company; Interactive Media; Recorded Books; Lerner Publishing Group; Lebooks Editora; Modern Pub; Bantam Dell; Duke Classics; Blackstone Publishing; Thorndike Press; Books on Tape; Barnes & Noble Classics; Xist Publishing; Start Publishing LLC; Oxford University Press; Morrow; Librofilio; Penguin Publishing Group; EdCon Publishing; Barnes & Noble; Re-Image Publishing; Project Gutenberg; Aladdin Paperbacks; Grosset & Dunlap; Penguin Classics, an imprint of Penguin Books; Sterling Pub; Brilliance Audio; Puffin; Bendon Inc; Dover Publications; Distributed by Recorded Books; Blackstone Audiobooks; BBC Audiobooks America; Tantor Media, Inc; Random House Publishing Group; Start Classics; Simon & Schuster Books for Young Readers; Findaway Voices","1885 - 2025","New York; Grand Haven, Mich; New York, N.Y; Prince Frederick, MD; United States; Ashland, Ohio; London; Ashland, OR; Oxford; Waterville, Me","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Arden-Dimick Children's Area: CHILDREN FICTION Twain, M. - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN FICTION Twain, M. - Checked Out,Book::Franklin Children's: CHILDREN FICTION Twain, M. - Checked Out"
