Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/9f767578-5988-1f03-289d-7be6ec881776-eng,"Adventure cat!: and more true stories of amazing cats!","Zoehfeld, Kathleen Weidner",9781426330520,,"Recorded Books, Inc.; National Geographic","2018 - 2019","Washington, D.C",Book;eAudiobook,"Book::Colonial Heights Children's Area: CHILDREN 636.8 N277 2018 - On Shelf,Book::Courtland Children's Area: CHILDREN 636.8 N277 2018 - On Shelf,Book::Del Paso Heights Children's Area: CHILDREN 636.8 N277 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a8b536cd-dc9c-b1b3-ab81-46ff4d7d58ae-eng,"Adventure time: pixel princesses","Corsetto, Danielle",9781608863297,,"Kaboom!, a division of Boom Entertainment, Inc",2013,"Los Angeles, CA","Graphic Novel/Manga","Graphic Novel/Manga::Central Kids Place - Lower Level: CHILDREN GRAPHIC NOVEL Adventure Time - Checked Out,Graphic Novel/Manga::Colonial Heights Children's Area: CHILDREN GRAPHIC NOVEL Adventure Time - On Shelf,Graphic Novel/Manga::Elk Grove Kids' Place: CHILDREN GRAPHIC NOVEL Adventure Time - Checked Out"
https://catalog.saclibrary.org/GroupedWork/d4fc0fe1-7544-d14e-b55a-aec3caadfbde-eng,"Adventure time: Vol. 7 : Four castles","Trujillo, Josh",9781608867974,,"KaBoom!, a division of Boom Entertainment, Inc",2016,"Los Angeles, CA","Graphic Novel/Manga","Graphic Novel/Manga::Elk Grove Kids' Place: CHILDREN GRAPHIC NOVEL Adventure Time v.7 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a7af70dc-75ff-a2df-6087-6b4871abc6f9-eng,"Adventures in Python","Richardson, Craig",9781118951798,,Wiley,2015,"Chichester, West Sussex",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/094ab158-51c2-35e6-e855-bad6691f4e62-eng,"Adventure Time: Down memory lane","North, Ryan, 1980-",9781637158524,,"Oni-Lion Forge Publishing Group, LLC",2025,"Portland, OR","Graphic Novel/Manga","Graphic Novel/Manga::Carmichael Children's Area: CHILDREN GRAPHIC NOVEL Adventure Time - Checked Out,Graphic Novel/Manga::Central Kids Place - Lower Level: CHILDREN GRAPHIC NOVEL Adventure Time - On Shelf,Graphic Novel/Manga::Franklin Children's: CHILDREN GRAPHIC NOVEL Adventure Time - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1e574e33-8566-6b07-360d-05d89ca6bcc0-eng,"Adventure awaits: the beginner's guide to the great outdoors","Furneaux, Ky",9781400347162,,"Applesauce Press",2025,"Nashville, TN",Book,"Book::Central Kids Place - Lower Level: CHILDREN 796.5 F987 2025 - On Shelf,Book::Del Paso Heights Children's Area: CHILDREN 796.5 F987 2025 - On Shelf,Book::Galt Children's Area: CHILDREN 796.5 F987 2025 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/aa0204b2-6962-eb6e-c4dc-28b5504e09ca-eng,"The Adventure Time encyclopaedia: inhabitants, lore, spells, and ancient crypt warnings of the land of Ooo circa 19.56 b.g.e. - 501 a.g.e","Olson, Martin",9781419705649,,Abrams,2013,"New York",Book,"Book::Pocket-Greenhaven Kids' Place: CHILDREN 791.4572 A244 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2dffd669-fd1b-9ab3-d213-66e581cf1dfa-eng,"Adventures in Raspberry Pi","Philbin, Carrie Anne",9781119269069,,Wiley,"2013 - 2017","Hoboken, NJ; Chichester, West Sussex",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN 004.165 R226zp 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/228359a8-e0f5-b6c7-ef47-bd5865b7ab53-eng,"The adventures of Dr. sloth: Rebecca Cliffe and her quest to protect sloths","Eszterhas, Suzi",9781541589391,,"Millbrook Press; Lerner Publishing Group",2022,Minneapolis,eBook;Book;eAudiobook,"Book::Central Kids Place - Lower Level: CHILDREN BIOGRAPHY Cliffe, R. 2022 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN BIOGRAPHY Cliffe, R. 2022 - On Shelf,Book::Fair Oaks Children's Area: CHILDREN BIOGRAPHY Cliffe, R. 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/39c13ca0-0e96-06d6-5ffe-e913328def63-eng,"Adventure beneath the sea: living in an underwater science station","Mallory, Kenneth",9781590786079,,"Boyds Mills Press",2010,"Honesdale, Pa",Book,"Book::Fair Oaks Children's Area: CHILDREN 551.46 M255 2010 - On Shelf,Book::Folsom Children's Area: CHILDREN 551.46 MAL 2010 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/95013e00-1e47-df7d-3ac1-7987318896b6-eng,"Adventure Bible daily devotional for kids: a 365-day guide to understanding the Bible","Kyle, Sherry",9780310181255,,Zonderkidz,2025,"Grand Rapids, Michigan",Book,"Book::Carmichael Children's Area: CHILDREN 242.82 Z872 2026 - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN 242.82 Z872 2026 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 242.82 Z872 2026 - Checked Out"
