Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/1b7b91fd-af08-01fc-8fe5-53ae7bce27b3-spa,"Adventure awaits! =: ¡La aventura te espera!","Valdez, Kiara",9781546120261,,"Scholastic Inc",2025,"New York, NY","Picture Book","Picture Book::Central Kids Place - Lower Level: SPANISH PICTURE BOOK Valdez, K. - Checked Out,Picture Book::North Natomas Children's Area: SPANISH PICTURE BOOK Valdez, K. - On Shelf,Picture Book::Sylvan Oaks Children's Area: SPANISH PICTURE BOOK Valdez, K. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/3238250f-9d82-c71c-c997-eeab9088ec2b-spa,"Viaje submarino","Montgomery, R. A",9786073808316,,Molino,2021,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Montgomery, R. - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN FICTION Montgomery, R. - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Montgomery, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/96833794-b868-6e65-f6b8-4c83f99d8c5d-spa,"La abuela pirata","Mercader, Assumpta, 1966-",9788417210915,,"Editorial el Pirata","2020 - 2023","Sabadell (Barcelona)",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Mercader, A. - On Shelf,Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Mercader, A. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Mercader, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9a34c023-3bb8-385f-4e70-e404a4559aa4-spa,"La puerta del tiempo","Baccalario, Pierdomenico",9788484412922,,"Montena Mondadori; MONTENA; Montena","2006 - 2021","Barcelona; [Barcelona, Spain]",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/40d43fec-8f2f-75fd-411a-aef4c7d1cdee-spa,"Terror en el Titanic","Wallace, Jim, 1937-",9786073862479,,Molino,2025,Barcelona,Book,"Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Wallace, J. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Wallace, J. - OFF CAMPUS,Book::North Natomas Children's Area: SPANISH CHILDREN FICTION Wallace, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/75c870d1-7346-d1fe-0ea6-118643b93c55-spa,"El cuarto aprendiz","Hunter, Erin",9788418174292,,Salamandra,2021,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Hunter, E. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Hunter, E. - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION Hunter, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/23cb263e-2b3d-4ebe-e853-8c33129f6993-spa,"El reino del dragón de oro","Allende, Isabel",9780060591717,,"Penguin Random House Audio; Debolsillo; Rayo","2004 - 2023","Barcelona; New York, NY",eAudiobook;Book,"Book::Rancho Cordova: SPANISH TEEN FICTION Allende, I. - On Shelf,Book::Arbuckle Branch Library Teen Collection: SP YA Fic - On Shelf,Book::Colusa Main Branch Teen Collection: SP YA Fic - Checked Out"
https://catalog.saclibrary.org/GroupedWork/4aa166d6-e548-aa4c-0bb9-f87ea0b5957f-spa,"La elefanta del mago","DiCamillo, Kate",9788427901131,,"Lectorum Publications, Inc; Noguer","2010 - 2022","Barcelona; New Jersey, USA",Book,"Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION DiCamillo, K. - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN FICTION DiCamillo, K. - On Shelf,Book::Sacramento Public Library Children: SPANISH CHILDREN FICTION DiCamillo, K. - In Processing"
https://catalog.saclibrary.org/GroupedWork/c1e46c8f-4e82-96a4-7916-ebd6e81fc11f-spa,"La ballena perdida","Gold, Hannah",9788419521361,,"Duomo ediciones",2023,"Milan [Italy]",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Gold, H. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Gold, H. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Gold, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2ac9470f-befc-254b-71df-d0938f31f8ee-spa,"Cumbres maternales","Pilkey, Dav, 1966-",9781338767568,,"Scholastic Inc.; Graphix, un sello editorial de Scholastic",2022,"New York, NY","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC NOVEL Hombre Perro v.10 - Checked Out,Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Hombre Perro v.10 - On Shelf,Graphic Novel/Manga::North Natomas Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Hombre Perro v.10 - In Transit"
https://catalog.saclibrary.org/GroupedWork/cfbc878e-770a-2cbd-62aa-afeec992c243-spa,"Nombre en clave X: espía (casi) por casualidad","Kang, Gyeong-su, 1974-",9788419004611,,"Duomo ediciones",2022,Milán,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Kang, G. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Kang, G. - On Shelf,Book::South Natomas Children's Area: SPANISH CHILDREN FICTION Kang, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/746e4caa-71be-e0e0-1928-0a2be09e0a45-spa,"Sobreviví el naufragio del Titanic, 1912","Tarshis, Lauren",9781536457032,,"Scholastic Inc.; Scholastic Inc",2019,"New York, NY",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/574e6563-97ec-b80b-2890-bfb1b84c0686-spa,"Jack y los genios en el fin del mundo","Nye, Bill",9788468336282,,Edebe,2018,Barcelona,Book,"Book::Martin Luther King, Jr. Children's Area: SPANISH CHILDREN FICTION Nye, B. - On Shelf,Book::Rancho Children's Area: SPANISH CHILDREN FICTION Nye, B. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Nye, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4ecf7fe2-f4cb-c0db-2c95-7367ee25c2a6-spa,"El trono de fuego","Riordan, Rick",9788484418771,,"MONTENA; Knopf Doubleday Publishing Group; Vintage Español; Penguin Random House Audio; Montena","2012 - 2022","Nueva York; [Barcelona]",eAudiobook;eBook;Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Riordan, R. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Riordan, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0403e4cb-b780-be22-44c1-d830c829b68f-spa,"MikelTube: Contra el Hacker 2.0","MikelTube, 2009-",9786070789519,,Destino,2020,Barcelona,Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION MikelTube - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION MikelTube - On Shelf,Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN FICTION MikelTube - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8bed1aff-f0c1-b0da-9be5-457430d75e98-spa,"El mapa de hojas","Townsend, Yarrow",9788419004918,,"Duomo ediciones",2023,"Milán [Italia]",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Townsend, Y. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Townsend, Y. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Townsend, Y. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3a1e6567-8751-4369-f0ce-002bebb2463b-spa,"La mirada secreta","Hunter, Erin",9788498388213,,"Publicacions y Ediciones Salamandra, S.A; SALAMANDRA INFANTIL Y JUVENIL","2017 - 2018",Barcelona,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/ff95c51d-a7be-3467-d6f0-82554d6edd44-spa,"La Edad de Hielo","Reyna, Pablo C",9788424674175,,"La Galera",2023,Barcelona,Book,"Book::Carmichael Children's Area: SPANISH MOVING UP Reyna, P. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH MOVING UP Reyna, P. - On Shelf,Book::Elk Grove Kids' Place: SPANISH MOVING UP Reyna, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d9d8f74c-85ad-7848-2254-978e3921cc0f-spa,"Las increibles aventuras de 10 calcetines fugitivos: (cuatro derechos y seis izquierdos)","Bednarek, Justyna, 1970-",9788419004055,,"Duomo Ediciones",2021,Milan,Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Bednarek, J. - On Shelf,Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Bednarek, J. - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN FICTION Bednarek, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1d04fc04-3c10-760c-215b-b876c782e87a-spa,"Dias de abuelas","Mainé, Margarita",9789878450476,,"Editorial Hola Chicos",2023,Argentina,Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Maine, M. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Maine, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7bf7c58b-6e30-4dd0-b326-ceb6e2182a10-spa,"Dias de playa","Mainé, Margarita",9789874007629,,"Editorial Hola Chicos",2023,Argentina,Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Maine, M. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Maine, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ecdc3e2b-cb1b-ba9f-9ff9-10d3639a3271-spa,"MikelTube y la bruja del destino","MikelTube, 2009-",9786070769221,,Destino,2020,Barcelona,Book,"Book::Walnut Grove Children's Area: SPANISH CHILDREN FICTION MikelTube - On Shelf,Book::Grimes Branch Library Juvenile Collection: SP J Fic - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION MikelTube - On Shelf"
https://catalog.saclibrary.org/GroupedWork/15909370-c7bd-a1a2-0e3c-1e880df1e6e4-spa,"Mondragó: El arbopán","Galan, Ana",9788444149332,,Everest,2013,"León (España)",Book,"Book::South Natomas Children's Area: SPANISH CHILDREN FICTION Galan, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e03b5608-ae27-f4d4-9903-033a55900d04-spa,"Pollofrito y el ladrón de esmeraldas",Pollofrito,9786073827546,,Altea,2022,"Ciudad de México",Book,"Book::Colonial Heights Children's Area: SPANISH MOVING UP Pollofrito - On Shelf,Book::Sacramento Public Library Storage: SPANISH MOVING UP Pollofrito - On Shelf"
https://catalog.saclibrary.org/GroupedWork/eee92096-da9d-b0ea-d6d6-eb78a0ee2988-spa,"Dias de campamento","Mainé, Margarita",9789874007636,,"Editorial Hola Chicos",2023,Argentina,Book,"Book::Rancho Children's Area: SPANISH CHILDREN FICTION Maine, M. - On Shelf,Book::Walnut Grove Children's Area: SPANISH CHILDREN FICTION Maine, M. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Maine, M. - On Shelf"
