Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5be02b40-1ee5-6055-0273-459bfcc9bdd2-spa,"La isla de los libros andantes","Muñoz Puelles, Vicente",9788469836217,,"Grupo Anaya, S. A",2018,Madrid,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Munoz Puelles, V. - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Munoz Puelles, V. - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN FICTION Munoz Puelles, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2e3c4462-07c2-8056-ab99-5a0583c1e78a-spa,"Las Aventuras De Gotina/ Dropletþs Adventure","Ebel, Alex",9789681341794,,Diana/Mexico,2006,,Book,
https://catalog.saclibrary.org/GroupedWork/b60c0970-be53-0d76-e508-b7b5762d11f4-spa,"Minecraft: manual de supervivencia","McBrien, Thomas",9788418774447,,"HarperCollins Ibérica S.A",2022,Madrid,Book,"Book::Belle Cooledge Children's Area: SPANISH CHILDREN 794.84 M664zm 2025 - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN 794.84 M664zm 2025 - On Shelf,Book::North Natomas Children's Area: SPANISH CHILDREN 794.84 M664zm 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b119d750-46ff-df70-fbcf-b28ecbcdbec3-spa,"Lugares asombrosos: travesias insolitas y otras maneras extranas de conocer el mundo","Comunica, Luisito",9786073184458,,"Penguin Random House Grupo Editorial",2020,"Ciudad de Mexico",Book,"Book::Fair Oaks: SPANISH 910 L953 2020 - On Shelf,Book::Sylvan Oaks: SPANISH 910 L953 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/116feb5b-7760-e2b5-102a-21ac32ec4670-spa,"La sociedad secreta","Krpata, Mitch",9786075271125,,"Editorial Océano",2017,"Ciudad de México","Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.3 - On Shelf,Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.3 - On Shelf,Graphic Novel/Manga::Del Paso Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.3 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3049918a-fe77-b3dc-b29d-3654152ce054-spa,"¡Garfunkel en directo!: Bitmax & Co 7","Copons, Jaume, 1966-",9788491018087,,Combel,2022,"Barcelona [España / Spain]","Graphic Novel/Manga","Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC NOVEL Bitmax & Co v.7 - On Shelf,Graphic Novel/Manga::Del Paso Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Bitmax & Co v.7 - On Shelf,Graphic Novel/Manga::Orangevale: SPANISH CHILDREN GRAPHIC NOVEL Bitmax & Co v.7 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b493c821-b9f8-4aff-7f4b-28cf3853618b-spa,"Las aventuras de Pinocho / The adventures of Pinocchio",,9788415235194,,"Roca Editorial",2011,,Book,
https://catalog.saclibrary.org/GroupedWork/f7b4067a-50d8-161e-02c6-5074882bd7d8-spa,"Rita en el Polo","Valverde, Mikel 1966-",9788479421427,,"Macmillan Infantil y Juvenil",2007,Madrid,Book,
https://catalog.saclibrary.org/GroupedWork/0348a527-b6b0-2d3b-246e-7e3f7b5cf12a-spa,"Steven universe y las gemas de ccristal","Fenton, Josceline",,7503018253480,Kamite,2018,"Ciudad de México","Graphic Novel/Manga",
https://catalog.saclibrary.org/GroupedWork/95727dd5-8a50-82fd-f7da-5f72007edfe3-spa,"Roblox guia de juegos de aventuras","Wiltshire, Alex",9788417460068,,Montena,2018,"[Barcelona, ESP]",Book,
https://catalog.saclibrary.org/GroupedWork/29278a95-8d65-5328-2814-9548c795de31-spa,"Sherlock Bones y la aventura de las tablas de multiplicar","Marx, Jonny",9788491453222,,Picarona,2020,España,Book,
https://catalog.saclibrary.org/GroupedWork/eae94251-bbae-957e-353c-cb6dc6d475f8-spa,"La masia, la escuela de los sueños: 1","Torrents, Eduard, 1976-",9788418038075,,"Montena / Penguin Random House Grupo Editorial",2020,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Torrents, E. v.1 - On Shelf,Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Torrents, E. v.1 - On Shelf,Graphic Novel/Manga::Fair Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Torrents, E. v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fb19e98b-917d-dae3-d2b2-3737a382c08f-spa,"Explora la Antártida en 360°","Medvedeva, Tania",9788418830853,,"Zahorí Books",2022,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 998 M493 2022 - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN 998 M493 2022 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN 998 M493 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/81c8198d-417d-5c26-121f-a03ec01995ee-spa,"Historias increíbles: 1",,9788498255782,,"Combel Editorial",2011,Barcelona,Book,"Book::Franklin Children's: SPANISH CHILDREN 910.922 G197 2011 v.1 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 910.922 G197 2011 v.1 - On Shelf"
