Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/b49e4c29-d92e-e14a-7116-e9faf3fd5244-eng,"Biography of X: a novel","Lacey, Catherine, 1985-",9780374606176,,"Recorded Books, Inc.; Farrar, Straus and Giroux",2023,"New York",eAudiobook;Book;eBook,"Book::Carmichael: FICTION Lacey, C. - On Shelf,Book::Central: FICTION Lacey, C. - On Shelf,Book::South Natomas: FICTION Lacey, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d6e442ac-0190-1337-1744-d8edd802af09-eng,"Orlando: a biography","Woolf, Virginia, 1882-1941",9780156701600,,"Arion Press; Naxos AudioBooks; Harcourt Brace Jovanovich; HarperCollins; Lebooks Editora; Dreamscape Media; Murine Publications LLC; Blackstone Publishing; Otbebookpublishing; Open Road Media; Recorded Books, Inc.; Warbler Classics; Dover Publications; Mint Editions; Houghton Mifflin Harcourt; Naxos Audiobooks; Librofilio; Neeland Media LLC; Aude Classics","1973 - 2025","San Francisco; New York",eBook;Book;eAudiobook,"Book::Sacramento Room: 090 A712 2005w BAC - Library Use Only,Book::Central: FICTION Woolf, V. - Checked Out,Book::Woodland Public Library: FICTION Woolf - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3bcf3081-d12f-e1c2-7788-a4fe3df78f09-eng,"Che: a graphic biography","Spain (Cartoonist)",9781844671687,,Verso,2008,"New York; London","Graphic Novel/Manga","Graphic Novel/Manga::Belle Cooledge: GRAPHIC 980.033 G939zs 2008 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8a2b2989-9dac-facc-7a2d-f43918a5930f-eng,"Crapalachia: a biography of a place","McClanahan, Scott",9781937512033,,"Two Dollar Radio",2013,"[Columbus, Ohio]",Book,"Book::Carmichael: 813.6 M126 2013 - On Shelf,Book::Central: 813.6 M126 2013 - On Shelf,Book::Pocket-Greenhaven: 813.6 M126 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f34f7be9-6275-bba2-ed05-992bd8cc93b3-eng,"Trio: a novel biography of the Schumanns and Brahms","Desai, Boman",9781504915908,,AuthorHouse,2015,"Bloomington, IN",Book,"Book::Elk Grove: FICTION Desai, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8f97b71d-c3db-2b4f-b8ab-c314935df7e4-eng,"An ordinary woman: a dramatized biography of Nancy Kelsey","Holland, Cecelia, 1943-",9780312865283,,Forge,1999,"New York",Book,"Book::Central: FICTION Holland, C. - On Shelf,Book::Sacramento Room: SPE fic Holland CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/c9fd49b7-a96f-6112-a974-e60643d0bb78-eng,"Roar : American Master, the Oral Biography of Roger Orr","Wagner, Bruce",9781956763225,,"Arcade Publishing",2022,"New York",Book,"Book::Central: FICTION Wagner, B. - On Shelf,Book::Fair Oaks: FICTION Wagner, B. - On Shelf,Book::South Natomas: FICTION Wagner, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e98ab73b-843f-340e-77db-e69b47ec4ab6-eng,"Will and testament: a fragment of biography","Burgess, Anthony, 1917-1993",,,"Plain Wrapper Press",1977,Verona,Book,"Book::Sacramento Room: SPE f 090 P698 1977b BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/80611357-a15f-38b4-7548-5f39178f4acc-eng,"The life and times of Horatio Hornblower: a biography of C.S. Forester's famous naval hero","Parkinson, C. Northcote (Cyril Northcote), 1909-1993",9781590130650,,"McBooks Press","2005 - 2016","Ithaca, N.Y",eBook;Book,"Book::Rancho Cordova: FICTION Parkinson, C. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/7bef66a2-de20-bb63-d785-16302765eb93-eng,"Vagina: a new biography","Wolf, Naomi",9780061989162,,Ecco,2012,"New York",Book,"Book::Rio Linda: 306.7082 W854 2012 - Checked Out"
