Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/b066b0a0-d71f-daf7-02ac-6c84bf49f2c8-eng,"Biography of resistance: the epic battle between people and pathogens","Zaman, Muhammad H. (Muhammad Hamid)",9780062862976,,"Harper Wave, an imprint of HarperCollinsPublishers; HarperCollins; Harper Wave; Harper",2020,"New York, NY",eAudiobook;eBook;Book,"Book::Central: 616.9041 Z23 2020 - On Shelf,Book::Franklin: 616.9041 Z23 2020 - On Shelf,Book::South Natomas: 616.9041 Z23 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f9a49a7a-e669-9bc1-0402-746586146940-eng,"Biography of a dangerous idea: a new history of race from Louis XIV to Thomas Jefferson","Curran, Andrew S",9781635422245,,"Other Press",2026,"New York",eBook;Book,"Book::Central New Books - 4th Floor: 305.8009 C976 2026 - On Shelf,Book::Franklin: 305.8009 C976 2026 - On Shelf,Book::North Natomas: 305.8009 C976 2026 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aa08a3a0-d5cb-278f-ef33-458b3ff63552-eng,"Biography index",,,,"H.W. Wilson Co",1949,"New York",Book,"Book::Central Reference - 4th Floor: INDEX REFERENCE 016.92 B615 1999/00 3L - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/50f01ee1-67aa-f082-dfa3-7de848b11e13-eng,"The biography of J.R.R. Tolkien: architect of Middle-Earth","Grotta, Daniel, 1944-",9780762409563,,"Running Press",2000,Philadelphia,Book,"Book::Carmichael: BIOGRAPHY Tolkien, J. 1992 - Checked Out,Book::Central: BIOGRAPHY Tolkien, J. 1992 - On Shelf,Book::Rancho Cordova: BIOGRAPHY Tolkien, J. 1992 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/46d78375-d475-f4ed-baab-84b0077fa66d-eng,"Biography of a phantom: a Robert Johnson blues odyssey","McCormick, Mack",9781588347343,,"Smithsonian Books",2023,"Washington, DC",Book,"Book::Central: 782.421643 J688zm 2023 - On Shelf,Book::South Natomas: 782.421643 J688zm 2023 - On Shelf,Book::Valley Hi-North Laguna: 782.421643 J688zm 2023 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/91b694da-3fac-1a6b-85c4-fd8606c7a330-eng,"A biography of Thomas Wolfe","Austin, Neal F",,,"R. Beacham",1968,"[Austin, Tex.]",Book,"Book::Central: 813 W855za2 1968 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b2edc8ab-9b62-1f7f-345d-2abed59fda34-eng,"Biography of a runaway slave","Montejo, Esteban, 1860-1973",9781880684184,,"Curbstone Press",2003,"Willimantic, CT",Book,"Book::Central: 972.9105 M775zm 1994 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/884e2b94-161d-74ea-75db-e65ca7acfb32-eng,"Biography of a progressive, Franklin K. Lane, 1864-1921","Olson, Keith W., 1931-",9780313206139,,"Greenwood Press",1979,"Westport, Conn",Book,"Book::Sacramento Room: SPE 973.9092 L265zo 1979 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/986f624e-7672-a70d-0ed3-f96bb27844af-eng,"A biography of the pixel","Smith, Alvy Ray, 1943-",9780262542456,,"Tantor Media, Inc.; The MIT Press","2021 - 2022","Cambridge, Massachusetts",Book;eAudiobook,"Book::Central: 777.7 S642 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e1e9b00a-8d10-7e3b-0909-1c364f7e1850-eng,"A biography of a mountain: the making and meaning of Mount Rushmore","Davis, Matthew Justin, 1977-",9781250285102,,"St. Martin's Press",2025,"New York",Book,"Book::Colonial Heights: 978.393 M928zd 2025 - On Shelf,Book::South Natomas: 978.393 M928zd 2025 - Checked Out,Book::Rancho Cordova: 978.393 M928zd 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0aae4258-b1bd-2313-649c-24e69d36cc59-eng,"A biography of a map in motion: Augustine Herrman's Chesapeake","Koot, Christian J",9781479837298,,"New York University Press",2018,"New York",Book,"Book::Central: 912.7554 K82 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/72e2c88c-01c0-97a5-71dd-95780e7099aa-eng,"Biography of an idea: the story of mutual fire and casualty insurance","Bainbridge, John, 1913-1992",,,Doubleday,1952,"Garden City, N.Y",Book,"Book::Central Closed Stacks - Library Use Only: 368 B162 1952 INA - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/64763592-3e40-d52b-8273-5bb1389b8b95-eng,"Biography of a bank: the story of Bank of America N.T. & S.A","James, Marquis, 1891-1955",9780837138343,,Harper,1954,"New York",Book,"Book::Sacramento Room: 332.12 B218zj 1954 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/368ecd07-4f89-9d08-831b-1f128567f1b4-eng,"The biography of the late Marshall Foch","Aston, George, Sir, 1861-1938",,,,1929,,Book,"Book::Central Closed Stacks - Library Use Only: BIOGRAPHY Foch INA - Library Use Only"
