Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/03ba2fcf-a96e-7ede-5ca0-01e261c754bc-spa,"Alexandria Ocasio-Cortez: vida, epoca y ascenso de AOC","Jones, Brenda D",9780593313473,,"Penguin Random HOuse Grupo Editoria USA",2021,"Miami, FL",Book,"Book::Arcade Teen Area: SPANISH TEEN BIOGRAPHY Ocasio-Cortez, A. 2021 - On Shelf,Book::Carmichael Teen Area: SPANISH TEEN BIOGRAPHY Ocasio-Cortez, A. 2021 - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN BIOGRAPHY Ocasio-Cortez, A. 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bb67306f-9cab-bed9-22f0-d00c0303bfe0-spa,"El castillo de cristal","Walls, Jeannette",9788466332712,,Debols!llo,2016,"Barcelona, Spain",Book,"Book::Carmichael: SPANISH 362.8209 W215 2016 - On Shelf,Book::Sylvan Oaks: SPANISH 362.8209 W215 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f7afea82-0fb3-c4d7-27ce-db40a4dcad74-spa,"Dracula: Vlad Tepes, el Empalador, y sus antepasados","Märtin, Ralf-Peter",9788483835517,,"Tusquets Editores",2009,[Barcelona],Book,"Book::Rancho Cordova: SPANISH FICTION Martin, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8c8c42fb-56e5-b8cf-2ff4-1c544a2ba448-spa,"Algún día te mostraré el desierto: diario de paternidad","Cisneros, Renato, 1976-",9786073185745,,Alfaguara,2019,"Ciudad de México",Book,"Book::Courtland: SPANISH FICTION Cisneros, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e5f57311-403b-9a26-c6c0-285c4571d45b-spa,"Consumida: una novela cómica","Bechdel, Alison, 1960-",9788419940865,,"Reservoir Books",2025,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Central New Books - 4th Floor: SPANISH GRAPHIC NOVEL Bechdel, A. - On Shelf,Graphic Novel/Manga::North Natomas: SPANISH GRAPHIC NOVEL Bechdel, A. - On Shelf,Graphic Novel/Manga::Rio Linda: SPANISH GRAPHIC NOVEL Bechdel, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3b799ce3-b91e-4b8c-e65e-ec821e742416-spa,"Persépolis 2","Satrapi, Marjane, 1969-",9788484315629,,"Norma Editorial",2004,Barcelona,Book,"Book::Franklin Teen: SPANISH TEEN 955.0542 S253 2004 v.2 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/00212a59-902e-ded5-3866-fa1432b0c0e7-spa,"Trilogía de la casa de los conejos","Alcoba, Laura",9788420439280,,Alfaguara,2021,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/4c78ba2b-c5f1-9472-7de4-3d11a8741945-spa,"Pasión india","Moro, Javier, 1955-",9780061713507,,"Seix Barral; Rayo/Planeta","2009 - 2010","New York",eBook;Book,"Book::Central: SPANISH FICTION Moro, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/de257c61-06e6-a01e-91dc-9bdd4c2e9951-spa,"Los mejores narradores jóvenes en español =: The best of young Spanish language novelists",,9788418504297,,Candaya,2021,"Barcelona, España",Book,"Book::Courtland: SPANISH FICTION Mejores v.2 - On Shelf,Book::Del Paso Heights: SPANISH FICTION Mejores v.2 - On Shelf,Book::Franklin: SPANISH FICTION Mejores v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4aac9b71-36c5-9015-397f-14af301aa06e-spa,"Disfraces terribles","Barceló, Elia",9788417167042,,"Roca Editorial de Libros; SAGA Egmont",2021,Barcelona,eAudiobook;Book,"Book::Central: SPANISH FICTION Barcelo, E. - On Shelf,Book::Colonial Heights: SPANISH FICTION Barcelo, E. - On Shelf,Book::Rancho Cordova: SPANISH FICTION Barcelo, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5cd08f6c-225d-d36c-863c-d70173a3e0bf-spa,"La cabeza de mi padre","Murillo, Alma Delia, 1977-",9786073814881,,"ALFAGUARA; Penguin Random House Audio; Alfaguara",2022,"Ciudad de México",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/b5484e9d-27dc-fc97-167c-7489d151c29e-spa,"Los siete maridos de Evelyn Hugo","Reid, Taylor Jenkins",9788419030733,,"Umbriel/Ediciones Urano; Umbriel","2020 - 2023","Argentina; Madrid",Book,
https://catalog.saclibrary.org/GroupedWork/c153e7d6-e49c-416b-6155-c8a1ea4f83d6-spa,"Una vida maravillosa","Henry, Emily",9788410391109,,Titania,2025,"[Buenos Aires, Argentina]",Book,
https://catalog.saclibrary.org/GroupedWork/e32a38de-dd43-25f3-3d3d-e5e6b99ceb6e-spa,"Caterina da Vinci: el origen","Cárdenas, Erma",9786073183284,,Debolsillo,2019,"Ciudad de México",Book,"Book::Fair Oaks: SPANISH BIOGRAPHY Caterina 2019 - On Shelf,Book::Franklin: SPANISH BIOGRAPHY Caterina 2019 - On Shelf,Book::North Natomas: SPANISH BIOGRAPHY Caterina 2019 - On Shelf"
