Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/d0669d78-3abc-ce2a-2f00-235402a35d5e-spa,"León XIV: ciudadano del mundo, misionero del siglo XXI","Allen, Elise Ann",9798890985804,,"Penguin Random House Grupo Editorial; Penguin Random House Audio","2025 - 2026","Miami, FL",eAudiobook;Book,"Book::Central New Books - 4th Floor: ON ORDER - On Order,Book::Central New Books - 4th Floor: SPANISH BIOGRAPHY Leo 2026 - On Shelf,Book::Del Paso Heights: SPANISH BIOGRAPHY Leo 2026 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d106c4a4-d459-6a0a-fe7f-30996f594d23-spa,"Mi mundo adorado","Sotomayor, Sonia, 1954-",9780345804099,,"VINTAGE ESPAÑOL; Vintage Español",2013,"Nueva York",eBook;Book,"Book::Fair Oaks: SPANISH BIOGRAPHY Sotomayor, S. 2013 - On Shelf,Book::Colusa Main Branch Adult Collection: SP 347.73 Sotomayor S - On Shelf,Book::Grimes Branch Library Adult Collection: SP 347.73 Sotomayor S - On Shelf"
https://catalog.saclibrary.org/GroupedWork/db9eb1c6-0f0e-0234-4459-35f1e4b50750-spa,"Frida: una biografía de Frida Kahlo","Herrera, Hayden",9789681316846,,"Editorial Diana; TAURUS","1985 - 2019",México,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/e3da1bf0-729a-496e-ccca-c373a0e7ac16-spa,"Mi lenguaje roto: memorias","Hudes, Quiara Alegría",9780593314869,,"Vintage Espanol",2022,"Miami, FL",Book,"Book::Carmichael: SPANISH 862.7 H884 2022 - On Shelf,Book::Central: SPANISH 862.7 H884 2022 - On Shelf,Book::Colonial Heights: SPANISH 862.7 H884 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/58a1ce6b-df73-219f-723d-548427a21bf9-spa,"La liga de los capitalistas salvajes","Simmat, Benoist",9789588969398,,"Rey Naranjo Editores",2017,Bogota,Book,"Book::Carmichael: SPANISH 332.092 S592 2017 - On Shelf,Book::Central: SPANISH 332.092 S592 2017 - On Shelf,Book::Colonial Heights: SPANISH 332.092 S592 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/37ca0852-c634-788c-e6f4-3fde7f773fa7-spa,"100 dioses del Olimpo: de niños a superhéroes","Lati, Alberto",,,"Penguin Random House Group Editorial",2020,México,Book,"Book::Central: SPANISH 796.0922 L356 2020 - On Shelf,Book::Fair Oaks: SPANISH 796.0922 L356 2020 - On Shelf,Book::North Natomas: SPANISH 796.0922 L356 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f8404b47-ed11-3a0e-35f9-71f8927ca815-spa,"Mahoma: biografía del profeta","Armstrong, Karen, 1944-",9786075693071,,"Ediciones Culturales Paidós",2022,"Ciudad de México",Book,"Book::Central: SPANISH 297.63 M952za 2022 - On Shelf,Book::Belle Cooledge: SPANISH 297.63 M952za 2022 - In Transit,Book::Sacramento Public Library Storage: SPANISH 297.63 M952za 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a7887998-f633-8806-91f6-6427cc07f782-spa,"Frida: una biografia de Frida Kahlo","Herrera, Hayden",9788430623129,,Taurus,2019,Barcelona,Book,"Book::Arcade: SPANISH 709 K124 2019 - On Shelf,Book::Carmichael: SPANISH 709 K124 2019 - On Shelf,Book::Central: SPANISH 709 K124 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/38495cd5-a947-4a75-4535-b2812bbc1d28-spa,"Inquebrantable: mi historia, a mi manera","Rivera, Jenni",9781476750064,,"Atria Español; Atria Books",2013,"New York",eBook;Book,"Book::Central: SPANISH 782.42164 R621zr 2013 - On Shelf,Book::Valley Hi-North Laguna: SPANISH 782.42164 R621zr 2013 - Checked Out,Book::Grimes Branch Library Adult Collection: SP 782.42164 Rivera R - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c322e444-b46b-6525-797e-93b22423b737-spa,"Rûmî: alquimista del corazón, maestro de derviches","Bárcena, Halil, 1962-",9788425450914,,Herder,2024,Barcelona,Book,"Book::Arcade: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf,Book::Central New Books - 4th Floor: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf,Book::Fair Oaks: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf"
