Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/a9945841-39b9-4169-1185-b41ebd5b3929-spa,"El autobús de Rosa / Fabrizio Silei ; Maurizio A.C. Quarello ; traducción de Carlos Gumpert","Silei, Fabrizio, 1967-",9788416985340,,"Barbara Fiore Editora",2011,Spain,Book,"Book::Courtland Children's Area: SPANISH CHILDREN 323.092 P252zs 2011 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN 323.092 P252zs 2011 - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN 323.092 P252zs 2011 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a54e327b-8b16-dae7-05ca-20101bd8d1d2-spa,"Tito Puente: Mambo King","Brown, Monica, 1969-",9781955675734,,"Vox Publishing/Library Ideas",2023,"Vienna, VA",Read-Along,"Read-Along::Fair Oaks Children's Area: READALONG SPANISH PICTURE BOOK Brown, M. - On Shelf,Read-Along::South Natomas Children's Area: READALONG SPANISH PICTURE BOOK Brown, M. - On Shelf,Read-Along::North Natomas Children's Area: READALONG SPANISH PICTURE BOOK Brown, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c3e6333d-c48d-cf0a-d95a-d84a67f3f653-spa,"El niño que tocó las estrellas","Hernández Moreno, José",9786077443315,,"Grupo Editorial Patria",2016,"Mexico, D.F",Book,"Book::Arcade Children's Area: SPANISH CHILDREN BIOGRAPHY Hernandez Moreno, J. 2016 - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN BIOGRAPHY Hernandez Moreno, J. 2016 - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN BIOGRAPHY Hernandez Moreno, J. 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0a24b126-3d94-17a8-b1ef-505f6908d1b1-spa,"La muñeca rota: un cuento sobre Frida Kahlo","Croteau, Marie-Danielle, 1953-",9786077749127,,CIDCLI,2010,"México, D.F","Picture Book","Picture Book::Carmichael Children's Area: SPANISH PICTURE BOOK Croteau, M. - On Shelf,Picture Book::Elk Grove Kids' Place: SPANISH PICTURE BOOK Croteau, M. - On Shelf,Picture Book::South Natomas Children's Area: SPANISH PICTURE BOOK Croteau, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6c651fa4-4293-7866-c2e5-5e68612bc2a7-spa,"Viva Frida!","Morales, Yuyi",9781596436039,,"Roaring Brook Press",2014,"New York, New York","Picture Book","Picture Book::North Natomas Children's Area: SPANISH PICTURE BOOK Morales, Y. - Checked Out,Picture Book::Southgate Children's Area: SPANISH PICTURE BOOK Morales, Y. - On Shelf,Picture Book::Arbuckle Branch Library Children's Collection: SP E - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b3ae7f0c-cc7d-6dbd-1a18-8f99462f0149-spa,Hermanas,"Telgemeier, Raina",9788416363964,,"Maeva Ediciones; Scholastic Inc.; Maeva Young","2017 - 2025",Madrid,"eComic;Graphic Novel/Manga","Graphic Novel/Manga::Southgate Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - On Shelf,Graphic Novel/Manga::Folsom Children's Area: SPANISH CHILDREN GRAPHIX Telgemeier, R. - Checked Out,Graphic Novel/Manga::Sacramento Public Library Storage: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/5d3ac975-49ee-869c-893d-46c847e54542-spa,"Side by side : the story of Dolores Huerta and Cesar Chavez: Lado a lado : la historia de Dolores Huerta y César Chávez","Brown, Monica, 1969-",9781955675727,,"[VOX Publishing, a Library Ideas Company, LLC]",2010,"[Vienna, Virginia]",Read-Along,"Read-Along::Colonial Heights Children's Area: SPANISH READALONG CHILDREN BIOGRAPHY Huerta, D. 2010 - On Shelf,Read-Along::Belle Cooledge Children's Area: SPANISH READALONG CHILDREN BIOGRAPHY Huerta, D. 2010 - On Shelf,Read-Along::Rancho Children's Area: SPANISH READALONG CHILDREN BIOGRAPHY Huerta, D. 2010 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6257bf34-1d43-38e1-41d1-07f6789bcbf8-spa,"Bravo, Chico Canta! Bravo!","Mora, Pat",9781554987009,,"Groundwood Books/House of Anansi Press; Groundwood Books Ltd",2014,Toronto,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/c6927b7e-9e0e-7e30-75f1-db109b5e436b-spa,"Mi dragón y yo","Biedrzycki, David",9781580896931,,Charlesbridge,2014,"Watertown, Mass",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/026f3088-79f0-6bfb-7eb9-c2fa84072062-spa,"Mi familia =: My family","Ancona, George",9780516236872,,"Children's Press",2004,"New York","Picture Book",
https://catalog.saclibrary.org/GroupedWork/15af0ac1-6c80-9272-9774-a2b2c29e9143-spa,"Diario de Rowley, ¡un chico superamigable!: ¡Ahora hablo yo!","Kinney, Jeff",9788427218079,,"RBA Lectorum",2019,[Spain],Book,"Book::Martin Luther King, Jr. Children's Area: SPANISH CHILDREN FICTION Kinney, J. - On Shelf,Book::Arbuckle Branch Library Juvenile Collection: SP J Fic - On Shelf,Book::Colusa Main Branch Juvenile Collection: SP J Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/be155a68-2c6c-27b8-4601-fafb5c9889c1-spa,Frankenstein,"Shelley, Mary Wollstonecraft, 1797-1851",9789583056611,,"Panamericana Editorial",2018,Colombia,"Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf,Graphic Novel/Manga::McKinley: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3f1a022f-43ba-2392-c138-b72e2ac17508-spa,Hatshepsut,"Kraljič, Helena, 1971-",9788491450917,,Picarona,2017,"Barcelona - España",Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN BIOGRAPHY Hatshepsut 2017 - Checked Out,Book::South Natomas Children's Area: SPANISH CHILDREN BIOGRAPHY Hatshepsut 2017 - On Shelf,Book::North Natomas Children's Area: SPANISH CHILDREN BIOGRAPHY Hatshepsut 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8785e8a1-4800-0b7b-0cee-e4477cbee681-spa,"Senderos fronterizos","Jiménez, Francisco, 1943-",9780618226184,,"Houghton Mifflin",2002,Boston,Book,
