Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/054117a4-3112-af4d-596b-3db99fbb38e7-spa,"Mi Little Golden Book sobre el Papa Francisco","Slade, Suzanne",9780593901458,,"A Golden Book; Random House Children's Books",2024,"New York",eBook;Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN BIOGRAPHY Francis 2024 - On Shelf,Book::Pocket-Greenhaven Kids' Place: SPANISH CHILDREN BIOGRAPHY Francis 2024 - On Shelf,Book::Rancho Children's Area: SPANISH CHILDREN BIOGRAPHY Francis 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8a2c4858-1a90-d271-8e4d-5e53487793dc-spa,"Mi Little Golden Book sobre Taylor Swift","Loggia, Wendy",9780593899373,,"Random House Children's Books; Golden Books",2024,"New York",eBook;Book,"Book::Belle Cooledge Children's Area: SPANISH CHILDREN BIOGRAPHY Swift, T. 2024 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN BIOGRAPHY Swift, T. 2024 - On Shelf,Book::McKinley Children's Area: SPANISH CHILDREN BIOGRAPHY Swift, T. 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ee5d357b-401b-81ef-58ec-73fd49e8935b-spa,"Courageous history makers! : 11 women from Latin America who changed the world =: ¡Valientes creadoras de la historia! : 11 mujeres de Latinoamérica que cambiaron el mundo","Reynoso, Naibe",9781736274439,,"Con Todo Press",2021,"Los Angeles, CA",Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN 920.72 R466 2021 - Checked Out,Book::Fair Oaks Children's Area: SPANISH CHILDREN 920.72 R466 2021 - On Shelf,Book::South Natomas Children's Area: SPANISH CHILDREN 920.72 R466 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5d47b872-8a9c-cb2a-c333-876e9a779052-spa,"Lo que nunca supiste sobre Taylor Swift","Marx, Mandy R",,,"Capstone Press",2026,"North Mankato, Minnesota",Book,"Book::Carmichael Children's Area: SPANISH CHILDREN BIOGRAPHY Swift, T. 2026 - On Shelf,Book::Orangevale: SPANISH CHILDREN BIOGRAPHY Swift, T. 2026 - On Shelf,Book::Valley-Hi North Laguna Children's Area: SPANISH CHILDREN BIOGRAPHY Swift, T. 2026 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/124a4376-72bd-214a-5f28-99bf2e80b996-spa,"Fearless trailblazers : 11 Latinos who made U.S. history =: Pioneros audaces : 11 Latinos que hicieron historia en Estados Unidos","Reynoso, Naibe",9781733710350,,"Con Todo Press",2020,"Los Angeles, CA",Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN 920.71 R466 2020 - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN 920.71 R466 2020 - On Shelf,Book::Rancho Children's Area: SPANISH CHILDREN 920.71 R466 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/af8c3a59-8eb2-080c-164c-792aab27e7ee-spa,"Benjamin Franklin","Mayer, Cassie",9781432906542,,"Heinemann Library",2008,"Chicago, Ill",Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN BIOGRAPHY Franklin, B. 2008 - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN BIOGRAPHY Franklin, B. 2008 - On Shelf,Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN BIOGRAPHY Franklin, B. 2008 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3bc0e9fc-1fa3-b39a-c778-a6941ee0e519-spa,"Steve Jobs: pionero en computadoras y cofundador de Apple","Hansen, Grace",9781098204426,,"Abdo Kids Jumbo es una subdivisión de Abdo Kids",2020,"Minneapolis, Minnesota",Book,"Book::Arcade Children's Area: SPANISH CHILDREN 509 H249 2020 - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN 509 H249 2020 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN 509 H249 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6fa0fd00-f41f-fad7-025b-ea52a65ef7a1-spa,"Abraham Lincoln: 16.º presidente de los Estados Unidos de América","Hansen, Grace",9781629703794,,"Abdo Kids",2015,"Minneapolis, Minnesota",Book,"Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN BIOGRAPHY Lincoln, A. 2015 - On Shelf,Book::Walnut Grove Children's Area: SPANISH CHILDREN BIOGRAPHY Lincoln, A. 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f82e179c-e0f1-0862-2cb7-4ec2491ec0af-spa,"Barack Obama: 44o. presidente de los Estados Unidos de América","Hansen, Grace",9781629703800,,"Abdo Kids",2015,"Minneapolis, Minnesota",Book,"Book::Belle Cooledge Children's Area: SPANISH CHILDREN BIOGRAPHY Obama, B. 2015 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN BIOGRAPHY Obama, B. 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aadc191e-59e0-1309-932b-f19271cf0e95-spa,"Latinitas: una celebracion de 40 sonadoras audaces","Menéndez, Juliet",9781250796103,,GodwinBooks,2021,"New York",Book,"Book::Carmichael Children's Area: SPANISH CHILDREN 305.42 M542 2021 - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN 305.42 M542 2021 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN 305.42 M542 2021 - On Shelf"
