Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/74564832-8b1b-5b39-7c87-e4cd57f1e308-eng,"Crime and punishment","Dostoyevsky, Fyodor, 1821-1881",9780717200016,,"Grolier Enterprises Corp; Signet Classic; P.F. Collier & Son Company; Penguin; Duke Classics; Random House; Penguin Books; Liveright Publishing Corporation, a division of W.W. Norton and Company; Barnes & Noble Classics; Blackstone Audio; Alfred A. Knopf; Bantam Books; P.F. Collier and Son; Penguin Books Ltd","1917 - 2018","New York City; New York; [Ashland, Or.]; London; Danbury, Conn; Toronto","Audiobook - CD;eBook;Book","Book::Arcade: FICTION Dostoyevsky, F. - Checked Out,Book::Central: FICTION Dostoyevsky, F. - Checked Out,Book::North Natomas: FICTION Dostoyevsky, F. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/ebb88cea-52b7-edc7-25e2-30737a5f6529-eng,"Crime scene","Kellerman, Jonathan",9780399594601,,"Random House Large Print; Ballantine Books; Random House Publishing Group; Books on Tape; Random House Audio",2017,"New York; [New York]","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Carmichael: MYSTERY Kellerman, J. - On Shelf,Book::Belle Cooledge: MYSTERY Kellerman, J. - On Shelf,Book::Colusa Main Branch Adult Collection: Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ea9439f0-28a3-767e-77ef-7f10512e9cfc-eng,"Crime and cherry pits","Flower, Amanda",9781728273051,,"Poisoned Pen Press; Sourcebooks Inc; Dreamscape Media; Sourcebooks","2024 - 2025","Naperville, Illinois",eAudiobook;eBook;Book,"Book::Carmichael: MYSTERY Flower, A. - On Shelf,Book::Central: MYSTERY Flower, A. - On Shelf,Book::Belle Cooledge: MYSTERY Flower, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0c0dd2b2-3f2f-a1e1-e46b-bced5247fa36-eng,"Crime Rangoon","Chien, Vivien",9781250338808,,"St. Martin's Publishing Group; St. Martin's Paperbacks; Spotify Audiobooks","2025 - 2026","New York, NY",eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: MYSTERY Chien, V. - On Shelf,Book::Del Paso Heights: MYSTERY Chien, V. - Checked Out,Book::Elk Grove: MYSTERY Chien, V. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/f6628ce3-b213-0f69-8440-42bf1b559b4d-eng,"Crime & punctuation","Dunnett, Kaitlyn",9781496712554,,"Tantor Media, Inc.; Kensington Books",2018,"New York, NY",eBook;Book;eAudiobook,"Book::Carmichael: MYSTERY Dunnett, K. - On Shelf,Book::Central: MYSTERY Dunnett, K. - On Shelf,Book::Valley Hi-North Laguna: MYSTERY Dunnett, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a8f14cf6-bb9b-241e-66a6-b40dd7371da8-eng,"Crime school","O'Connell, Carol, 1947-",9780399149283,,"Tantor Media, Inc.; Tantor Media, Inc; Penguin Publishing Group; G.P. Putnam's Sons","2002 - 2014","New York",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/ff5666ef-09d8-aaf2-2a85-b841255f15a2-eng,"Crime of privilege: a novel","Walker, Walter",9780345541536,,"Ballantine Books; Random House Publishing Group; Books on Tape",2013,"New York",eAudiobook;eBook;Book,"Book::North Natomas: FICTION Walker, W. - On Shelf,Book::Grimes Branch Library Adult Collection: Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/347028b7-8324-a059-e031-8ee9babd68f8-eng,"Crime song","Swinson, David (Author)",9780316264211,,"Hachette Audio; Little, Brown and Company; Mullholland Books, Little, Brown and Company",2017,"New York",eBook;Book;eAudiobook,"Book::Central: FICTION Swinson, D. - On Shelf,Book::Elk Grove: FICTION Swinson, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/87214076-9eee-92af-4d61-5e61a89a4acd-eng,"Crime for the books","Young, Kate (Mystery writer)",9781639101085,,"CROOKED LANE BOOKS; Crooked Lane Books; Dreamscape Media",2022,"New York",eAudiobook;eBook;Book,"Book::Carmichael: MYSTERY Young, K. - On Shelf,Book::Central: MYSTERY Young, K. - On Shelf,Book::North Natomas: MYSTERY Young, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5fea72c6-ecb3-b3f0-82cf-0b3a85f5b75c-eng,"Crime and poetry: a magical bookshop mystery","Flower, Amanda",9780451477446,,"Tantor Media, Inc.; Tantor Media, Inc; Wheeler Publishing, a part of Gale, Cengage Learning; Obsidian; Penguin Publishing Group",2016,"Waterville, Maine; New York, New York","eAudiobook;Large Print;Book;eBook","Book::McClatchy: MYSTERY Flower, A. - On Hold Shelf,Book::Woodland Public Library: FICTION Flower, A. - On Shelf,Large Print::Central: LARGE PRINT MYSTERY Flower, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f813a2e3-548e-cf05-27cf-69c2c09dd075-eng,"Crime of the ancient marinara","Cole, Stephanie, 1950-",9780593097816,,"Recorded Books, Inc.; Berkley, an imprint of Penguin Random House LLC",2021,"New York",eAudiobook;Book,"Book::Arcade: MYSTERY Cole, S. - On Shelf,Book::Belle Cooledge: MYSTERY Cole, S. - On Shelf,Book::Fair Oaks: MYSTERY Cole, S. - On Shelf"
