Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/8a870bef-ccae-740c-ab69-fc08d5c4aaac-eng,"CrimeScene science fair projects","Harris, Elizabeth Snoke, 1973-",9781579907655,,"Lark Books",2006,"New York",Book,"Book::North Natomas Children's Area: CHILDREN 363.25 H213 2006 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5b9b8d36-26ce-1317-20fe-3419ed11436a-eng,"Organized crime","Johnson, C. M. (Cheri M.)",9781629206141,,"Lightbox Learning Inc.; Full Tilt Press","2017 - 2021","Fremont, CA",eBook;Book,"Book::Elk Grove Kids' Place: CHILDREN 364.106 J663 2017 - On Shelf,Book::Franklin Children's: CHILDREN 364.106 J663 2017 - On Shelf,Book::North Natomas Children's Area: CHILDREN 364.106 J663 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f58690d3-2bb8-05e3-49fe-7dd9d420e774-eng,"The scene of the crime","Kurkov, Lisa",9781731657183,,"Rourke Educational Media",2024,"[Vero Beach, Florida]",Book,"Book::Belle Cooledge Children's Area: CHILDREN 364.1097 K968 2024 - On Shelf,Book::Fair Oaks Children's Area: CHILDREN 364.1097 K968 2024 - On Shelf,Book::McClatchy Children's Area: CHILDREN 364.1097 K968 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e92854d2-a9f3-2dbd-f25a-b52074cbda81-eng,"Whistle-blowers: exposing crime and corruption","Doeden, Matt",9781467742092,,"Lerner Publishing Group|Lerner Publishing Group; Twenty-First Century Books",2015,Minneapolis,eBook;Book,"Book::Central Teen Area - 3rd Floor: TEEN 364.41 D649 2015 - On Shelf,Book::South Natomas Teen Area: TEEN 364.41 D649 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8340175e-c68a-c41d-b4b3-c2c836c7e91a-eng,"The 57 bus: a true story of two teenagers and the crime that changed their lives","Slater, Dashka",9780374303235,,"Recorded Books, Inc.; Farrar, Straus and Giroux (BYR); Farrar Straus Giroux",2017,"New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN 364.1555 S631 2017 - On Shelf,Book::Fair Oaks Teen Area: TEEN 364.1555 S631 2017 - In Transit,Book::Isleton Teen Area: TEEN 364.1555 S631 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/da2fedb8-d6b5-5347-66d9-ed95eb06131b-eng,"Forensic science projects with a crime lab you can build","Gardner, Robert, 1929-",9780766028067,,Enslow,2008,"Berkeley Heights, NJ",Book,"Book::North Natomas Children's Area: CHILDREN 363.25 G228 2008 - On Shelf,Book::Folsom Children's Area: CHILDREN 363.25 GAR 2008 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1bd39f38-e452-3f7b-8f31-4b7fc6efe237-eng,"Murder among friends: how Leopold and Loeb tried to commit the perfect crime","Fleming, Candace",9780593177426,,"Random House Children's Books; Anne Schwartz Books; Books on Tape",2022,"New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN 345.02523 L587zf 2022 - On Shelf,Book::Belle Cooledge Teen Area: TEEN 345.02523 L587zf 2022 - On Hold Shelf,Book::Orangevale: TEEN 345.02523 L587zf 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2643df99-b211-c733-c492-66f0fcb82abd-eng,"Science fair winners: crime scene science : 20 projects and experiments about clues, crimes, criminals, and other mysterious things","Young, Karen Romano",9781426305214,,"National Geographic",2009,"Washington, D.C",Book,"Book::Carmichael Children's Area: CHILDREN 363.25 Y73 2009 - On Shelf,Book::Folsom Children's Area: CHILDREN 363.325 YOU 2009 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/742bcce2-bd41-1dd5-6fe3-75090874b8c2-eng,"Crime-fighting aircraft","Holden, Henry M",9780766017184,,"Enslow Publishers",2002,"Berkeley Heights, NJ",Book,
https://catalog.saclibrary.org/GroupedWork/e70f72e5-c31a-7f3e-2b2b-33a3f1869e9c-eng,"Crime detection","Oxlade, Chris",9781575720906,,"Rigby Interactive Library",1997,"Crystal Lake, IL",Book,
https://catalog.saclibrary.org/GroupedWork/1e287c81-6366-39a1-335a-dd7d10cabd45-eng,"Diamond Fever!: A True Crime Story in the Wild West","Sheinkin, Steve",9781250265746,,"Roaring Brook Press; Books on Tape",2026,,eAudiobook;Book;eBook,"Book::Central Kids Place - Lower Level: ON ORDER - On Order,Book::Sacramento Public Library: ON ORDER - On Order,Book::Folsom Children's Area NEW: CHILDREN 973.8 SHE 2026 - Checked Out"
