Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/afbafd75-76cd-091b-37ec-11b8b5aedbad-spa,"Un crimen japones = A Japanese Crime","Guebel, Daniel, 1956-",9788439739975,,"Literatura Random House",2023,Barcelona,Book,"Book::Central: SPANISH FICTION Guebel, D. - On Shelf,Book::Fair Oaks: SPANISH FICTION Guebel, D. - On Shelf,Book::McKinley: SPANISH FICTION Guebel, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/72b8685e-2b4d-0cdc-a66e-a97c3ef04521-spa,"Un crimen en Buckingham Palace","Perry, Anne",9788483469910,,Debolsillo,2009,Barcelona,Book,"Book::Central: SPANISH FICTION Perry, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/34096e77-bc96-079a-0a3b-d723cd25bbd4-spa,"Crimen y castigo","Dostoyevsky, Fyodor, 1821-1881",9788491055259,,"Penguin Clásicos",2021,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/d87309e8-c57a-bec0-979f-370eb2de8990-spa,"Los crimenes de Mitford: un cadáver con clase","Fellowes, Jessica",9788417541026,,"Roca Editorial",2019,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/73a98a6c-a3b9-7835-cca6-d508dd715876-spa,2666,"Bolaño, Roberto, 1953-2003",9780307475954,,"ALFAGUARA; Penguin Random House Audio; Vintage Español","2016 - 2017","Nueva York",eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Bolano, R. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Bolano, R. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/34e07d4d-0273-310c-8fd5-161fe9945bb1-spa,"El diablo de Manhattan","Shupe, Joanna",9788417421830,,Titania,2022,Argentina,Book,"Book::Carmichael: SPANISH FICTION Shupe, J. - On Shelf,Book::Central: SPANISH FICTION Shupe, J. - On Shelf,Book::Fair Oaks: SPANISH FICTION Shupe, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9264fc4c-c0bd-c4fd-82c3-2353526bb174-spa,"Donde no hago pie","López Peiró, Belén, 1992-",9788426411075,,Lumen,2022,[Barcelona],Book,"Book::Arcade: SPANISH FICTION Lopez Peiro, B. - On Shelf,Book::Carmichael: SPANISH FICTION Lopez Peiro, B. - On Shelf,Book::Central: SPANISH FICTION Lopez Peiro, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/63a8169a-7fe8-a2d8-2d7e-7225748a6961-spa,Inframundo,"Esquinca, Bernardo, 1972-",9786078486489,,"Almadía Ediciones; Almad©Ưa","2017 - 2018","Ciudad de M©♭xico",eBook;Book,"Book::Central: SPANISH FICTION Esquinca, B. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Esquinca, B. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Esquinca, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/114b2653-f522-b7a8-2477-a6a438f436ab-spa,"La suerte del enano","Pérez Gellida, César, 1974-",9788491294603,,"Suma de Letras",2020,Barcelona,Book,"Book::Arcade: SPANISH FICTION Perez Gellida, C. - On Shelf,Book::Carmichael: SPANISH FICTION Perez Gellida, C. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Perez Gellida, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7fc94048-0811-c94a-e323-5eba03f2febc-spa,"El hijo de redencion","Rivers, Francine, 1947-",9781496445766,,"Tyndale House Publishers",2021,"Carol Stream, IL",Book,"Book::Arcade: SPANISH FICTION Rivers, F. - On Shelf,Book::Carmichael: SPANISH FICTION Rivers, F. - On Shelf,Book::Franklin: SPANISH FICTION Rivers, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ec6df842-090e-be57-ba49-6b8980c1e81d-spa,"El último lector","Toscana, David, 1961-",9786073185295,,"Penguin Random House Grupa Editorial",2019,"Ciudad de México",Book,"Book::South Natomas: SPANISH FICTION Toscana, D. - On Shelf,Book::North Sacramento-Hagginwood: SPANISH FICTION Toscana, D. - On Shelf,Book::Sylvan Oaks: SPANISH FICTION Toscana, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e3631118-002d-658f-b5ef-297f42d68c72-spa,"Alguien te vigila","Fielding, Joy",9788492915736,,"Umbriel Editores",2015,Argentina,Book,"Book::Carmichael: SPANISH FICTION Fielding, J. - On Shelf,Book::Central: SPANISH FICTION Fielding, J. - On Shelf,Book::Southgate: SPANISH FICTION Fielding, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/13d1d1ee-9e10-59a8-a1ab-999696611256-spa,"Los corruptores","Zepeda Patterson, Jorge",9786070718113,,Planeta,2013,"Mexico, D. F",Book,"Book::Central: SPANISH FICTION Zepeda Patterson, J. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Zepeda Patterson, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/781ae1c8-fc2c-bbaa-a03e-eeb3f48638cf-spa,"Milena o el femur mas bello del mundo","Zepeda Patterson, Jorge",9788408134053,,"Editorial Planeta Mexicana",2014,"Mexico, D.F",Book,"Book::Central: SPANISH FICTION Zepeda Patterson, J. - On Shelf,Book::Franklin: SPANISH FICTION Zepeda Patterson, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/70e8b0f6-0da8-695f-807a-3979bdbdd228-spa,"Amor y furia","Wetmore, Elizabeth",9780062999788,,"HarperCollins Espanol",2021,"New York",Book,"Book::Carmichael: SPANISH FICTION Wetmore, E. - On Shelf,Book::Franklin: SPANISH FICTION Wetmore, E. - On Shelf,Book::Pocket-Greenhaven: SPANISH FICTION Wetmore, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d1e5f754-c7c5-c5a7-df3e-3017fc279b56-spa,"Tierra americana: una novela","Cummins, Jeanine",9781984898029,,"Vintage Español, una división de Penguin Random House LLC",2020,"Nueva York",Book,"Book::Carmichael: SPANISH FICTION Cummins, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Cummins, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7a71eb22-5e28-25ba-694f-afedab372b1f-spa,"Perdida: (Gone girl)","Flynn, Gillian, 1971-",9780345805461,,"Knopf Doubleday Publishing Group; Vintage Español",2013,"Nueva York",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/5383a556-3b8e-59ac-796b-8ff57b43e7d8-spa,"Sesenta kilos","Palomar, Ramón (Palomar Chavaler)",9788425349331,,"Grijalbo Mondadori",2013,Barcelona,Book,"Book::Central: SPANISH FICTION Palomar, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7aceb662-f479-a201-728d-6cacc7d03de2-spa,"Cuentos completos","Bolaño, Roberto, 1953-2003",9780525435518,,"Penguin Random House Audio; Vintage Español, una división de Penguin Random House LLC","2018 - 2023","Nueva York",eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/944a17dc-a2e2-51f8-0667-3bd1b20675b9-spa,"Nudo de alacranes","Urroz Kanan, Eloy, 1967-",9786073176873,,Alfaguara,2019,"Ciudad de México",Book,"Book::Sylvan Oaks: SPANISH FICTION Urroz Kanan, E. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Urroz Kanan, E. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Urroz Kanan, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dd5f61c5-7436-a711-2151-7d67b3a6150a-spa,"Tiempo de matar","Grisham, John",9788466360326,,Debolsillo,2021,Barcelona,Book,"Book::Colonial Heights: SPANISH FICTION Grisham, J. - Checked Out,Book::Sylvan Oaks: SPANISH FICTION Grisham, J. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Grisham, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/758ebdb6-f2c6-0e21-5ced-b656227d1a6a-spa,"¿Pero qué has hecho?","Lapena, Shari, 1960-",9788410257474,,"Penguin Random House Grupo Editorial; Penguin Random House Audio",2025,Barcelona,eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/cf9f6dd6-a56f-a5d9-6e99-af1cceea890b-spa,Loba,"Alarcón, Orfa, 1979-",9786073175272,,Alfaguara,2019,"Ciudad de Mexico",Book,"Book::Carmichael: SPANISH FICTION Alarcon, O. - On Shelf,Book::Franklin: SPANISH FICTION Alarcon, O. - On Shelf,Book::Pocket-Greenhaven: SPANISH FICTION Alarcon, O. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/72114afa-9957-bf3d-2e16-3a27e64ad112-spa,"Belleza roja","Portabales Santomé, Arantza, 1973-",9788426406170,,Lumen,2019,Barcelona,Book,"Book::Central: SPANISH FICTION Portabales Santome, A. - On Shelf,Book::Isleton: SPANISH FICTION Portabales Santome, A. - On Shelf,Book::McKinley: SPANISH FICTION Portabales Santome, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e04e36c3-bc57-07b2-d516-a8fbcc95738d-spa,"El código Da Vinci","Brown, Dan, 1964-",9788496829008,,"Umbriel; Urano; FonoLibro; Editorial Planeta","2003 - 2012","Barcelona; Coral Gables, FL","Audiobook - CD;Book;eBook","Book::Central: SPANISH FICTION Brown, D. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Brown, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/58ef7a08-61bc-e5ca-af49-b1dacffd5a5e-spa,"La maestra","Moreira Valdés, Carlos Ariel, 1967-",9786070790744,,Espasa,2022,"Ciudad de México [Mexico City]",Book,"Book::Carmichael: SPANISH FICTION Moreira Valdes, C. - On Shelf,Book::Colonial Heights: SPANISH FICTION Moreira Valdes, C. - On Shelf,Book::Isleton: SPANISH FICTION Moreira Valdes, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d6338e5a-ffa7-d749-7b82-c7feac5a948c-spa,"Un abogado rebelde =: The rogue lawyer","Grisham, John",9780525433347,,"Vintage Español, una división de Penguin Random House LLC",2017,"Nueva York",Book,"Book::Sylvan Oaks: SPANISH FICTION Grisham, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5cb3a6ec-b5e9-cbc3-58fb-6b657fa9496f-spa,"La piel dorada","Montero, Carla, 1973-",9780804171847,,"Vintage Español, una division de Random House, LLC",2014,"Nueva York",Book,"Book::Central: SPANISH FICTION Montero, C. - On Shelf,Book::Colusa Main Branch Adult Collection: SP Fic - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Montero, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7b458eae-023f-6407-ae52-ff35452b2d86-spa,"Los guardianes: una novela","Grisham, John",9780593311776,,"Vintage Español, una división de Penguin Random House LLC",2020,"Nueva York",Book,"Book::Central: SPANISH FICTION Grisham, J. - On Shelf,Book::Woodland Public Library: SPANISH FICTION Grisham, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/23e1f900-25e9-ddad-6178-3dc1cace1cda-spa,"Las grandes traiciones de México","Martín Moreno, Francisco, 1946-",9786073852081,,Alfaguara,2024,Mexico,Book,"Book::Arcade: SPANISH FICTION Martin Moreno, F. - On Shelf,Book::Central: SPANISH FICTION Martin Moreno, F. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/ff479615-8b90-9760-4a3d-8e81f1c26f09-spa,"Angeles y demonios","Brown, Dan, 1964-",9788495618719,,"FonoLibro Inc.; Umbriel; Fonolibro","2004 - 2005","Argentina; Estados Unidos; [Coral Gables, FL]","eAudiobook;Audiobook - CD;Book",
https://catalog.saclibrary.org/GroupedWork/f0fab062-f73b-495b-5996-a9bfe9d482ce-spa,"La niñera de la mafia: 1","Matter, Violet",9788419441416,,"Random Comics",2025,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::North Natomas: SPANISH TEEN MANGA Ninera De v.1 - On Shelf,Graphic Novel/Manga::Orangevale: SPANISH TEEN MANGA Ninera De v.1 - On Shelf,Graphic Novel/Manga::Rancho Cordova: SPANISH TEEN MANGA Ninera De v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a8a3c486-2e6c-a4d8-f9bc-246db9554050-spa,"En un bosque muy oscuro","Ware, Ruth",9788490566909,,RBA,2017,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/a08220ee-d1f7-b233-b6aa-07ff125f5cb8-spa,"Blanco nocturno","Piglia, Ricardo",9788433902443,,"EDITORIAL ANAGRAMA",2019,"Barcelona, Spain",Book,
https://catalog.saclibrary.org/GroupedWork/2724634b-b47f-486e-b58d-4852ae2f77b3-spa,"La chica","O'Brien, Edna",9788426406354,,Lumen,2019,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/a7d0f61c-a58c-459a-58e2-a348bd8fd8ee-spa,"Luna de miel","Patterson, James, 1947-",9788495618856,,Umbriel,2005,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/776ec6fa-389e-6789-811b-7bcad3353435-spa,"El estafador","Grisham, John",9781101873137,,"Vintage Español, una división de Random House LLC",2014,"Nueva York",Book,
https://catalog.saclibrary.org/GroupedWork/1beabaa8-60b4-327c-b283-5de0fc3da8b4-spa,"El último Don","Puzo, Mario, 1920-1999",9788440666550,,"Ediciones B",1996,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/65109ea2-c2fe-3d2b-c138-4c79dc0517f3-spa,"Desde mi cielo","Sebold, Alice",9788467201178,,"Circulo de Lectores",2003,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/734c4dc1-45a3-b040-2141-8c6ff1b0a479-spa,55,"Delargy, James",9788417305970,,"Roca Editorial",2019,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/a0767cfc-a103-8335-89df-feea3b497dfc-spa,"La fábrica de botones","Santana, Sandra",9781641311601,,"País Invisible",2018,"[Puerto Rico]",Book,
https://catalog.saclibrary.org/GroupedWork/825967e0-8d16-7ce7-0360-e7c223753281-spa,"El lector","Schlink, Bernhard",9780307473103,,"Vintage Español",2008,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/056bfa79-f670-5ae3-08f4-e03cc52c9905-spa,Sicarios,"Aridjis, Homero",9789707709959,,Alfaguara,2007,"México, D.F",Book,
https://catalog.saclibrary.org/GroupedWork/950c3324-b3b4-f311-787c-b6e3f8c413b8-spa,"Tiempo de siega","Galván, Guillermo, 1950-",9788491393191,,"HarperCollins Ibérica, S.A",2019,Madrid,Book,
https://catalog.saclibrary.org/GroupedWork/7a54b151-aed7-0caa-e612-4da609ee10de-spa,"La senal de la cruz","Douaihy, Margot",9788419437846,,"Roja & Negra",2024,"Barcelona [Espana / Spain]",Book,
https://catalog.saclibrary.org/GroupedWork/070913ad-478f-f3cc-c2a7-437a245c3632-spa,"Lo que más me gusta son los monstruos","Ferris, Emil",9788417125639,,"Penguin Random House Grupo Editorial",2018,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/130c3d1b-b331-306a-0f63-3aa10d6ce5e3-spa,Lissy,"D'Andrea, Luca, 1979-",9788420435435,,"Negra Alfaguara",2021,[Barcelona],Book,
https://catalog.saclibrary.org/GroupedWork/061c3856-3e07-662c-c15f-809a99e1e581-spa,"Pandilla Paloma: El misterio de las migajas de pan","McDonald, Andrew, 1982-",9786073809207,,"Penguin Random House Grupo Editorial",2022,"Ciudad de Mexico",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION McDonald, A. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION McDonald, A. - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN FICTION McDonald, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4d68cf06-6feb-6c5c-9ecb-d69f2c40c5d5-spa,"Relatos cortos de un crimen: Vol. 2","Bankier, William",9786074158045,,,2017,"Ciudad de México : Grupo Editorial Tomo, S. A. de C. V",Book,"Book::Central: SPANISH FICTION Relatos v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dd0efd5d-1a79-0cca-c30e-0143127d4296-spa,"La familia Corleone","Falco, Edward",9788499185248,,"Roca Editorial",2012,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/3f10d422-f645-42a0-a550-8e882fbb5a92-spa,"El eco de las mentiras","Rankin, Ian",9788491871477,,"RBA Libros",2019,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/84b9db68-7eff-a4f3-d006-ac67ce4ef55f-spa,"Meridiano de sangre","McCarthy, Cormac, 1933-",9780307741172,,"Vintage Español",2010,"Nueva York",Book,
https://catalog.saclibrary.org/GroupedWork/71315703-ec40-7b71-d226-ea995a1d4370-spa,"Relatos cortos de un crimen: Vol. 1",,9786074157994,,Tomo,2017,Mexico,Book,"Book::Central: SPANISH FICTION Relatos v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ec1e1a92-b203-9c64-ee01-228b638b82e6-spa,"La grieta del silencio","Castillo, Javier, 1987-",9788491296010,,Suma,2024,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/00aab33b-b57e-0e53-ee6d-8ac01f21d3a7-spa,"La edad del vicio","Kapoor, Deepti",9786073826570,,Alfaguara,2023,"Ciudad de México",Book,"Book::Arcade: SPANISH FICTION Kapoor, D. - On Shelf,Book::Central: SPANISH FICTION Kapoor, D. - On Shelf,Book::South Natomas: SPANISH FICTION Kapoor, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/60b4fc04-a63a-6d24-7033-7c52d5cf0793-spa,Pecado,"Restrepo, Laura",9781941999790,,Alfaguara,2016,"Miami, FL",Book,"Book::Central: SPANISH FICTION Restrepo, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9d5c160d-5ef7-6ca2-3f1b-21b8dd00b40a-spa,"La Pareja De Al Lado","Lapeña, Shari, 1960-",9781945540196,,"Suma de letras",2017,"Miami, Fl",Book,"Book::Central: SPANISH FICTION Lapena, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f58a81c6-4166-a890-787c-56f780c0c1be-spa,"El linaje maldito","Cano, Rafaela",9788425360916,,Grijalbo,2022,Barcelona,Book,"Book::Arcade: SPANISH FICTION Cano, R. - On Shelf,Book::Carmichael: SPANISH FICTION Cano, R. - On Shelf,Book::Central: SPANISH FICTION Cano, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3a1cce22-ac26-6702-deeb-778e27288b4c-spa,"La habitación en llamas","Connelly, Michael, 1956-",9788491047452,,"Alianza de Novelas",2017,Madrid,Book,"Book::Carmichael: SPANISH FICTION Connelly, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3ab1342d-1e20-a0ea-549f-2e366bda6dfa-spa,"La bruja","Läckberg, Camilla, 1974-",9788417108359,,"Maeva Noir",2018,Madrid,Book,"Book::Central: SPANISH FICTION Lackberg, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d42f1fb9-d478-63a7-477e-c607527315d3-spa,"El silencio de las olas","Banzas, Ángela",9788466352956,,Debolsillo,2022,Barcelona,Book,"Book::Central: SPANISH FICTION Banzas, A. - On Shelf,Book::Colonial Heights: SPANISH FICTION Banzas, A. - On Shelf,Book::Fair Oaks: SPANISH FICTION Banzas, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5a0d2b36-bc2c-b2a0-6578-217d653ef3f7-spa,"Ciertas cosas oscuras","Moreno-García, Silvia",9788419030047,,Umbriel,2022,[Argentina],Book,"Book::Central: SPANISH FICTION Moreno-Garcia, S. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order,Book::Fair Oaks: SPANISH FICTION Moreno-Garcia, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/75604e99-5d0d-e1cb-7a2f-a53a066b8e09-spa,"Recetas para amar y matar","Andrew, Sally, 1969-",9788425354045,,Grijalbo,2016,[Barcelona],Book,"Book::Arcade: SPANISH FICTION Andrew, S. - On Shelf,Book::Walnut Grove: SPANISH FICTION Andrew, S. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Andrew, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c25faf8f-cce4-98b5-2634-7767681ea0b7-spa,Powerless,"Roberts, Lauren, 2002-",9788410190399,,"Alfaguara Infantil; ALFAGUARA IJC; Penguin Random House Audio; Alfaguara","2024 - 2025",Barcelona,eAudiobook;Book;eBook,"Book::McClatchy Teen Area: SPANISH TEEN FICTION Roberts, L. - On Shelf,Book::North Sacramento-Hagginwood Teen Area: SPANISH TEEN FICTION Roberts, L. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/55ba6074-38ce-4289-c319-3cc40857202f-spa,"Hay quienes eligen la oscuridad","Donlea, Charlie",9789878474113,,"Motus; BookaVivo",2022,[México],eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/3ae15909-d995-d65c-af19-26857e3adc19-spa,"La muerte me da","Rivera Garza, Cristina, 1964-",9786073867566,,"RANDOM HOUSE; Literatura Random House; Storyside","2019 - 2025","Ciudad de Mexico",eAudiobook;Book;eBook,"Book::Arcade: SPANISH FICTION Rivera Garza, C. - On Shelf,Book::Central New Books - 4th Floor: SPANISH FICTION Rivera Garza, C. - On Shelf,Book::Elk Grove: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/f57df41a-a2f5-52d3-27d1-9b841766fa16-spa,"El museo de los espejos","Montero Manglano, Luis",9788401022272,,"Plaza Janés",2019,Barcelona,Book,"Book::Arcade: SPANISH FICTION Montero Manglano, L. - On Shelf,Book::Courtland: SPANISH FICTION Montero Manglano, L. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Montero Manglano, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/60d4108d-53d3-ec50-007f-a28c22ccca34-spa,"Un Rio Helado","Lawhon, Ariel",9791387595210,,"Stefano Books",2025,Argentina,Book,"Book::Arcade: SPANISH FICTION Lawhon, A. - On Shelf,Book::Central New Books - 4th Floor: SPANISH FICTION Lawhon, A. - On Shelf,Book::Rancho Cordova: SPANISH FICTION Lawhon, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/95dfbac9-8320-3580-4a08-e07eb1019a5f-spa,"Quién no","Piñeiro, Claudia, 1960-",9789877385076,,"ALFAGUARA; Penguin Random House Audio; Alfaguara","2018 - 2019","Buenos Aires",eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Pineiro, C. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Pineiro, C. - Checked Out,Book::Southgate: SPANISH FICTION Pineiro, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ba92d689-2ae4-935e-f47b-a655a20c91b7-spa,"Tras la puerta","McFadden, Freida",9798890983848,,"SUMA; Suma; Penguin Random House Audio",2025,"Miami, FL",eAudiobook;Book;eBook,"Book::Colonial Heights: SPANISH FICTION McFadden, F. - Checked Out,Book::McKinley: SPANISH FICTION McFadden, F. - Checked Out,Book::South Natomas: SPANISH FICTION McFadden, F. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/d5b01dc4-1289-51ae-87b6-256e3fdef90f-spa,"La pareja de al lado","Lapena, Shari, 1960-",9781945540196,,"SUMA; Suma de Letras",2017,Barcelona,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/090abde5-ee6d-4eeb-3c77-501ddd4b0746-spa,"El túnel","Sábato, Ernesto R",9788432216428,,"Seix Barral",2003,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/6b3b72b9-b202-6020-10d3-e6d9245a5ecf-spa,Cross,"Patterson, James, 1947-",9788466638999,,"Ediciones B/Grupo Zeta",2008,Barcelona,Book,
