Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/db30a821-3763-80c1-7cd3-4d263b8d9d35-spa,"Inocentes: increíbles casos de true crime y condenas injustas","Grisham, John",9798890983909,,"Penguin Random House Grupo Editorial USA",2025,"Miami, FL",Book,"Book::Carmichael: SPANISH 345.0122 G869 2025 - On Shelf,Book::Central New Books - 4th Floor: SPANISH 345.0122 G869 2025 - On Shelf,Book::Colonial Heights: SPANISH 345.0122 G869 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/adc9145f-737a-8879-8fbc-1b65f8f6c8c5-spa,"Tokyo noir : en los bajos fondos de Japón","Adelstein, Jake",9788418216886,,Principal,2024,Barcelona,Book,"Book::Arcade: SPANISH 364.106 A231 2025 - On Shelf,Book::Carmichael: SPANISH 364.106 A231 2025 - On Shelf,Book::Central New Books - 4th Floor: SPANISH 364.106 A231 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6baba3c8-155f-6337-5e2b-2e22b4edb2ed-spa,"La ira de Mexico: siete voces contra la impunidad",,9786073148856,,Debate,2016,"Ciudad de Mexico",Book,"Book::Central: SPANISH 320.972 C119 2016 - On Shelf,Book::Sacramento Public Library Storage: SPANISH 320.972 C119 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fda31bfe-a12d-981f-ed38-5d064b544519-spa,"Las homicidas","Trabucco Zerán, Alia",9788426407573,,Lumen,2020,"Santiago de Chile",Book,"Book::Colonial Heights: SPANISH 364.1523 Z58 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d623d3df-dfa0-a8ac-c904-36aa91e39d0b-spa,"Personalidades peligrosas: un criminólogo del FBI muestra cómo identificar a las personas malvadas ocultas entre nosotros","Navarro, Joe, 1953-",9786074809329,,B,2016,Barcelona,Book,"Book::Central: SPANISH 613.66 N322 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cc0e97e5-08b5-1226-79dc-c472a0def60c-spa,"Los hijos de la ira: las victimas de la alternancia mexicana","Ruiz Parra, Emiliano",9786077357612,,"Editorial Oceano de México",2015,"México, D.F",Book,"Book::Central: SPANISH 364.972 R934 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dbe5df28-79cf-b472-dc4f-8d8a5e4f5aa3-spa,"Esclavas del poder: un viaje al corazón de la trata sexual de mujeres y niñas en el mundo","Cacho, Lydia, 1963-",9786073131803,,"Debolsillo; Penguin Random House Audio","2015 - 2024","éxico, D.F",eAudiobook;Book,"Book::Carmichael: SPANISH 364.1534 C119 2015 - On Shelf,Book::Central: SPANISH 364.1534 C119 2015 - On Shelf,Book::Sylvan Oaks: SPANISH 364.1534 C119 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f25fd844-d464-14c7-87e1-53a41ea59d39-spa,"Todo lo que necesitas saber sobre narcotráfico","González, Cecilia, 1971-",9789501202076,,Paidós,2015,"México, D.F",Book,"Book::Galt: SPANISH 363.45098 G643 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7ab4a645-4fec-cd6c-05db-a44960a0ffa2-spa,"La masacre de allende: crónica de un crimen de estado","Cedillo, Juan Alberto",9786077135968,,"Editorial Terracota",2024,"Cuidad de Mexico",Book,"Book::Central: SPANISH 364.106 Z61zc 2024 - On Shelf,Book::Colonial Heights: SPANISH 364.106 Z61zc 2024 - On Shelf,Book::Belle Cooledge: SPANISH 364.106 Z61zc 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/864702ab-c269-dde3-6d81-b5f31dee7c85-spa,"El invencible verano de Liliana: una hermana en busca de justicia","Rivera Garza, Cristina, 1964-",9781644734346,,"Vintage Español",2023,"Miami, FL",Book,"Book::Arcade: SPANISH 362.882 R621 2023 - On Shelf,Book::Carmichael: SPANISH 362.882 R621 2023 - Checked Out,Book::Central: SPANISH 362.882 R621 2023 - On Shelf"
