Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/d4c07b22-d912-fb60-88b1-5eb95ad117c7-spa,"El crimen es cosa de damas","Stevens, Robin, 1988-",9788419599469,,"Editorial Alma",2024,Spain,Book,
https://catalog.saclibrary.org/GroupedWork/4e3a7ad9-52c7-f38e-10fc-8766d4af126e-spa,"Pepito y la calle más aburrida del mundo","Valenzuela, José Ignacio, 1972-",9786070129988,,"Editorial Santillana",2016,"México, D.F",Book,"Book::North Natomas Children's Area: SPANISH MOVING UP Valenzuela, J. - On Shelf,Book::Rancho Children's Area: SPANISH MOVING UP Valenzuela, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH MOVING UP Valenzuela, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4ebfc162-2d0c-e1ab-19de-98dcf62fa177-spa,"El misterio de la huida del avestruz","McDonald, Andrew, 1982-",9786073809214,,"Penguin Random House Grupo Editorial",2022,"Ciudad de Mexico",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION McDonald, A. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION McDonald, A. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION McDonald, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/13434bc6-372a-0916-29de-54c27ca7b846-spa,"El retorno de Rachel Price","Jackson, Holly, 1992-",9786073931434,,"Cross Books",2025,"Ciudad de México",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Jackson, H. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Jackson, H. - Checked Out,Book::Pocket-Greenhaven Teen Area: SPANISH TEEN FICTION Jackson, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/548cc7df-dba8-1618-4c4a-516ce46c2e8d-spa,"Leigh Howard y el misterio de la mansión Simmons-Pierce","Warner, Shawn M",9780063390317,,"HarperCollins Espanol",2024,"New York",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Warner, S. - On Shelf,Book::Colonial Heights: SPANISH TEEN FICTION Warner, S. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Warner, S. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/44ebd24d-edbc-1e1c-b228-11a4ba9f271c-spa,"Las heroínas: una historia de amor y justicia","Grey, Melissa",9788419252876,,"Urano World",2024,Madrid,Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Grey, M. - On Shelf,Book::Belle Cooledge Teen Area: SPANISH TEEN FICTION Grey, M. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Grey, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a346b701-73f0-854d-9cf3-3ace6157e76b-spa,"El delito de la limonada","Davies, Jacqueline, 1962-",9781328594440,,"Houghton Mifflin Harcourt",2019,Boston,Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Davies, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Davies, J. - On Shelf,Book::Sutter County Main Branch Children's Area: SPANISH CHILDREN FICTION Davies, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0b327668-cce0-ad28-9129-920d25642a28-spa,Warcross,"Lu, Marie, 1984-",9789877473421,,"V & R Editoras",2017,"Ciudad de México",Book,
https://catalog.saclibrary.org/GroupedWork/90826a58-1671-125e-1131-392a0021fc75-spa,"El gato que lucha contra el crimen","Korté, Steve",9798875235344,,"Picture Window Books, a Capstone imprint",2025,"North Mankato, Minnesota","Easy Reader","Easy Reader::Arcade Children's Area: SPANISH EASY READER 3 DC - On Shelf,Easy Reader::Elk Grove Kids' Place: SPANISH EASY READER 3 DC - On Shelf,Easy Reader::Franklin Children's: SPANISH EASY READER 3 DC - On Shelf"
https://catalog.saclibrary.org/GroupedWork/17195e0f-b78a-1323-c7ae-81c7a73b4f7f-spa,"Hora de dormir, Batman","Dahl, Michael",9781684466689,,"Capstone Editions, a Capstone imprint; Capstone",2023,"North Mankato, Minnesota","Picture Book;eBook","Picture Book::Arcade Children's Area: SPANISH PICTURE BOOK Dahl, M. - On Shelf,Picture Book::Central Kids Place - Lower Level: SPANISH PICTURE BOOK Dahl, M. - On Shelf,Picture Book::Del Paso Heights Children's Area: SPANISH PICTURE BOOK Dahl, M. - On Shelf"
