Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/7012be59-8aa3-bbec-2d5b-17c24f2825ef-eng,"Drama in the church saga","Zale, Dynah",9781622867004,,"Recorded Books, Inc.; Urban Renaissance; Urban Books",2015,"Wyandanch, NY",eBook;Book;eAudiobook,"Book::Carmichael: URBAN FICTION Zale, D. - On Shelf,Book::Del Paso Heights: URBAN FICTION Zale, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/21b5f597-0fe6-40b7-11fc-8fd31cb495ae-eng,"The drama teacher: a novel","Zailckas, Koren",9780553448092,,"Crown; Books on Tape",2018,"New York",eAudiobook;Book;eBook,"Book::Central: FICTION Zailckas, K. - On Shelf,Book::Belle Cooledge: FICTION Zailckas, K. - On Shelf,Book::North Sacramento-Hagginwood: FICTION Zailckas, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6633950f-7277-08c9-046e-d5c4eaa70cd7-eng,"The dramatic life of Jonah Penrose: a novel","Green, Robyn",9780063453678,,"HarperCollins; Harper Perennial",2025,"New York",eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: FICTION Green, R. - On Shelf,Book::South Natomas: FICTION Green, R. - On Shelf,Book::Sylvan Oaks: FICTION Green, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/914e5001-8247-7dd8-413b-868d41b7eea9-eng,"Family drama","Fallon, Rebecca",9781668089484,,"Simon & Schuster Audio; Simon & Schuster",2026,"New York; [New York]","eAudiobook;Audiobook - CD;Book;eBook","Book::Central New Books - 4th Floor: FICTION Fallon, R. - Checked Out,Book::Elk Grove: FICTION Fallon, R. - On Shelf,Book::McKinley: FICTION Fallon, R. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/eab67c5c-0491-bec7-814a-2b4f042c7b33-eng,"Drama city: a novel","Pelecanos, George P",9780316608213,,"Recorded Books, Inc.; Hachette Audio; Little, Brown and Company; Little, Brown and Co","2005 - 2015","New York","Audiobook - CD;eBook;Book;eAudiobook",
https://catalog.saclibrary.org/GroupedWork/cabf4228-06d6-8b0e-f2ca-f1223fe89d52-eng,"Unnecessary drama","Kenwood, Nina",9781250894441,,"W. F. Howes Ltd; Macmillan Audio; Flatiron Books","2022 - 2023","New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Kenwood, N. - On Shelf,Book::Franklin Teen: TEEN FICTION Kenwood, N. - On Shelf,Book::North Natomas: TEEN FICTION Kenwood, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/104b4709-8bb8-fd5f-38f4-9ed217f035f0-eng,"Dream girl drama: a novel","Bailey, Tessa",9780063380776,,"Avon, an imprint of HarperCollinsPublishers; HarperCollins",2025,"New York, NY",eAudiobook;Book;eBook,"Book::Arcade: FICTION Bailey, T. - On Shelf,Book::Carmichael: FICTION Bailey, T. - On Shelf,Book::Central: FICTION Bailey, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f1d93b9d-2f87-a5c3-58b8-b60950399b29-eng,"Here for the drama","Bromley, Kate",9781525811449,,"Graydon House; Harlequin Audio; HarlequinAudio; Graydon House Books",2022,"Toronto, Ontario, Canada",eAudiobook;eBook;Book,"Book::Arcade: FICTION Bromley, K. - On Shelf,Book::Central: FICTION Bromley, K. - On Shelf,Book::South Natomas: FICTION Bromley, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fc864118-0dac-b3e6-296b-84b7b001ed8f-eng,"No more drama","Hunt, La Jill",9781645566243,,"Recorded Books, Inc.; Urban Books","2007 - 2024","New York",Book;eAudiobook,"Book::Central: URBAN FICTION Hunt, L. - Checked Out,Book::Colonial Heights: URBAN FICTION Hunt, L. - On Shelf,Book::Del Paso Heights: URBAN FICTION Hunt, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/24f7ca34-540b-851d-7495-e42c7e1af080-eng,"Prestige drama: a novel","O'Reilly, Séamas",9781538778210,,"Hachette Audio; Cardinal, an imprint of Grand Central Publishing; Grand Central Publishing",2026,"New York, NY",eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: FICTION O'Reilly, S. - On Shelf,Book::Belle Cooledge: FICTION O'Reilly, S. - Checked Out,Book::McClatchy: FICTION O'Reilly, S. - Checked Out"
