Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/0b259c7c-300f-8f0c-fd5e-34d55eba1d5b-eng,"Drama: an actor's education","Lithgow, John, 1945-",9780061734977,,"HarperCollins; HarperAudio; Books on Tape; Harper",2011,"New York; New York, N.Y","Audiobook - CD;eBook;eAudiobook;Book","Book::Central: BIOGRAPHY Lithgow, J. 2011 - On Shelf,Book::North Natomas: BIOGRAPHY Lithgow, J. 2011 - On Shelf,Book::Pocket-Greenhaven: BIOGRAPHY Lithgow, J. 2011 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e62ee329-3860-bc22-9e87-187128e42274-eng,"Drama free: a guide to managing unhealthy family relationships","Tawwab, Nedra Glover",9780593539279,,"Books on Tape; Penguin Publishing Group; A TarcherPerigee Book",2023,"[New York]",eAudiobook;Book;eBook,"Book::Central: 306.87 T234 2023 - On Shelf,Book::Elk Grove: 306.87 T234 2023 - Checked Out,Book::McKinley: 306.87 T234 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ee273e7e-4188-3127-2823-19c5daec8652-eng,"The drama of the gifted child: the search for the true self","Miller, Alice",9780465012619,,"BasicBooks; Hachette Audio; Basic Books","1997 - 2018","New York",eAudiobook;Book;eBook,"Book::Colonial Heights: 155 M6472 2008 - On Shelf,Book::Rancho Cordova: 155 M6472 2008 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/53a7f5c1-7c5c-4f15-a535-0c99bf866749-eng,"Drama in the Bahamas: Muhammad Ali's last fight","Hannigan, Dave",9781613218983,,"Tantor Media, Inc.; Sports Publishing",2016,"New York, NY",eBook;Book;eAudiobook,"Book::Central: 796.83092 M952zh 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ebce8066-1b9e-1f2c-e71f-5f0a093910e3-eng,"Drama within drama: Shakespeare's sense of his art in King Lear, The winter's tale, and The tempest","Egan, Robert, 1945-",9780231039192,,"Columbia University Press",1975,"New York",Book,"Book::Central: 822.33 De28 1975 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d00bd588-2916-ea4e-3afd-8edb05f14a1b-eng,"Dramas from the American theatre, 1762-1909","Moody, Richard, 1911-1996",,,"World Pub. Co",1966,Cleveland,Book,"Book::Central: 812.08 M817 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/79615bd1-e645-474e-71ae-eb21eb966a13-eng,"Dramatic effects with architectural plants","Kingsbury, Noël",9780879517731,,"Overlook Press",1997,"Woodstock, N.Y",Book,"Book::Central: 712 K55 1997 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/541efe85-cb6b-0755-ad21-e3d9a7cbf394-eng,"Dramatic games and dances for little children","Crawford, Caroline",,,,1914,,Book,"Book::Sacramento Room: SPE 792.81 C899d CHI - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/94a46418-f651-ee9d-fb1c-cd0a7906d86f-eng,"The dramatic and poetical works of Joanna Baillie ; complete in one volume","Baillie, Joanna, 1762-1851",,,"Longman, Brown, Green, and Longmans",1851,London,Book,"Book::Sacramento Room: SPE 822 B157 1851 SPE - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/c3f611ba-7c38-ff36-fd5f-fc60ed1ee06f-eng,"The dramatic unity of ""Huckleberry Finn""","Carrington, George C",9780814202388,,"Ohio State University Press",1976,Columbus,Book,"Book::Central: 813 T969zc 1976 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fc134af3-1532-7b5d-4d74-93f8b14c4fd2-eng,"The dramatic works of Massinger and Ford",,,,"Edward Moxon",1856,London,Book,"Book::Sacramento Room: SPE 822.8 D763 1856 SPE VAU - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/229bef76-0281-776d-2c1d-8b94b37f0e91-eng,"Elizabethan drama",,,,Collier,"1910 - 1980","New York",Book,"Book::Central: 822.08 E43 1938 v.1 - On Shelf,Book::Central: 822.08 E43 v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/de1f7840-0272-1e3e-e43d-47ab82379497-eng,"Writing Drama","Schwartz, Heather E",9798765688816,,"Lerner Publishing Group; Lerner Publications (Tm)",2026,,eBook;Book,"Book::Central Kids Place - Lower Level: ON ORDER - On Order,Book::Sacramento Public Library: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/475c90b5-8a9c-9c28-7097-081de6716554-eng,"Adult drama: and other essays","Beach, Natalie",9781335914026,,"HarlequinAudio; Hanover Square Press",2023,"Toronto, Ontario, Canada",eAudiobook;Book;eBook,"Book::Arcade: 808.88 B365 2023 - On Shelf,Book::Central: 808.88 B365 2023 - On Shelf,Book::Fair Oaks: 808.88 B365 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9f3e517c-b9eb-f74d-c64e-f89fcbdb2bad-eng,"British drama","Nicoll, Allardyce, 1894-1976",9780064951586,,"Barnes & Noble Books",1978,"New York",Book,"Book::Central: 822.09 N645 1978 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0eb31a5f-8443-be27-3a2b-beb49459beba-eng,"Contemporary English drama",,9780841907171,,"Holmes & Meier Publishers",1981,"New York",Book,"Book::Central: 822.91409 C761 1981 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ac5c6804-5532-4aaf-dde6-2925af3d24e8-eng,"Comedy comedy comedy drama: a memoir","Odenkirk, Bob, 1962-",9780399180514,,"Random House; Random House Publishing Group; Books on Tape","2021 - 2022","New York",eAudiobook;Book;eBook,"Book::Carmichael: 792.7028 O237 2021 - On Shelf,Book::Central: 792.7028 O237 2021 - On Shelf,Book::Belle Cooledge: 792.7028 O237 2021 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/30c6b7c4-1310-9d14-9f14-a2d63e8afe6b-eng,"Penthesilea: a tragic drama","Kleist, Heinrich von, 1777-1811",9780061180156,,"HarperCollins; Michael di Capua Books",1998,"[New York?]",Book,"Book::Central: 832.6 K64p 1998 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1b9750e9-c2ed-2e92-63e0-d4ebbfcf3ef1-eng,"Elizabethan drama: Marlowe, Shakespeare",,,,Collier,1938,"New York",Book,"Book::Central: 822.3 E43 1938 - On Shelf,Book::Stonyford Branch Library Adult Collection: 822.3 E - On Shelf,Book::Williams Branch Library Adult Collection: 822.3 E - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6ebac14b-232d-3bd8-4c3b-d2612baf145a-eng,"British drama, 1890 to 1950: a critical history","Dietrich, Richard F., 1936-",9780805789515,,"Twayne Publishers",1989,Boston,Book,"Book::Central: 822.91209 D566 1989 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fc7912fb-1604-0152-b492-f834e648c0a4-eng,"Dialogue in American drama","Cohn, Ruby",9780253116208,,"Indiana University Press",1971,Bloomington,Book,"Book::Central: 812.09 C678 1971 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b0c94e70-50fa-83b9-6384-51f986c0349e-eng,"British drama, 1950 to the present: a critical history","Rusinko, Susan",9780805789522,,"Twayne Publishers",1989,Boston,Book,"Book::Central: 822.91409 R955 1989 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b166f93a-7969-39f3-8c52-ea90bab50540-eng,"Maximilian!: a musical drama","Rogers, John V",,,"Bohemian Club",1984,"San Francisco",Book,"Book::Sacramento Room: SPE 090 B676 1984r BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/b82f934b-e388-84fd-2568-51d861636965-eng,"The Kardashians: an American drama","Oppenheimer, Jerry",9781250087140,,"St. Martin's Press; St. Martin's Publishing Group; Macmillan Audio",2017,"New York",eAudiobook;eBook;Book,"Book::Central: BIOGRAPHY Kardashian 2017 - On Hold Shelf,Book::South Natomas: BIOGRAPHY Kardashian 2017 - OFF CAMPUS"
https://catalog.saclibrary.org/GroupedWork/a289a987-2f46-a71b-e51f-180e14884a63-eng,"Landmarks of modern British drama",,9780413590800,,Methuen,1985,"New York; London",Book,"Book::Central: 822.91408 L257 1985 v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f96fac7c-108b-363d-86cf-29ddd110b70b-eng,"The drama-free office: a guide to healthy collaboration with your team, coworkers, and boss","Warner, Jim",9781608321179,,"Greenleaf Book Group Press",2011,"Austin, Tex",Book,"Book::McKinley: 658.3045 W282 2011 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/670498e3-1c26-c999-197d-d43ded05dedd-eng,"The two gentlemen of Verona: [drama]","Shakespeare, William, 1564-1616",9780140714616,,"Penguin Books",2000,"New York, NY",Book,"Book::McKinley: 822.33 R1R797 2000 - On Shelf,Book::Folsom Adult: 822.33 Two - On Shelf"
https://catalog.saclibrary.org/GroupedWork/630d4f01-8898-54e8-8486-1ae169f34980-eng,"AEschylean drama","Gagarin, Michael",9780520029439,,"University of California Press",1976,Berkeley,Book,"Book::Central: 882 A253zg 1976 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cdb0d81e-93ec-0473-2867-106502c739b6-eng,"Delta Drama","Turner, Rich",9780976241034,,"[Joanna Jeronimo]",2006,"[Place of publisher not identified]",Book,"Book::Sacramento Room: 979.45 T951 2006 SAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/cabd81c4-ade1-776a-69e7-2627b95df70c-eng,"Cavalier drama","Harbage, Alfred, 1901-",,,"Russell & Russell",1964,,Book,"Book::Central: 822.09 H255 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bd7dbcae-0698-80fd-9e90-c46533224f6d-eng,"The Revels history of drama in English",,,,"New York : distributed by Harper and Row Publishers, Barnes and Noble Import Division; Methuen",1975,London,Book,"Book::Central: 822.09 R451 1975 v.3 - On Shelf,Book::Central: 822.09 R451 1975 v.6 - On Shelf,Book::Central: 822.09 R451 1975 v.7 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9f78aa48-a55a-27a5-59d2-69a32b967fa2-eng,"All my sons: a drama in three acts","Miller, Arthur, 1915-2005",9780141185460,,"Penguin Books",2000,"New York",Book,"Book::Central: 812 M647a 2000 - On Shelf"
