Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5534b8d0-811b-3a37-1c1f-93c9b0e6b9a6-eng,Drama,"Telgemeier, Raina",9780545326995,,"Graphix; Scholastic Inc.","2012 - 2014","New York","eComic;Graphic Novel/Manga","Graphic Novel/Manga::Central Kids Place - Lower Level: CHILDREN GRAPHIC NOVEL Telgemeier, R. - Checked Out,Graphic Novel/Manga::Belle Cooledge Children's Area: CHILDREN GRAPHIC NOVEL Telgemeier, R. - In Transit,Graphic Novel/Manga::Franklin Children's: CHILDREN GRAPHIC NOVEL Telgemeier, R. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/d6d7acd9-bf37-4491-c621-328a2405717c-eng,"Drama at Mouseford","Stilton, Thea",9780545645324,,"Scholastic Inc.; Scholastic","2014 - 2018","New York, NY",eBook;Book,"Book::Carmichael Children's Area: MOVING UP Stilton, T. - Checked Out,Book::Central Kids Place - Lower Level: MOVING UP Stilton, T. - On Shelf,Book::Franklin Children's: MOVING UP Stilton, T. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/97b88c98-b943-c4d7-7755-074d627f0519-eng,"The drama llama","Morrisroe, Rachel",9781728283142,,"Sourcebooks Inc; Sourcebooks Jabberwocky; Sourcebooks",2024,"Naperville, Illinois","Picture Book;eBook","Picture Book::Arden-Dimick Children's Area: PICTURE BOOK Morrisroe, R. - Checked Out,Picture Book::Belle Cooledge Children's Area: PICTURE BOOK Morrisroe, R. - Checked Out,Picture Book::Courtland Children's Area: PICTURE BOOK Morrisroe, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/20cff391-2d0c-1876-598f-3ecc920ef2ad-eng,"Drama and destiny","Kann, Claire",9780063069442,,"HarperCollins; Harper, an imprint of HarperCollinsPublishers",2024,"New York, NY",eBook;Book;eAudiobook,"Book::Central Kids Place - Lower Level: CHILDREN FICTION Kann, C. - On Shelf,Book::Colonial Heights Children's Area: CHILDREN FICTION Kann, C. - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN FICTION Kann, C. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/529f5544-5991-335b-c6e9-5ecd025075a7-eng,"The drama with doomsdays","Reintgen, Scott",9781665903608,,Aladdin,2023,"New York",eBook;Book,"Book::Arcade Children's Area: CHILDREN FICTION Reintgen, S. - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Reintgen, S. - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN FICTION Reintgen, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8b0ebfe0-de50-9f13-0a17-7edb14aa0cb0-eng,"Drama queen","Peschke, M. (Marci)",9781404866164,,"Picture Window Books",2011,"Mankato, Minn",Book,"Book::Pocket-Greenhaven Kids' Place: MOVING UP Peschke, M. - On Shelf,Book::Southgate Children's Area: MOVING UP Peschke, M. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/c557f899-a0cb-596b-786e-92b77c41444f-eng,"A dramatic disappearance","Deutsch, Stacia",9780807537923,,"Albert Whitman & Company; Oasis Audio","2022 - 2023","Chicago, Illinois",eAudiobook;Book;eBook,"Book::Carmichael Children's Area: CHILDREN FICTION Deutsch, S. - On Shelf,Book::Elk Grove Kids' Place: CHILDREN FICTION Deutsch, S. - On Shelf,Book::Orangevale: CHILDREN FICTION Deutsch, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cabf4228-06d6-8b0e-f2ca-f1223fe89d52-eng,"Unnecessary drama","Kenwood, Nina",9781250894441,,"W. F. Howes Ltd; Macmillan Audio; Flatiron Books","2022 - 2023","New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Kenwood, N. - On Shelf,Book::Franklin Teen: TEEN FICTION Kenwood, N. - On Shelf,Book::North Natomas: TEEN FICTION Kenwood, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/67199809-7438-5f98-4956-f93c3b6f4685-eng,"TBH, too much drama","Greenwald, Lisa",9780062689962,,"HarperCollins; Katherine Tegen Books, an imprint of HarperCollinsPublishers",2019,"New York, NY",eBook;Book,"Book::Galt Children's Area: CHILDREN FICTION Greenwald, L. - On Shelf,Book::Folsom Children's Area: CHILDREN PAPERBACK FICTION G - Checked Out"
https://catalog.saclibrary.org/GroupedWork/6d065bd3-fa84-c57c-4a3b-bdba25d764c6-eng,"Designer drama","Berk, Sheryl",9781492613534,,"Sourcebooks Inc; Sourcebooks Jabberwocky; Sourcebooks",2016,"Naperville, Illinois",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN FICTION Berk, S. - On Shelf"
