Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/a6d684f8-efb2-012a-e683-d8c9d5be2e95-eng,"Drama, rumors & secrets: staying true to yourself in changing times","Holyoke, Nancy",9781609589035,,"American Girl Publishing",2015,"Middleton, WI",Book,"Book::Franklin Children's: CHILDREN 305.23082 H761 2015 - Checked Out,Book::Isleton Children's Area: CHILDREN 305.23082 H761 2015 - On Shelf,Book::Pocket-Greenhaven Kids' Place: CHILDREN 305.23082 H761 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/de1f7840-0272-1e3e-e43d-47ab82379497-eng,"Writing Drama","Schwartz, Heather E",9798765688816,,"Lerner Publishing Group; Lerner Publications (Tm)",2026,,eBook;Book,"Book::Central Kids Place - Lower Level: ON ORDER - On Order,Book::Sacramento Public Library: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/cf68b2d6-893a-4d0d-b52b-22b9ee8524b1-eng,"Honeybee rescue: a backyard drama","Burns, Loree Griffin",9781623542399,,Charlesbridge,2022,"Watertown, MA",eBook;Book,"Book::Arcade Children's Area: CHILDREN 595.799 B967 2022 - On Shelf,Book::Carmichael Children's Area: CHILDREN 595.799 B967 2022 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 595.799 B967 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e5c5edeb-b62a-387b-b02b-bc9d376163c8-eng,"Drama school","Manning, Mick",9780753451786,,Kingfisher,1999,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/b1ea5c7a-a9b9-b82e-43fe-f7b6931909e5-eng,"Besties, sleepovers, and drama queens: questions and answers about friends","Loewen, Nancy, 1964-",9781491418598,,"Capstone Press, a capstone imprint; Capstone",2015,"North Mankato, Minnesota",eBook;Book,"Book::Belle Cooledge Children's Area: CHILDREN 302.34 L827 2015 - On Shelf,Book::Del Paso Heights Children's Area: CHILDREN 302.34 L827 2015 - On Shelf,Book::Elk Grove Kids' Place: CHILDREN 302.34 L827 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a45a1096-333f-409e-8ef8-c0d9f3094676-eng,"Our town: a play in three acts","Wilder, Thornton, 1897-1975",9780060512637,,"Coward McCann, inc; HarperCollins; Harper Perennial; Perennial Classics","1938 - 2020","New York",eBook;Book,"Book::Central: 812 W673o 2020 - On Shelf,Book::Colonial Heights: 812 W673o 2020 - On Shelf,Book::Carmichael: 812 W673o 2003a - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f8c24373-3726-27d5-3af3-805c304a7f72-eng,"Life skills for teenage girls: how to be healthy, avoid drama, manage money, be confident, fix your car, unclog your sink, and other important skills teen girls should know!","Harris, Karen (Author at Spotlight Media (Firm))",9781951806460,,"Spotlight Media",2022,"[Place of publication not identified]",Book,"Book::Central Teen Area - 3rd Floor: TEEN 305.2352 H314 2022 - On Shelf,Book::Fair Oaks Teen Area: TEEN 305.2352 H314 2022 - On Shelf,Book::Rancho Cordova: TEEN 305.2352 H314 2022 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/64fbfadc-c596-f97d-73f4-4793f6de9c9a-eng,"Measure for measure","Shakespeare, William, 1564-1616",9780140714791,,"Interactive Media; Wilder Publications, Inc.; Project Gutenberg; Ft. Raphael Publishing Company; Cambridge University Press; Shakespeare Stories; Folio Society; Blackstone Publishing; Washington Square Press; Penguin Books; Yale University Press; Neeland Media LLC","1954 - 2024","New York; New York, N.Y; New Haven; Cambridge; New York, NY, USA; London, England",eBook;Book;eAudiobook,"Book::South Natomas: 822.33 P1M936 2005 - On Shelf,Book::Folsom Adult: 822.33 MEASURE 2005 - On Shelf,Book::Valley Hi-North Laguna: 822.33 P1C927 2000 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0d62ee3e-861b-67fe-ffe1-ad667bee2c61-eng,"The jumbo book of drama","Dunleavy, Deborah",9781553370086,,"Kids Can Press",2004,Toronto,Book,
https://catalog.saclibrary.org/GroupedWork/5578d696-70bf-a5ca-f526-9731550f59e7-eng,"Follow the drinking gourd: come along the Underground Railroad","Coleman, Wim",9781939656117,,"Red Chair Press|Lerner Publishing Group; Red Chair Press","2014 - 2015","South Egremont, MA",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN 812.54 C692 2015 - On Shelf,Book::North Natomas Children's Area: CHILDREN 812.54 C692 2015 - On Shelf"
