Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5534b8d0-811b-3a37-1c1f-93c9b0e6b9a6-spa,Drama,"Telgemeier, Raina",9781338269161,,"Scholastic en espa©łol; Scholastic Inc.; Maeva Ediciones","2018 - 2024","New York","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - In Transit,Graphic Novel/Manga::McKinley Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - On Shelf,Graphic Novel/Manga::North Natomas Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/0516d9dc-6d25-09b0-4e51-894a81a73613-spa,"Animales fantásticos y dónde encontrarlos: guión original de la película","Rowling, J. K",9788498387902,,"Salamandra; Pottermore Publishing",2017,Barcelona,eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 822.914 R884 2017 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 822.914 R884 2017 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/7b8bfe1f-11a4-dccd-7749-76f993f54cdf-spa,"Bodas de sangre","García Lorca, Federico, 1898-1936",9788466337878,,"Ediciones Castillo; Penguin Random House Grup Editorial","2013 - 2017","Barcelona; México",Book,"Book::Central: SPANISH 861 G216 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6d3b11df-9169-ad80-7834-6f2a55efc1bc-spa,"Las cuatro esquinas del corazon","Sagan, Françoise, 1935-2004",9788426408402,,"Lumen, a division of Penguin Random House",2021,"Barcelona, Spain",Book,"Book::Central: SPANISH FICTION Sagan, F. - On Shelf,Book::Fair Oaks: SPANISH FICTION Sagan, F. - On Shelf,Book::Franklin: SPANISH FICTION Sagan, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/df33dd3f-b8f3-22f6-dc02-e3e3bc314a46-spa,"Pastorela de Catón","Fuentes Aguirre, Armando",9786070737145,,Diana,2016,"Ciudad de México",Book,"Book::Sylvan Oaks: SPANISH 235.3 F954 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/96a0110f-266f-9645-a0bd-04e396a7b3b8-spa,"La dama boba: El perro del hortelano","Vega, Lope de, 1562-1635",9788491054221,,"Penguin Random House Grupo Editorial",2019,Barcelona,Book,"Book::Central: SPANISH 562.3 V422zL 2019 - On Shelf,Book::Galt: SPANISH 562.3 V422zL 2019 - On Shelf,Book::Sylvan Oaks: SPANISH 562.3 V422zL 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9e306614-85d6-c800-a357-63e7f12bae85-spa,"Amores perros","Arriaga Jordán, Guillermo, 1958-",9788496694545,,"Verticales de bolsillo",2007,Barcelona,Book,"Book::Central: SPANISH FICTION Arriaga Jordan, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3d66c445-889d-de88-9462-133e7416afb7-spa,"Las brujas de Salem: drama ; El crisol : guión cinematográfico basado en la obra de teatro","Miller, Arthur, 1915-2005",9788483104354,,"Fabula Tusquets",2005,"México, D.F",Book,
https://catalog.saclibrary.org/GroupedWork/01facfa8-57b1-a165-c6e8-8bca7be96b1c-spa,"El eterno femenino: farsa","Castellanos, Rosario",9789681609658,,"Fondo de Cultura Economica",1975,México,Book,"Book::Central: SPANISH 862 C348 1975 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2632234e-3734-a702-e253-9f70befa9d01-spa,"La chica que vive al final del camino","Koenig, Laird",9788418668333,,"Impedimenta; Editorial Impedimenta SL",2023,Madrid,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/a2cbda12-6b81-c2d2-bc93-8c65e30d3f82-spa,Helena,"Zubieta, Cristina, 1968-",9786079849153,,"Narratio Aspectabilis; Findaway Voices","2020 - 2021","Ciudad de México",Book;eAudiobook,"Book::Central: SPANISH FICTION Zubieta, C. - On Shelf,Book::Colonial Heights: SPANISH FICTION Zubieta, C. - On Shelf,Book::Franklin: SPANISH FICTION Zubieta, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/562ade9e-6d77-d045-0441-82b83f039d24-spa,Beartown,"Backman, Fredrik, 1981-",9780062930750,,"Rayo; HarperCollins; HarperCollins Español",2023,"New York, NY",eAudiobook;eBook;Book,"Book::Central: SPANISH FICTION Backman, F. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Backman, F. - On Shelf,Book::Galt: SPANISH FICTION Backman, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2f090f21-85d4-e9f2-cb72-93d79374eef4-spa,"Cuentos de amor, de locura y de muerte","Quiroga, Horacio, 1878-1937",9786073818728,,"Debolsillo; Project Gutenberg; Panamericana Editorial; Buque de Letras; Penguin Random House Audio; Findaway Voices","2018 - 2023","Mexico, D.F; Ciudad de México",eAudiobook;eBook;Book,"Book::Central: SPANISH FICTION Quiroga, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6281505a-3045-b830-d4a9-d7e2725c41a4-spa,"Fiesta en la madriguera","Villalobos, Juan Pablo, 1973-",9788433972125,,"Editorial Anagrama; Anagrama","2010 - 2021",Barcelona,eBook;Book;eAudiobook,"Book::Orangevale: SPANISH FICTION Villalobos, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f6ed8fbc-e1ee-0c90-6485-e04441c5992b-spa,"Carbón rojo","Castellanos, Mónica",9786075743561,,"H Literatura; Hachette Literatura","2023 - 2024","Ciudad de México",Book;eAudiobook,"Book::Central: SPANISH FICTION Castellanos, M. - On Shelf,Book::Colonial Heights: SPANISH FICTION Castellanos, M. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Castellanos, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dd525883-f985-1b43-f57a-1ac6d409f489-spa,"Orgullo y prejuicio","Austen, Jane, 1775-1817",9788415618782,,"Edimat Libros; Penguin Clásicos; FonoLibro Inc.; BookaVivo; Lebooks Editora; Alma Clásicos Ilustrados; Penguin Random House Audio; Selector, S.A; Austral","2000 - 2025","Madrid, España; Barcelona; [Barcelona]; Mexico City (?)",eAudiobook;eBook;Book,"Book::Central: SPANISH FICTION Austen, J. - In Transit"
https://catalog.saclibrary.org/GroupedWork/4025bdb6-18cb-65f6-a62b-53915f1d5513-spa,"El conde de Montecristo","Dumas, Alexandre, 1802-1870",9788491054566,,"Penguin Random House Grupo; Plutón Ediciones; SAGA Egmont; Penguin Random House; Debate; ReadingU; NARRATORES; Stream Readers; Ediciones Akal; Audiolibros Colección","1998 - 2024","Barcelona; Madrid",eBook;eAudiobook;Book,"Book::Central: SPANISH FICTION Dumas, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2e233957-0f8e-4127-bb4e-95ac7aa814f7-spa,"El gran Gatsby","Fitzgerald, F. Scott (Francis Scott), 1896-1940",9788418395185,,"Debolsillo; Rosetta Edu; Editorial Alma; Panamericana Editorial; NARRATORES; Plṳtn; Reino de Cordelia; Alfaguara; Audiolibros Colección","1983 - 2023","Miami, FL; Barcelona; Madrid; [Barcelona]; Barbẻr del Valľs, Barcelona",eBook;Book;eAudiobook,"Book::Central: SPANISH FICTION Fitzgerald, F. - Checked Out,Book::Courtland: SPANISH FICTION Fitzgerald, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0fbcc0af-cb64-1b65-8bf1-51f525ea207f-spa,"El principito","Saint-Exupéry, Antoine de, 1900-1944",9788419275479,,"Enrique Sainz Editores; Valhalla Audiobooks; Paw Prints; VoTrading; Pages Planet Publishing; LA CASE Books; Author's Republic; Emecé Argentina; Babelcube Inc.; HN Publishing; Letra Impresa; Disonex; Distribuido por YOYO Music; Audiolibros Colección; Salamandra","1986 - 2025","México, D.F; Barcelona; Bogota, Colombia; North Miami Beach, FL","eAudiobook;Audiobook - CD;eBook;Book",
https://catalog.saclibrary.org/GroupedWork/3fb56a48-57ba-1a44-e68e-dd8c6d4224e9-spa,"Los Lugares del terror: La Muerte Acecha En Cada Esquina","Agudo, Enrique",9788418703188,,"Ma Non Troppo; Independent Pub Group","2022 - 2023",,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/58fdc1c6-387d-3c21-f956-9f4c2f93be24-spa,Niebla,"Unamuno, Miguel de, 1864-1936",9789706667182,,"Grupo Editorial Tomo; Editorial Universitaria de Chile; Editorial Cõ; Legorreta; Audiolibros Colección","2006 - 2024","México, D. F",eBook;Book;eAudiobook,
