Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/e6e44b54-5962-e174-eaee-54ffd0fa1eae-spa,"El drama de México: Cuauhtémoc o Cortés?","Martínez Paula, Emilio",9789706611451,,Edamex,2001,México,Book,
https://catalog.saclibrary.org/GroupedWork/43888dce-834d-c63a-8aba-e15597796339-spa,"No dejes que nada opaque tu chispa: cómo terminar con la negatividad y el drama","Virtue, Doreen, 1958-",9786074157819,,"Grupo Editorial Tomo",2016,"Ciudad de México",Book,"Book::Arcade: SPANISH 158.2 V819 2016 - On Shelf,Book::Carmichael: SPANISH 158.2 V819 2016 - On Shelf,Book::North Natomas: SPANISH 158.2 V819 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e43ea23f-54aa-e900-6d13-5594f33dcd9a-spa,"Una trilogía rural: Bodas de sangre, Yerma, La casa de Bernarda Alba","García Lorca, Federico, 1898-1936",9788426455604,,"Lumen, Penguin Random House Grupo Editorial",2022,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 862.62 G216 2022 - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC 862.62 G216 2022 - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC 862.62 G216 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/18a2ddfb-3a3b-3d72-b69e-8dc069a65ae6-spa,Fiorenza,"Mann, Thomas, 1875-1955",9786074551198,,"CONACULTA; Sexto Piso",2009,"México, D.F",Book,"Book::Valley Hi-North Laguna: SPANISH 832.912 M282 2009 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3ccb5cd1-188b-2a96-1e26-6aeb8fba2c1d-spa,"Las siete tragedias",Sophocles,9789685146395,,"Ediciones Leyenda",2005,"Ciudad Nezahualcóyotl",Book,"Book::Colonial Heights: SPANISH 882 S712s3 2005 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/47a6c5bd-b75f-afb6-bf8b-2b40bb550c63-spa,"Don Juan tras la pared","Rodríguez Febles, Ulises, 1968-",9789592400160,,"Ediciones Vigía",1997,"Matanzas, Cuba",Book,"Book::Sacramento Room: SPE 090 E232 1997f BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/cc78a5b7-c0c5-8837-9fe3-974b8325fa4d-spa,Actos,"Valdez, Luis",,,"Cucaracha Press",1971,"Fresno, Calif",Book,"Book::Sacramento Room: SPE 818.5 V145 1971 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/900eb6c7-800d-c656-60cc-b57b81bc0908-spa,"La mirada quieta (de Pérez Galdós)","Vargas Llosa, Mario, 1936-",9788420462554,,Alfaguara,2022,Barcelona,Book,"Book::Central: SPANISH 863.64 P944zv 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2ca2a9ff-8f78-d3d6-b296-da2b39aa53a5-spa,"Disciplina sin l©Łgrimas","Siegel, Daniel J., 1957-",9788490704523,,"B, Penguin Random House Grupo Editorial, S.A.U",2018,Barcelona,Book,"Book::Central: SPANISH 649.1 S571n 2018 - On Shelf,Book::Colonial Heights: SPANISH 649.1 S571n 2018 - On Shelf,Book::Franklin: SPANISH 649.1 S571n 2018 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/fb42b70c-d5fb-a131-0a5b-9547e52eb258-spa,"Romeo y Julieta: Julio C sar","Shakespeare, William, 1564-1616",9788408017226,,Planeta,1999,"Barcelona, España",Book,
https://catalog.saclibrary.org/GroupedWork/5a46f1fc-3b36-dc69-7938-7c749bfd26d8-spa,"Hamlet ; Macbeth / William Shakespeare ; introducción, traducción y notas de José María Valverde","Shakespeare, William, 1564-1616",9788432040238,,Planeta,1995,"Barcelona (España)",Book,
https://catalog.saclibrary.org/GroupedWork/ab928748-c9c8-d8c0-1c76-b31a9627dd1c-spa,"Disciplina sin lágrimas","Siegel, Daniel J., 1957-",9788466655873,,"B, Grupo Zeta",2015,Barcelona,Book,"Book::Central: SPANISH 649.1 S571n 2015 - On Shelf,Book::Woodland Public Library: SPANISH 649.1 Sie 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d49e4366-4b1f-2566-d599-4ecf6cb2cf08-spa,"Poemas de amor","Neruda, Pablo, 1904-1973",9786074150391,,"Grupo Editorial Tomo; Blackstone Publishing","2013 - 2017","Mexico, D.F",eAudiobook;Book,"Book::Central: SPANISH 861 N454p4 2013 - Checked Out,Book::Isleton: SPANISH 861 N454p4 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e37e1b21-205c-f5da-490e-e411fb1d0a67-spa,"El viejo y el mar","Hemingway, Ernest, 1899-1961",9788408001805,,"Stickybooks; Planeta","1993 - 2020",Barcelona,Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/c7ea550e-be65-0311-24a4-cf9c1653c61d-spa,"Familia tóxica: 5 pasos para sanar las heridas del narcisismo parental","McBride, Karyl",9788418714467,,"Urano World Spain",2024,"Madrid, Spain",Book,
https://catalog.saclibrary.org/GroupedWork/fb5cbd77-1d1d-26b9-c3fe-7ac266ac9072-spa,Odisea,Homer,9788408018667,,"Planeta; Pages Planet Publishing; Infinity Spectrum Books; Audiolibros Colección","1996 - 2025","Barcelona, España",eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/7e211a95-3a3c-55e2-df77-ee8887da4909-spa,"Oliver Twist","Dickens, Charles, 1812-1870",9788483460122,,"Panamericana Editorial; NARRATORES; DeBolsillo; Audiolibros Colección; Findaway Voices","2006 - 2023",Barcelona,eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/d00bbc73-fae2-b943-a132-d98ec43d82b2-spa,"La teoría let them: la clave está en soltar","Robbins, Mel, 1968-",9786075699882,,"Paidos México; Paidós",2025,"Ciudad de México",eBook;Book,"Book::Central New Books - 4th Floor: SPANISH 158.1 R635 2025 - On Shelf,Book::Colonial Heights: SPANISH 158.1 R635 2025 - Checked Out,Book::Elk Grove: SPANISH 158.1 R635 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/695000c2-93ee-f9e7-ed29-6fb3b1abcf04-spa,"La hija del caníbal","Montero, Rosa, 1951-",9788467020069,,"ALFAGUARA; Espasa","2005 - 2012","Cantoblanco, Madrid",eBook;Book,"Book::Central: SPANISH FICTION Montero, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b71896cd-47d8-47cb-1ebc-545faec02559-spa,"La cocina de la reina: el recetario no oficial para los fans de The Crown","Clearwater, Dahlia",9788419004802,,"Duomo ediciones",2022,"Barcelona (España)",Book,"Book::Central: SPANISH 641.5942 C623 2022 - On Shelf,Book::Fair Oaks: SPANISH 641.5942 C623 2022 - On Shelf,Book::North Sacramento-Hagginwood: SPANISH 641.5942 C623 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/63fe7024-25ee-541e-f898-91ba50ebd4e0-spa,"Guía para una belleza inteligente: todo lo que necesitas saber para sentirte bien en tu propia piel","Álvarez, Elisabeth",9788419655165,,"Plataforma Editorial",2023,Barcelona,Book,"Book::Central: SPANISH 646.726 A473 2024 - On Shelf,Book::North Natomas: SPANISH 646.726 A473 2024 - On Shelf,Book::Southgate: SPANISH 646.726 A473 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/434f0a02-2d34-90df-8634-7eea9b7eafa8-spa,"En vivo desde América: cómo la TV Latina conquistó Estados Unidos","Marín, Javier",9786073931632,,Planeta,2025,"Ciudad de México",Book,"Book::Carmichael: SPANISH 384.5506 M337 2025 - On Shelf,Book::Central New Books - 4th Floor: SPANISH 384.5506 M337 2025 - On Shelf,Book::Colonial Heights: SPANISH 384.5506 M337 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/638042b3-7d4b-6ca0-c276-a98be86ae109-spa,"El largo camino hacia la libertad: la autobiografía de Nelson Mandela","Mandela, Nelson, 1918-2013",9786071127730,,Aguilar,2013,"México, D.F",Book,"Book::Carmichael: SPANISH 968.06092 M271 2013 - On Shelf,Book::Central: SPANISH 968.06092 M271 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/721bdc45-2a62-9326-ec90-ee6165dbf9bd-spa,"El cuerpo lleva la cuenta: cerebro, mente y cuerpo en la superación del trauma","Van der Kolk, Bessel A., 1943-",9788494759208,,Eleftheria,2017,Barcelona,Book,"Book::Central: SPANISH 616.8521 V217 2017 - On Shelf,Book::Sacramento Public Library Storage: SPANISH 616.8521 V217 2017 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/c00df5a2-de6f-d0ec-659c-db8550719b17-spa,"Tragos amargos: gloria e infierno de El Toro del Corrido","Rivera, Lupillo",9798890981257,,"Vintage Español; Penguin Random House Audio",2025,"Miami, FL",eAudiobook;Book,"Book::Central New Books - 4th Floor: SPANISH BIOGRAPHY Rivera, L. 2025 - On Shelf,Book::Colonial Heights: SPANISH BIOGRAPHY Rivera, L. 2025 - On Shelf,Book::Fair Oaks: SPANISH BIOGRAPHY Rivera, L. 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0b15e738-c52a-ca3f-d6d6-f0f0dbc87fea-spa,"Nacer mujer en China","Xinran, 1958-",9788495908476,,"Emecé Editores",2003,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/28209d18-6877-9886-e699-a4311cd22c6d-spa,"Es hora de ir al baño: guía para el temido momento de dejar los pañales","Glowacki, Jamie",9786075279657,,Oceano,2019,"Ciudad de México",Book,
https://catalog.saclibrary.org/GroupedWork/72b4c422-e694-0749-cc28-a2132a55866f-spa,"Indocumentados: cómo la inmigración se volvió ilegal","Chomsky, Aviva, 1957-",9786079377854,,Critica,2014,"México, D.F",Book,
