Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5534b8d0-811b-3a37-1c1f-93c9b0e6b9a6-spa,Drama,"Telgemeier, Raina",9781338269161,,"Scholastic en espa©łol; Scholastic Inc.; Maeva Ediciones","2018 - 2024","New York","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - In Transit,Graphic Novel/Manga::McKinley Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - On Shelf,Graphic Novel/Manga::North Natomas Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Telgemeier, R. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/e1e7eff7-7cf7-6ee3-03a2-c7b171786d68-spa,"Dramas de hermanas","Russell, Rachel Renée",9798890983831,,"MOLINO; Molino",2025,"Barcelona [Spain]",eBook;Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Russell, R. - On Shelf,Book::Franklin Children's: SPANISH CHILDREN FICTION Russell, R. - On Shelf,Book::North Natomas Children's Area: SPANISH CHILDREN FICTION Russell, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4813f75b-cd80-7d68-ac04-774b79519c7e-spa,"Una reina del drama con muchos humos","Russell, Rachel Renée",9781518159046,,RBA,2016,Barcelona,Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Russell, R. - On Shelf,Book::Colusa Main Branch Juvenile Collection: SP J Fic - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Russell, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0516d9dc-6d25-09b0-4e51-894a81a73613-spa,"Animales fantásticos y dónde encontrarlos: guión original de la película","Rowling, J. K",9788498387902,,"Salamandra; Pottermore Publishing",2017,Barcelona,eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 822.914 R884 2017 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 822.914 R884 2017 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/943b063d-168f-56a5-8991-367211f0cd23-spa,"El gran chisme","Simonson, Louise",9781496591609,,"Capstone; Stone Arch Books, a Capstone imprint",2020,"North Mankato, Minnesota","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Secundaria - On Shelf,Graphic Novel/Manga::Del Paso Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Secundaria - On Shelf,Graphic Novel/Manga::Fair Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Secundaria - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7bfd3370-118e-799f-ee64-9e9c3de58988-spa,"Desastre en el musical","Gunderson, Jessica",9781496591630,,"Capstone; Stone Arch Books, a Capstone imprint",2020,"North Mankato, Minnesota","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Fair Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Gunderson, J. - On Shelf,Graphic Novel/Manga::North Natomas Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Gunderson, J. - On Shelf,Graphic Novel/Manga::Sylvan Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Gunderson, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/12f9d95d-4967-424a-17b5-04e4d799a867-spa,"The colors of Frida","Morán Martínez, Manuel A",9781951409005,,"SEA Publications",2021,"New York",Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN 759.972 K124zm 2021 - On Shelf,Book::Franklin Children's: SPANISH CHILDREN 759.972 K124zm 2021 - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN 759.972 K124zm 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a3c8b6ca-2b43-dbf8-56cb-11e3f619fbe4-spa,"Las malvadas de la escuela secundaria","Simonson, Louise",9781496591623,,"Stone Arch Books, a Capstone imprint",2020,"North Mankato, Minnesota","Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Sec - On Shelf,Graphic Novel/Manga::Belle Cooledge Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Sec - On Shelf,Graphic Novel/Manga::Rancho Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Drama en la Sec - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ffbcfe24-1a58-ff25-dba3-3f9554391474-spa,"Animales fantasticos: Los crimenes de Grindelwald : guion original de la peligula","Rowling, J. K",9788498389081,,Salamandra,2018,Barcelona,Book,"Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN 812.6 R884 2018 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 812.6 R884 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f1fe0aa3-0baf-1de5-309a-816d9667fac3-spa,"Donde crece el helecho rojo","Rawls, Wilson",9781644737507,,"Vintage Español",2023,"Miami, FL",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Rawls, W. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Rawls, W. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Rawls, W. - On Shelf"
