Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/39e97442-4e8b-3e1f-d52d-bd3eed894d2a-eng,"Fantasy man: a former NFL player's descent into the brutality of fantasy football","Jackson, Nate",9780062470072,,"HarperCollins; HarperAudio; Harper",2016,"New York, NY",eBook;Book;eAudiobook,"Book::Arcade: 796.332092 J136f 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/654de816-b5ce-706c-8bb0-6f3eeb7c4120-eng,"Fantasyland: how America went haywire : a 500-year history","Andersen, Kurt, 1954-",9781400067213,,"Random House; Random House Publishing Group; Books on Tape",2017,"New York",eAudiobook;eBook;Book,"Book::Arcade: 306.0973 A544 2017 - On Shelf,Book::Central: 306.0973 A544 2017 - On Shelf,Book::Belle Cooledge: 306.0973 A544 2017 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/6c86e517-ce38-a3fd-4dba-6520eecdc649-eng,"Fantasy by the sea: a visual history of the American Venice","Moran, Tom",9780915238392,,"Peace Press",1980,"Culver City, Calif",Book,"Book::Carmichael California Collection: CALIFORNIA 979.493 M829 1980 - Library Use Only,Book::Sacramento Room: SPE f 979.493 M829 1980 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/a872ee20-0d20-ba15-1b2b-021497cee57a-eng,"The fantasy and necessity of solidarity","Schulman, Sarah, 1958-",9780593854259,,Thesis,2025,"New York, NY",Book,"Book::Arcade: 302.14 S386 2025 - On Shelf,Book::Central: 302.14 S386 2025 - On Shelf,Book::McKinley: 302.14 S386 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/879e4a04-abee-b8b8-9b8f-c576f140edcb-eng,"The fantasy of the Middle Ages: an epic journey through imaginary medieval worlds","Grollemond, Larisa",9781606067581,,"J. Paul Getty Museum",2022,"Los Angeles",Book,"Book::Central: 704.949909 G875 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dfcf5c17-9804-f865-ee2f-07a418450082-eng,"Fantasy island: colonialism, exploitation, and the betrayal of Puerto Rico","Morales, Ed, 1956-",9781568588995,,"Hachette Audio; Bold Type Books; PublicAffairs",2019,"New York",eAudiobook;Book;eBook,"Book::Valley Hi-North Laguna: 972 M828 2019 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/01f45e7f-7786-72ee-6521-684a2e87a25f-eng,"The fantasy fiction formula","Chester, Deborah",9780719097065,,"Manchester University Press",2016,Manchester,Book,"Book::Arcade: 808.38766 C525 2016 - Checked Out,Book::Elk Grove: 808.38766 C525 2016 - OFF CAMPUS"
https://catalog.saclibrary.org/GroupedWork/edcef943-0ac7-2109-28c9-14f227761197-eng,"Fantasy cross-stitch: create legendary beasts, mythical spirits, and fairy-tale realms to adorn your castle halls","Kleinbussink, Iris",9798890034007,,"Page Street Publishing",2026,Essex,Book,"Book::Arcade: 746.443 K645 2026 - OFF CAMPUS,Book::Central New Books - 4th Floor: 746.443 K645 2026 - Checked Out,Book::North Natomas: 746.443 K645 2026 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/dd4c616a-f940-6208-8179-94b20d0f78e6-eng,"Victorian fantasy","Prickett, Stephen",9780253174611,,"Indiana University Press",1979,Bloomington,Book,"Book::Central: 820.9 P947 1979 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/851801d7-a658-3be6-5545-bf4d8950b87d-eng,"Classic fantasy writers",,9780791022047,,"Chelsea House Publishers",1994,"New York",Book,"Book::Central: 823.0876 C614 1994 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a6b1b820-71c0-81be-99d1-6f969e7015c7-eng,"Realms of fantasy","Edwards, Malcolm",9780385188883,,Doubleday,1983,"Garden City, N.Y",Book,"Book::Central: 823.0876 E26 1983 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/91b7e542-9b01-2a08-e38c-0e8c77aeca0a-eng,"How to write romantasy: blending fantasy and romance into one heart-stopping adventure","Moreci, Jenna",9780593837467,,"Ten Speed Press; Clarkson Potter/Ten Speed; Books on Tape",2025,California,eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: 808.38766 M837 2025 - On Shelf,Book::Colonial Heights: 808.38766 M837 2025 - Checked Out,Book::Franklin: 808.38766 M837 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4bb0f223-9d14-cd11-fa12-1fb165e19645-eng,"Final fantasy: lost stranger. 2","Minase, Hazuki, 1979-",9781975303075,,"Yen Press",2019,"New York, NY","Graphic Novel/Manga","Graphic Novel/Manga::Sylvan Oaks Teen Area: TEEN MANGA Final Fantasy v.2 - On Shelf,Graphic Novel/Manga::Sacramento Public Library Storage: TEEN MANGA Final Fantasy v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/85be3f01-b204-8b6d-d78b-e2fe78b6d910-eng,"Final fantasy VII remake: material ultimania",,9781646091218,,"Square Enix Books",2021,"El Segundo, CA",Book,"Book::Central Teen Area - 3rd Floor: OVERSIZE TEEN 794.83 Y197 2021 - On Shelf,Book::Southgate Teen Area: OVERSIZE TEEN 794.83 Y197 2021 - Checked Out,Book::Sacramento Public Library Storage: OVERSIZE TEEN 794.83 Y197 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/40f18ac2-6d76-80c5-752c-fa675196ffa7-eng,"Fantasy art workshop","Howe, John, 1957-",9781600610097,,"Impact; David & Charles [distributor]",2007,"Newton Abbot; Cincinnati, OH",Book,
https://catalog.saclibrary.org/GroupedWork/9123cb8c-156b-068d-fe46-3c37ee13e264-eng,"Granblue fantasy: Volume 01",,9781632368096,,"Kodansha Comics, an imprint of Kodansha USA Publishing, LLC",2019,"New York","Graphic Novel/Manga","Graphic Novel/Manga::Central Teen Area - 3rd Floor: TEEN MANGA Granblue Fantasy v.1 - On Shelf,Graphic Novel/Manga::Rancho Cordova: TEEN MANGA Granblue Fantasy v.1 - In Transit,Graphic Novel/Manga::Valley Hi-North Laguna Teen Area: TEEN MANGA Granblue Fantasy v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7603be1b-ddea-00e6-4c75-0225b6a8e8ce-eng,"How to write science fiction and fantasy","Card, Orson Scott",9781582971032,,"Writer's Digest Books",1990,"Cincinnati, Ohio",Book,"Book::Central: 808.3876 C266 1990 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4c4d5b84-d1ba-5023-5d4e-3be42f4d9879-eng,"Keeping it unreal: Black queer fantasy and superhero comics","Scott, Darieck",9781479840137,,"New York University Press",2022,"New York",Book,"Book::Central: 741.5352996 S425 2022 - On Shelf,Book::South Natomas: 741.5352996 S425 2022 - Checked Out,Book::Valley Hi-North Laguna: 741.5352996 S425 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/99cf423a-3b49-e411-b804-64f8b10366e5-eng,"The ultimate Final Fantasy XIV Online cookbook: the essential culinarian guide to Hydaelyn","Rosenthal, Victoria",9781647225117,,"Insight Editions",2021,"San Rafael",Book,"Book::Central: 641.5 R815 2021 - On Shelf,Book::Colonial Heights: 641.5 R815 2021 - On Shelf,Book::Fair Oaks: 641.5 R815 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1d6558db-63e4-c37f-2a92-af9f7c51ab01-eng,"DragonArt: how to draw fantastic dragons and fantasy creatures","Peffer, J., 1983-",9781581806571,,"Impact books",2005,"Cincinnati, OH",Book,"Book::Arcade Children's Area: CHILDREN 743.87 P375 2005 - On Shelf,Book::Courtland Children's Area: CHILDREN 743.87 P375 2005 - On Shelf,Book::Elk Grove Kids' Place: CHILDREN 743.87 P375 2005 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/b166f84d-a1f8-fc66-c257-0975bc0c37b4-eng,"Hair: fashion and fantasy","Philippon, Laurent",9780500291085,,"Thames & Hudson",2013,London,Book,"Book::Carmichael: 391.5 P552 2013 - On Shelf,Book::Valley Hi-North Laguna: 391.5 P552 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/71324143-746d-d62b-4e20-b14c45642727-eng,"Billion dollar fantasy: the high-stakes game between FanDuel & DraftKings that upended sports in America","Chen, Albert",9780544911147,,"Houghton Mifflin Harcourt; HarperCollins; Blackstone Publishing; Mariner Books","2019 - 2020",Boston,eBook;Book;eAudiobook,"Book::Central: 793.93 C518 2019 - On Shelf,Book::McKinley: 793.93 C518 2019 - Checked Out,Book::Southgate: 793.93 C518 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/715623e6-2f34-4762-67c5-d926c7dea5df-eng,"Fantasy Life: Baseball and the American Dream","Soren, Tabitha",9781597113854,,Aperture,2017,"New York, NY",Book,
https://catalog.saclibrary.org/GroupedWork/91c08595-b0b9-054e-ceb7-12e56211f1c5-eng,"Fantasy, the 100 best books","Cawthorn, James",9780881843354,,"Carroll & Graf Publishers",1988,"New York",Book,
