Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/0f9a3153-e47a-d3a2-bfbd-3a366e99bbbb-eng,"Fantasy sports: No. 1","Bosma, Sam",9781907704802,,Nobrow,2015,London,"Graphic Novel/Manga","Graphic Novel/Manga::Franklin Teen: TEEN GRAPHIC NOVEL Bosma, S. v.1 - On Shelf,Graphic Novel/Manga::Southgate Teen Area: TEEN GRAPHIC NOVEL Bosma, S. v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b043a27c-b246-d2e7-0fc0-7b959beda5d3-eng,"Fantasy sports: No. 3, The green king","Bosma, Sam",9781910620182,,Nobrow,2017,London,"Graphic Novel/Manga","Graphic Novel/Manga::Franklin Teen: TEEN GRAPHIC NOVEL Bosma, S. v.3 - On Shelf,Graphic Novel/Manga::Valley Hi-North Laguna Teen Area: TEEN GRAPHIC NOVEL Bosma, S. v.3 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/583e66e7-1cad-3373-f5c0-6d250ab45773-eng,"The Kingdom of Fantasy","Stilton, Geronimo",9780545980258,,"Scholastic Inc.; Scholastic","2009 - 2011","New York; Toronto",eBook;Book,"Book::Arcade Children's Area: MOVING UP Stilton, G. - Checked Out,Book::Southgate Children's Area: MOVING UP Stilton, G. - On Shelf,Book::Barber Branch: CHAPTER BOOK Stilton, G. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/8a32c836-f968-4efb-246f-2f78ffe13a46-eng,"Geek: fantasy novel","Archer, E., author of Geek",9780545160407,,"Scholastic Inc.; Scholastic Press",2011,"New York, NY",eBook;Book,"Book::Franklin Teen: TEEN FICTION Archer, E. - On Shelf,Book::North Natomas: TEEN FICTION Archer, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6491510a-c927-cf0a-d56f-bbc7a50c7c4d-eng,"The amazing voyage: the third adventure in the Kingdom of Fantasy","Stilton, Geronimo",9780545307710,,"Scholastic Inc.; Scholastic",2011,"New York",eBook;Book,"Book::Carmichael Children's Area: MOVING UP Stilton, G. - On Shelf,Book::McKinley Children's Area: MOVING UP Stilton, G. - In Transit,Book::Southgate Children's Area: MOVING UP Stilton, G. - In Transit"
https://catalog.saclibrary.org/GroupedWork/35d4a172-106e-8a0b-c99a-18b988bdcfeb-eng,"The quest for paradise: the return to the Kingdom of Fantasy","Stilton, Geronimo",9780545253079,,"Scholastic Inc.; Scholastic","2010 - 2011","New York",eBook;Book,"Book::Central Kids Place - Lower Level: MOVING UP Stilton, G. - Checked Out,Book::Belle Cooledge Children's Area: MOVING UP Stilton, G. - On Hold Shelf,Book::Barber Branch: CHAPTER BOOK Stilton, G. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/0581f13e-d131-fb29-c993-b0083881b0f2-eng,"Windswept: a fantasy novel","Cole, Gwen (Young adult author)",9781510742826,,"Sky Pony; Sky Pony Press",2020,"New York",eBook;Book,"Book::Elk Grove Teen Area: TEEN FICTION Cole, G. - On Shelf,Book::Galt Teen Area: TEEN FICTION Cole, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/051ca56b-d09a-0ec3-8579-fd522b2f48d6-eng,"The phoenix of destiny: an epic Kingdom of Fantasy adventure","Stilton, Geronimo",9780545829076,,"Scholastic Inc.; Scholastic Inc",2015,"New York, NY",eBook;Book,"Book::Arcade Children's Area: MOVING UP Stilton, G. - Checked Out,Book::Elk Grove Kids' Place: MOVING UP Stilton, G. - Checked Out,Book::Rancho Children's Area: MOVING UP Stilton, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5c99f6cc-07f1-c0a5-860a-343a468a824f-eng,"Fantasy league","Lupica, Mike",9780399256073,,"Philomel, an imprint of Penguin Group (USA)",2014,"New York, NY",Book,
https://catalog.saclibrary.org/GroupedWork/69492e7f-d2b4-209a-8bc2-9cd2d26620eb-eng,"The midnight heist: The seventeeth adventure in the Kingdom of fantasy","Stilton, Geronimo",9781546141839,,"Scholastic Inc",2025,"New York, NY",Book,"Book::Carmichael Children's Area: MOVING UP Stilton, G. - In Transit,Book::Central Kids Place - Lower Level: MOVING UP Stilton, G. - Checked Out,Book::Elk Grove Kids' Place: MOVING UP Stilton, G. - Checked Out"
