Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/9c95012f-a263-a251-bfe2-93339f907d8e-eng,Fantasy,"Hamilton, John, 1959-",9781604535044,,"ABDO Pub. Co; ABDO Publishing Company",2009,"Edina, Minn",eBook;Book,"Book::Carmichael Children's Area: CHILDREN 808.3876 H218 2009 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/db7693ba-3942-1b76-132f-7380f6e999c2-eng,"Fantasy mapmaker: how to draw RPG cities for gamers and fans","Blando, Jared",9781440354250,,Impact,2019,"Cincinnati, Ohio",Book,"Book::Central Teen Area - 3rd Floor: TEEN 743.87 B642 2019 - On Shelf,Book::Franklin Teen: TEEN 743.87 B642 2019 - On Shelf,Book::Galt Teen Area: TEEN 743.87 B642 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/034f9c83-3933-d8fb-a5b5-a253fec93b5f-eng,"Fantasy  encyclopedia","Allen, Judy",9780753458471,,Kingfisher,2005,"Boston, Mass",Book,"Book::Arcade Children's Area: CHILDREN 398.21 A427 2005 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 398.21 A427 2005 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/b160e208-8abd-db3f-42ed-a5bc0bd033be-eng,"Fantasy, romance, and more: genres of anime and manga","Kallen, Stuart A., 1955-",9781678205201,,"ReferencePoint Press, Inc",2024,"San Diego, CA",Book,"Book::Arcade Teen Area: TEEN 741.5952 K146 2024 - On Shelf,Book::Carmichael Teen Area: TEEN 741.5952 K146 2024 - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN 741.5952 K146 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5837c78f-e9a0-7fae-e02b-e1a32de4e130-eng,"Fantasy sports: No. 2, The bandit of Barbel Bay","Bosma, Sam",9781910620106,,Nobrow,2016,London,"Graphic Novel/Manga","Graphic Novel/Manga::Franklin Teen: TEEN GRAPHIC NOVEL Bosma, S. v.2 - On Shelf,Graphic Novel/Manga::Wanderer Bookmobile: TEEN GRAPHIC NOVEL Bosma, S. v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f97b539b-8c84-a6b8-1839-dc493f10fc59-eng,"Draw fantasy characters","Bergin, Mark, 1961-",9781908759719,,"Book House",2013,Brighton,Book,"Book::Central Kids Place - Lower Level: CHILDREN 743.87 B498d 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cbbd1470-4081-8b02-91c7-9da2816bf305-eng,"Discover orcs, boggarts, and other nasty fantasy creatures","Sautter, Aaron",9781515768418,,"Capstone Press",2018,"Mankato, Minnesota",Book,"Book::Carmichael Children's Area: CHILDREN 398.45 S261d2 2018 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 398.45 S261d2 2018 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 398.45 S261d2 2018 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/e5f15950-de83-383c-f541-884dbc53eace-eng,"Discover dragons, giants, and other deadly fantasy monsters","Sautter, Aaron",9781515768432,,"Capstone Press",2018,"Mankato, Minnesota",Book,"Book::Carmichael Children's Area: CHILDREN 398.45 S261 2018 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 398.45 S261 2018 - On Shelf,Book::Colonial Heights Children's Area: CHILDREN 398.45 S261 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/648f54e9-bdaf-0257-0d30-834e58a3d8af-eng,"Kawaii: how to draw really cute fantasy creatures","Nguyen, Angela",9781782219088,,"Search Press",2020,"Tunbridge Wells, Kent",Book,"Book::Belle Cooledge Children's Area: CHILDREN 743.87 N576 2020 - Checked Out,Book::Franklin Children's: CHILDREN 743.87 N576 2020 - On Shelf,Book::Pocket-Greenhaven Kids' Place: CHILDREN 743.87 N576 2020 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/0d354fd6-7792-9adc-63b1-da636fab66bd-eng,"Discover harpies, minotaurs, and other mythical fantasy beasts","Sautter, Aaron",9781515768401,,"Capstone Press",2018,"North Mankato, MN",Book,"Book::Central Kids Place - Lower Level: CHILDREN 398.45 S261d 2018 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 398.45 S261d 2018 - On Shelf,Book::Galt Children's Area: CHILDREN 398.45 S261d 2018 - On Shelf"
