Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/434be8b7-3ab6-bae0-b9a2-9db23ffc8d0a-spa,"Final Fantasy Type-0: El Verdugo De Hielo 1",,9788467928341,,,,,Book,"Book::Sacramento Public Library Teen: ON ORD 01/31/25 Spanish Teen Fiction - In Processing"
https://catalog.saclibrary.org/GroupedWork/ac19351a-105a-ac63-b881-4443767aa1db-spa,"La ballena roja que se tragó una danta blanca","Cuesta, Gloria Beatriz Salazar de la",9789583062438,,"Panamericana Editorial","2017 - 2022",Bogotá,eBook;Book,"Book::McKinley Children's Area: SPANISH CHILDREN FICTION Cuesta, G. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Cuesta, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b80c1ab4-f72b-b87f-7068-76e7924c371e-spa,"El lobo y la serpiente","Robinson, Rebecca, 1995-",9786073936224,,"Planeta Publishing",2025,Mexico,Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Robinson, R. - On Shelf,Book::Elk Grove Teen Area: ON ORDER - On Order,Book::North Natomas: SPANISH TEEN FICTION Robinson, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3a68d87a-0be8-12f6-e437-daa0f4d6dbf3-spa,"Los peculiares","May, Cait",9788418712081,,"MAB Graphic",2022,Argentina,"Graphic Novel/Manga","Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC NOVEL Peculiares - On Shelf,Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Peculiares - On Shelf,Graphic Novel/Manga::Franklin Children's: SPANISH CHILDREN GRAPHIC NOVEL Peculiares - On Shelf"
https://catalog.saclibrary.org/GroupedWork/19f84cf9-c47b-8921-5b24-347cc89e1dfe-spa,"Wigetta en el planeta Mimisikú",Vegetta777,9786070740169,,Planeta,2017,"Ciudad de México",Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Vegetta777 - On Shelf,Book::Franklin Children's: SPANISH CHILDREN FICTION Vegetta777 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Vegetta777 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/28fcd699-7747-3290-6eab-0825f456e795-spa,"Fuego y sangre","Martin, George R. R",9781984898074,,"Books on Tape; Vintage Español, una división de Penguin Random House LLC","2018 - 2019","Nueva York",eAudiobook;Book,"Book::Central: SPANISH FICTION Martin, G. - On Shelf,Book::Pocket-Greenhaven: SPANISH FICTION Martin, G. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Martin, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/51356310-d545-98b5-8d41-13dcb7b5ad6a-spa,"Manual del guerrero de la luz","Coelho, Paulo",9780060565718,,"Rayo; HarperCollins","2003 - 2012","New York",eBook;Book,"Book::Central: SPANISH 869.14 C672 2004 - On Shelf,Book::North Sacramento-Hagginwood: SPANISH 869.14 C672 2004 - On Shelf,Book::Orangevale: SPANISH 869.14 C672 2004 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fb5cbd77-1d1d-26b9-c3fe-7ac266ac9072-spa,Odisea,Homer,9788408018667,,"Planeta; Pages Planet Publishing; Infinity Spectrum Books; Audiolibros Colección","1996 - 2025","Barcelona, España",eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/7e211a95-3a3c-55e2-df77-ee8887da4909-spa,"Oliver Twist","Dickens, Charles, 1812-1870",9788483460122,,"Panamericana Editorial; NARRATORES; DeBolsillo; Audiolibros Colección; Findaway Voices","2006 - 2023",Barcelona,eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/5d60fe37-d819-de93-4b1d-8b4367475e4e-spa,"Dibujar seres míticos Chibi: más de 50 criaturas adorables","Lord, Naomi",9788411540780,,Librero,2024,Madrid,Book,"Book::Arcade: SPANISH 704.947 L867 2024 - On Shelf,Book::Colonial Heights: SPANISH 704.947 L867 2024 - Checked Out,Book::Franklin: SPANISH 704.947 L867 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a1cbcf82-1844-fe23-7ed0-d8c209823cef-spa,"Animales que hacen cosas en silencio","Bosch, Lolita, 1970-",9788415250937,,"Factoría K de Libros",2015,Pontevedra,Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN 861.62 B742 2015 - On Shelf,Book::Franklin Children's: SPANISH CHILDREN 861.62 B742 2015 - On Shelf,Book::Rio Linda Children's Area: SPANISH CHILDREN 861.62 B742 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/09ad9101-3962-7714-79d5-d16a0d7d81a8-spa,"The end of the fucking world","Forsman, Charles",9788494785245,,"Sapristi/Roca Editorial de Libros",2018,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC NOVEL Forsman, C. - On Shelf,Graphic Novel/Manga::Franklin: SPANISH GRAPHIC NOVEL Forsman, C. - On Shelf,Graphic Novel/Manga::McKinley: SPANISH GRAPHIC NOVEL Forsman, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/560c90f1-a306-6e91-1424-104577970d8e-spa,"La transformación total de su dinero: un plan efectivo para alcanzar paz financiera","Ramsey, Dave",9781400342761,,HarperEnfoque,2024,"Nashville, TN",Book,"Book::Central: SPANISH 332.024 R183 2024 - On Shelf,Book::Galt: SPANISH 332.024 R183 2024 - On Shelf,Book::North Natomas: SPANISH 332.024 R183 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a825f14c-c0f9-162c-7f5c-26fa173e891a-spa,"El jardín de los delirios: Las ilusiones del naturalismo","Castillo, Ramón del",9788417141844,,"Turner Publicaciones; Turner","2019 - 2021",Madrid,eBook;Book,"Book::McKinley: SPANISH 113.8 C352 2019 - On Shelf,Book::Pocket-Greenhaven: SPANISH 113.8 C352 2019 - On Shelf,Book::Walnut Grove: SPANISH 113.8 C352 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dac52226-303b-21bd-04d4-fc9c4d9dfe4d-spa,"¡Atrévete y hazlo!: encuentra el coraje para transformarte y ser más feliz","Merlo, Dany, 1980-",9786073808545,,Aguilar,2022,"Ciudad de México",Book,
https://catalog.saclibrary.org/GroupedWork/2fac358f-3b3b-455d-b7a7-c84048ecbdd6-spa,"Más allá de los Bridgerton: entre la historia y la fantasía romántica","Rubio, Gemma",9788418703607,,"Redbook Ediciones",2023,Barcelona,Book,"Book::Central: SPANISH 791.4572 R896 2023 - On Shelf,Book::Fair Oaks: SPANISH 791.4572 R896 2023 - On Shelf,Book::Franklin: SPANISH 791.4572 R896 2023 - On Shelf"
