Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/0516d9dc-6d25-09b0-4e51-894a81a73613-spa,"Animales fantásticos y dónde encontrarlos: guión original de la película","Rowling, J. K",9788498387902,,"Salamandra; Pottermore Publishing",2017,Barcelona,eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 822.914 R884 2017 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 822.914 R884 2017 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/50d6d09c-8fdb-6443-3a73-b27870b56edb-spa,Reckless,"Roberts, Lauren, 2002-",9786073850568,,"ALFAGUARA IJC; Penguin Random House Audio; Alfaguara",2024,Barcelona,eAudiobook;eBook;Book,"Book::Carmichael Teen Area: SPANISH TEEN FICTION Roberts, L. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Roberts, L. - Checked Out,Book::Colonial Heights: SPANISH TEEN FICTION Roberts, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b796743a-0e6d-1749-edb5-b9ddb7d5fa2c-spa,"Seis de cuervos","Bardugo, Leigh",9788416387588,,"BookaVivo; Hidra","2016 - 2024","[Place of publication not identified]",eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/243ee5a5-b142-63af-2f8d-b235574f6d80-spa,"Sirena Esmeralda y la fiesta del océano","Muncaster, Harriet",9786073846783,,Alfaguara,2024,"Ciudad de Mexico",Book,"Book::Central Kids Place - Lower Level: SPANISH MOVING UP Muncaster, H. - On Shelf,Book::Del Paso Heights Children's Area: SPANISH MOVING UP Muncaster, H. - On Shelf,Book::Elk Grove Kids' Place: SPANISH MOVING UP Muncaster, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b13c95c5-2ebb-9a78-92c5-d1b493293439-spa,"El linaje perdido","Santamaría, Jara, 1990-",9788417736910,,"Penguin Random House Audio; B de Blok","2020 - 2021",Barcelona,eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/1f17626e-4eaf-19bb-c40a-aafbf89c639f-spa,"El sobrino del mago","Lewis, C. S. (Clive Staples), 1898-1963",9789561316744,,"Rayo; HarperCollins; Grupo Nelson; Editorial Andrés Bello","2004 - 2024","New York, N.Y; Barcelona; Santiago de Chile",eAudiobook;eBook;Book,
https://catalog.saclibrary.org/GroupedWork/aa777bff-32d0-42f0-fbea-ec57e0f758b5-spa,"Alicia en el país de las maravillas","Carroll, Lewis, 1832-1898",9788491050742,,"ANAYA INFANTIL Y JUVENIL; Penguin Clásicos; Rosetta Edu; Knopf Doubleday Publishing Group; Lebooks Editora; Ecos Eternos; Laberinto; Letra Impresa; Ediciones Akal; Audiolibros Colección; Ediciones Rialp, S.A.","2003 - 2024",Barcelona,eBook;Book;eAudiobook,"Book::Central: SPANISH FICTION Carroll, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f8350cc3-e450-799d-f58c-e76807e299ee-spa,"Chaos & flame","Gratton, Tessa",9788419252807,,Puck,2024,Argentina,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Gratton, T. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Gratton, T. - On Shelf,Book::Colonial Heights: SPANISH TEEN FICTION Gratton, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4541f669-9d19-6938-5797-94eded997ec9-spa,"La Princesa de Negro y la batalla del baño","Hale, Shannon",9781644733844,,Beascoa,2023,"Miami, FL",Book,"Book::Central Kids Place - Lower Level: SPANISH MOVING UP Hale, S. - Checked Out,Book::Courtland Children's Area: SPANISH MOVING UP Hale, S. - On Shelf,Book::McKinley Children's Area: SPANISH MOVING UP Hale, S. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/2441449b-e059-44b6-cd72-053dfc447bca-spa,"Una vecina muy mágica","Battault, Paule",9786073846868,,"B De Blok, Penguin Random House Grupo Editorial",2024,"Ciudad de Mexico",Book,"Book::Carmichael Children's Area: SPANISH MOVING UP Battault, P. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH MOVING UP Battault, P. - On Shelf,Book::Courtland Children's Area: SPANISH MOVING UP Battault, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/75c870d1-7346-d1fe-0ea6-118643b93c55-spa,"El cuarto aprendiz","Hunter, Erin",9788418174292,,Salamandra,2021,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Hunter, E. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Hunter, E. - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION Hunter, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c3c1db19-8ab5-ff5d-e112-576c6c72c417-spa,"El ojo del cementerio","Dahl, Michael",9781496585356,,"Capstone; Stone Arch Books, a Capstone imprint","2019 - 2020","North Mankato, Minnesota",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Dahl, M. - On Shelf,Book::Franklin Children's: SPANISH CHILDREN FICTION Dahl, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/48cfaa14-b710-edef-23a5-4589158faeb8-spa,"Un hilo infinito","Mafi, Tahereh",9788419252753,,Puck,2024,Madrid,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Mafi, T. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Mafi, T. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Mafi, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/122c85a6-878d-fb26-d027-0771a5b6e6de-spa,"Los viajes de Gulliver","Swift, Jonathan, 1667-1745",9788418008955,,"Anders Producciones; Molino","2021 - 2022","Barcelona; Spain",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Swift, J. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Swift, J. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Swift, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3a283d57-372f-05f5-f32c-48f06772b200-spa,"Dioses y monstruos","Mahurin, Shelby",9788419252975,,Puck,2024,Argentina,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Mahurin, S. - On Shelf,Book::Carmichael Teen Area: SPANISH TEEN FICTION Mahurin, S. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Mahurin, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fff9ac90-06a7-6384-f09d-c12a4a6d90f2-spa,"Donde mora la oscuridad","Poranek, A. B",9788419252517,,Puck,2024,Argentina,Book,"Book::Carmichael Teen Area: SPANISH TEEN FICTION Poranek, A. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Poranek, A. - On Shelf,Book::Colonial Heights: SPANISH TEEN FICTION Poranek, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/94c1cb6e-daad-fb21-1b7c-3b029202c2ce-spa,"La torre de Nerón","Riordan, Rick",9788418038938,,"Penguin Random House Audio; Montena","2020 - 2026",Barcelona,eAudiobook;Book,"Book::Courtland Children's Area: SPANISH CHILDREN FICTION Riordan, R. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Riordan, R. - On Shelf"
