Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/838f8574-32f5-95d7-e7e1-af7c59ca0040-spa,"El libro de los dragones","Hague, Michael",9788466627160,,"Ediciones B",2006,Barcelona,Book,"Book::Isleton Children's Area: SPANISH CHILDREN FICTION Hague, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5c56f7b9-2a34-6673-96f5-72521f29a6c6-spa,"El día que mamá perdió la paciencia","Gopegui, Belén, 1963-",9788467585520,,SM,2022,"Boadilla del Monte, Madrid",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Gopegui, B. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Gopegui, B. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Gopegui, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/76a61456-5fae-89b7-0cf2-bc0789320b50-spa,"Mâagicas historias para antes de dormir: cuentos, fâabulas y leyendas",,9788492691920,,Pirueta,2010,Barcelona,Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN 808.899282 M194 2010 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/01fc319b-e93b-0fa0-16be-de15dbd96c74-spa,Extraños,"Aldridge, Ethan M",9786075278858,,"Océano Historias gráficas",2019,"Cuidad de Mexico","Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Aldridge, E. - On Shelf,Graphic Novel/Manga::Central: SPANISH CHILDREN GRAPHIC NOVEL Aldridge, E. - On Shelf,Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Aldridge, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1478d2d1-a5ef-58bb-698d-16e456c5623d-spa,"Llama tres veces","Cowell, Cressida",9788418870538,,"Roca Editorial",2021,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/5655fc66-97f9-41ab-b555-ab429fa7e89a-spa,"El árbol que arrulla y otros poemas","Díaz, Gloria Cecilia",9789583055119,,"Panamericana editorial",2017,Colombia,Book,
https://catalog.saclibrary.org/GroupedWork/c537c128-8b25-2e67-de51-18d59eb7f017-spa,"K-pop demon hunters: ¡por los fans!","Song, Angela",9788890987892,,Montena,2026,Barcelona,"Picture Book","Picture Book::Sacramento Public Library: ON ORDER - On Order,Picture Book::Sacramento Public Library: SPANISH PICTURE BOOK K-Pop - In Processing"
https://catalog.saclibrary.org/GroupedWork/2556395e-b581-edea-6351-0211eceefe0d-spa,"Bakugan battle brawlers","West, Tracey, 1965-",9780545176019,,Scholastic,2009,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/c0b0ba4f-b597-59f9-d1ea-9a62ffa172b5-spa,"Harry Potter: un viaje por la historia de la magia",,9788498388824,,Salamandra,2019,Barcelona,Book,
https://catalog.saclibrary.org/GroupedWork/d0a55e15-1575-0594-17a3-7f019fd45d99-spa,"Fushhh!: el chorro de inventos súper húmedos de Lonnie Johnson","Barton, Chris",9781580895231,,Charlesbridge,2019,"Watertown, MA",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN BIOGRAPHY Johnson, L. 2019 - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN BIOGRAPHY Johnson, L. 2019 - On Shelf,Book::South Natomas Children's Area: SPANISH CHILDREN BIOGRAPHY Johnson, L. 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7e211a95-3a3c-55e2-df77-ee8887da4909-spa,"Oliver Twist","Dickens, Charles, 1812-1870",9788483460122,,"Panamericana Editorial; NARRATORES; DeBolsillo; Audiolibros Colección; Findaway Voices","2006 - 2023",Barcelona,eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/6d4d1368-7646-5971-6410-45c0029c25e1-spa,"El gran libro juego para buscar y encontrar",,9788417210199,,"Editorial el Pirata",2022,"Sabadell (Barcelona)",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 793.73 A597 2022 - On Shelf,Book::McClatchy Children's Area: SPANISH CHILDREN 793.73 A597 2022 - Checked Out,Book::North Natomas Children's Area: SPANISH CHILDREN 793.73 A597 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/62f10327-dd8a-bd7b-d5d8-3c738eb48f35-spa,"Se curan rotos, descosidos y deshilachados","Toledo, Alex, 1992-",9786073171489,,"Penguin Random House Grupo Editorial",2022,"Mexico City",Book,"Book::Colonial Heights: SPANISH TEEN 302.3 T649 2022 - On Shelf,Book::Valley Hi-North Laguna Teen Area: SPANISH TEEN 302.3 T649 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bb1e7c3b-3eb3-7ea3-31d2-009e96ab79c7-spa,"Juega conmigo","Hillert, Margaret",9781684045396,,"Norwood House Press",2021,"[Chicago, IL]",Book,
