Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/bbb35568-c94d-7d59-3616-4c051bed279d-eng,"Murder at Somerset House: a Wrexford & Sloane historical mystery","Penrose, Andrea",9781496739995,,"Tantor Media, Inc; Kensington Publishing Corp; Kensington Books",2025,"New York",eAudiobook;Book;eBook,"Book::Arcade: MYSTERY Penrose, A. - On Shelf,Book::Central New Books - 4th Floor: MYSTERY Penrose, A. - On Shelf,Book::Franklin: MYSTERY Penrose, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/565648da-39ea-eb3c-74f2-8ebda76920cc-eng,"The Ludwig Conspiracy: a historical thriller","Pötzsch, Oliver",9780547740102,,"HarperVia; Houghton Mifflin Harcourt; HarperCollins",2013,Boston,eBook;Book,"Book::Arcade: FICTION Potzsch, O. - On Shelf,Book::Central: FICTION Potzsch, O. - On Shelf,Book::Belle Cooledge: FICTION Potzsch, O. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b4c641cf-821c-e7e4-dffc-230a067ec2a9-eng,"The star society: a historical novel","Saab, Gabriella",9781400351312,,"Harper Muse",2026,Nashville,eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: FICTION Saab, G. - On Shelf,Book::Fair Oaks: FICTION Saab, G. - Checked Out,Book::Orangevale: FICTION Saab, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fabb7fb3-843e-3961-dd8a-4a5ad691b6d6-eng,"The Nubian's curse: a Benjamin January historical mystery","Hambly, Barbara",9781448311361,,"Severn House",2024,"London, England",eBook;Book,"Book::Central: MYSTERY Hambly, B. - On Shelf,Book::Fair Oaks: MYSTERY Hambly, B. - On Shelf,Book::North Natomas: MYSTERY Hambly, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b794a600-9368-2b77-8fb3-a064b98f292c-eng,"Hearts entwined: a historical romance novella collection",,9780764230325,,"Bethany House, a division of Baker Publishing Group",2018,"Minneapolis, Minnesota",Book,"Book::Central: FICTION Hearts - On Shelf,Book::South Natomas: FICTION Hearts - On Shelf,Book::North Natomas: FICTION Hearts - On Shelf"
https://catalog.saclibrary.org/GroupedWork/62a31d52-f3c0-c5f9-5dfb-f492226a3264-eng,"Deadly engagement: a Georgian historical mystery","Brant, Lucinda",9780987243058,,Sprigleaf,2015,"[United States]",Book,"Book::Valley Hi-North Laguna: MYSTERY Brant, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8150a5cd-858f-3d08-8e8f-c55c235245aa-eng,"The call of the sea: a historical romance","Bessey, Siân Ann, 1963-",9781524422257,,"Covenant Communications, Inc",2022,"American Fork",Book,"Book::South Natomas: FICTION Bessey, S. - On Shelf,Book::Rancho Cordova: FICTION Bessey, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a00c2fdc-e0b3-53fd-bb02-995b160e3f7f-eng,"Tiberius Julius Alexander: a historical novel","Friedenberg, Daniel M",9781616141752,,"Prometheus Books",2010,"Amherst, N.Y",Book,"Book::Central: FICTION Friedenberg, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0980bfb3-9910-caa4-2a23-f3733be2da7d-eng,"Hardcastle's traitors: [a Hardcastle and Marriott historical mystery]","Ison, Graham",9780727883124,,"Severn House",2013,"Sutton, Surrey, England",eBook;Book,"Book::Central: MYSTERY Ison, G. - On Shelf,Book::Belle Cooledge: MYSTERY Ison, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ed80e0d0-7b0e-a4e7-9dad-1152354c6bde-eng,"His Bloody Project: Documents Relating to the Case of Roderick Macrae: a historical thriller","Burnet, Graeme Macrae, 1967-",9781510719217,,"Blackstone Audio; Skyhorse Publishing; Skyhorse; Blackstone Publishing","2016 - 2017","New York, NY; [Ashland, OR]","Audiobook - CD;eBook;Book;eAudiobook","Book::Valley Hi-North Laguna: FICTION Burnet, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/73a1cd50-a409-a4ab-6e84-c9ee18dbdd1b-eng,"The office of historical corrections: a novella and stories","Evans, Danielle",9781594487330,,"Riverhead Books; Penguin Publishing Group; Books on Tape",2020,"New York",eAudiobook;Book;eBook,"Book::Carmichael: FICTION Evans, D. - On Shelf,Book::Central: FICTION Evans, D. - On Shelf,Book::Franklin: FICTION Evans, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/35bfd95f-0c8a-3e44-ba13-9f1d5ae19ef2-eng,"The clansman: an historical romance of the Ku Klux Klan","Dixon, Thomas, Jr., 1864-1946",,,"Project Gutenberg; Grosset & Dunlap",1905,"New York",eBook;Book,"Book::Sacramento Room: FICTION Dixon, T. SPE - Library Use Only,Book::Sacramento Room: FICTION Dixon, T. SPE VAU - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d3010bbf-7cf0-0bbf-f734-8a03eff80539-eng,"The exile of Sara Stevenson: a historical novel","Hannah, Darci",9780345520548,,"Ballantine Books",2010,"New York",Book,"Book::Central: FICTION Hannah, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/edbdcb32-85c7-4495-4526-f468d83c3484-eng,"Death and hard cider: a Benjamin January historical mystery","Hambly, Barbara",9780727850744,,"Severn House",2022,Edinburgh,eBook;Book,"Book::Carmichael: MYSTERY Hambly, B. - On Shelf,Book::Central: MYSTERY Hambly, B. - On Shelf,Book::North Natomas: MYSTERY Hambly, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a0e564c1-f0c6-034f-a736-7bd87b7bfdaa-eng,"Historical whodunits",,9780760704769,,"Barnes & Noble",1997,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/58215547-f5ac-8d90-b0a5-dddf46378068-eng,"Historical romances: The prince and the pauper, A Connecticut Yankee in King Arthur's court, Personal recollections of Joan of Arc","Twain, Mark, 1835-1910",9780940450820,,"Distributed to the trade in the U.S. by Penguin Books USA; Library of America",1994,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/3ffe6e09-ed63-a93f-2a8f-c6aa12e85e37-eng,"The flight of the Ilyushin 76: a historical novel","Cohen, Herbert L. (Herbert Leonard), 1928-",9798391566588,,"Herbert Leonard Cohen",2024,"United States",Book,"Book::Central Local Author - 2nd Floor: FICTION Cohen, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4b38d896-995d-9357-2969-e86ea9c40964-eng,"The eagle and the viper: a novel of historical suspense","Estleman, Loren D",9781250258625,,"Forge; Tor Publishing Group",2021,"New York",eBook;Book,"Book::Central: FICTION Estleman, L. - On Shelf,Book::McClatchy: FICTION Estleman, L. - On Shelf,Book::Colusa Main Branch Adult Collection: Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/05d2e70b-bc06-1cdd-f29c-3ac0794c549f-eng,"Brother Sam: a biographical-historical novel","Simpson, Lawrence R., 1907-",9780936784502,,"Fithian Press",1988,"Santa Barbara",Book,"Book::Sacramento Room: SPE fic Simpson CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d4d71dec-fecb-0877-90cc-ade00bc1b718-eng,"Silent heart: seventeenth-century Italy comes alive in this historical romance","Youree, Barbara",9781410416742,,"Thorndike Press",2009,"Waterville, Me","Large Print","Large Print::Pocket-Greenhaven: LARGE PRINT FICTION Youree, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cfdfa5c7-e474-f4c3-c9c9-0bbebe0680bf-eng,"The 12 brides of summer collection: 12 historical brides find love in the good old summertime",,9781634090292,,"Barbour Books, an imprint of Barbour Publishing, Inc",2016,"Uhrichsville, OH",Book,"Book::Central: FICTION Twelve - On Shelf,Book::Fair Oaks: FICTION Twelve - On Shelf,Book::North Natomas: FICTION Twelve - On Shelf"
https://catalog.saclibrary.org/GroupedWork/452a2242-c693-b0a8-0306-ebf21493b2b8-eng,"Nobility in the rough: an historical novel","Boring, David",,,"D. Ryerson, inc",1938,"New York",Book,"Book::Sacramento Room: SPE fic Boring CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/6a318174-8ae7-9afd-e5b7-871774dece35-eng,"The historical society murder mystery","Landrum, Graham, 1922-",9780312143558,,"St. Martin's Press",1996,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/1093fbb0-cc74-7263-8152-1259c4fc65d0-eng,"Historically inaccurate","Bravo, Shay",9781989365373,,"Wattpad Books",2020,"Toronto, ON",Book,
https://catalog.saclibrary.org/GroupedWork/65cf2f6c-5c23-2fd1-9545-50556d3abb47-eng,"Duke I'd like to f: a historical romance anthology",,9781949364095,,"[publisher not identified]",2020,"[place of publication not identified]",Book,"Book::Arcade: FICTION Duke - On Shelf,Book::Central: FICTION Duke - On Shelf,Book::Fair Oaks: FICTION Duke - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c4ebe6d0-117d-d6d6-c981-db5a5ea04d9b-eng,"Sold on a Monday","McMorris, Kristina",9781492663997,,"Thorndike Press, a part of Gale, a Cengage Company; Recorded Books, Inc.; Sourcebooks Inc; Recorded Books; Sourcebooks; Sourcebooks Landmark",2018,"Prince Frederick, Md; Naperville, Illinois; Farmington Hills, Mich","eAudiobook;Audiobook - CD;eBook;Large Print;Book","Book::Galt: FICTION McMorris, K. - Checked Out,Book::South Natomas: FICTION McMorris, K. - On Shelf,Book::Southgate: FICTION McMorris, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/58428abf-a780-9517-75a5-8b746fd8abbc-eng,"The last Californian: an historical novel of the Rancheria Massacre","Guthrie, Feliz",9780918466136,,"Quintessence Publications",1987,"Amador City, Calif., U.S.A",Book,"Book::Sacramento Room: SPE fic Guthrie CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/9695e4f3-124e-9db1-2b8a-1d3215067236-eng,"Forbidden night with the warrior","Willingham, Michelle (Author of historical romances)",9780373299386,,"Harlequin Enterprises Limited",2017,"Don Mills, Ontario, Canada",Book,"Book::Central: FICTION Willingham, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/92445c44-77b6-3897-e45b-f37a232aa8cb-eng,"The Good Inn: an Illustrated Screen Story of Historical Fiction","Black, Frank, 1965-",9780062220790,,"It Books, an imprint of HarperCollinsPublishers; HarperCollins",2014,"New York",Book,"Book::Central: FICTION Black, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fe5c4014-17d5-4415-6055-d38dd1f3d391-eng,"A Warriner to protect her","Heath, Virginia",9780373629336,,"Harlequin Audio; Harlequin Enterprises Limited; Harlequin Historical; Harlequin","2017 - 2024","Don Mills, Ontario",eBook;Book;eAudiobook,"Book::Arcade: FICTION Heath, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3727df7f-7909-49ef-f686-6823c3036043-eng,"A ring of truth: A Henrietta and Inspector Howard novel","Cox, Michelle (Historical fiction writer)",9781631521966,,"She Writes Press","2016 - 2017","Berkeley, CA",eBook;Book,"Book::Pocket-Greenhaven: FICTION Cox, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1b5d3e9e-28ec-940e-4f60-cd30d6f08e2f-eng,"Warrior of fire","Willingham, Michelle (Author of historical romances)",9780373298624,,"Harlequin Enterprises Limited",2015,"Don Mills, Ontario",Book,"Book::Carmichael: FICTION Willingham, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1f719ead-f623-e59e-c1c6-8717e9ce07ef-eng,"The lake: Legends of NOLA. Book one : A historical time travel adventure","Elliston, D. S",9780985480141,,"Elliston Entertainment",2017,Florida,Book,"Book::Orangevale: SCIENCE FICTION Elliston, D. - On Shelf,Book::Southgate: SCIENCE FICTION Elliston, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/18a104da-c79c-f529-0959-397b07974f72-eng,"Never seduce a scoundrel","Grothaus, Heather",9781420112436,,"Zebra Books","2011 - 2012","New York",eBook;Book,"Book::Central: FICTION Grothaus, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/94528e08-2eb0-5c92-d865-5231857f311c-eng,"King of the isles","Mazzuca, Debbie",9781420110074,,"Zebra Books","2011 - 2012","New York",eBook;Book,"Book::North Natomas: FICTION Mazzuca, D. - On Shelf"
