Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/69fa53cd-12c1-a9a6-3bac-d370348188cc-eng,"Historical memoirs of New California","Palóu, Francisco, 1723-1789",4,,"University of California Press",1926,"Berkeley, Calif",Book,"Book::Carmichael California Collection: CALIFORNIA 979.402 P181 1926 v.1 - Library Use Only,Book::Carmichael California Collection: CALIFORNIA 979.402 P181 1926 v.2 - Library Use Only,Book::Carmichael California Collection: CALIFORNIA 979.402 P181 1926 v.3 - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/38ba9788-d808-d40b-31f6-05562765312f-eng,"Historical and genealogical catalogue: containing inventories of documents, surveys, maps, manuscripts, deeds, genealogies and microfilms in the library of Salem County Historical Society","Salem County Historical Society",,,"The Society",1964,"Salem, N.J",Book,"Book::Central Genealogy - 2nd Floor: GENEALOGY 929.374991 S163 1964 - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/f6824991-c57a-b749-5c6c-a2b074fe2173-eng,"Historical materials in the John Fitzgerald Kennedy Library","John F. Kennedy Library",,,"The Library","1990 - 1993","Boston, Mass. (Columbia Point, Boston 02125)",Book,"Book::Central: FED AE 1.102:H 62/2/993 - Library Use Only,Book::Central: FED AE 1.102:H62/2 - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/c4bd9816-282c-e3b2-7f6f-649f75cbe9cb-eng,"Historical atlas of Islam","Ruthven, Malise",9780674013858,,"Harvard University Press",2004,"Cambridge, Mass",Book,"Book::Central: 911.1767 R976 2004 - On Shelf,Book::McKinley: 911.1767 R976 2004 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9ed3c2ed-6241-18c7-b370-4e176d3a1324-eng,"Historically Black colleges and universities' guide to excellence","Harvey, William R., 1941-",9780062863287,,"Amistad, an imprint of HarperCollinsPublishers; HarperCollins; HarperAudio",2023,"New York, NY",eBook;Book;eAudiobook,"Book::Carmichael: 378.73 H342 2023 - On Shelf,Book::Central: 378.73 H342 2023 - On Shelf,Book::North Natomas: 378.73 H342 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a738e5b3-8497-f56b-6200-bdd147b1e88a-eng,"Historical and descriptive sketch book of Napa, Sonoma, Lake, and Mendocino: comprising sketches of their topography, productions, history, scenery, and peculiar attractions","Menefee, C. A. (Campbell Augustus), 1846-",,,"Reporter Pub. House; California History Books","1873 - 1970","[s.l.]; Napa City, [Calif.]",Book,"Book::Carmichael California Collection: CALIFORNIA 979.41 M541 1873a - Library Use Only,Book::Sacramento Room: SPE 979.41 M541 1873a CAL - Library Use Only,Book::Sacramento Room: SPE 979.41 M541 1873 CAL VAU - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/1d6de68f-9bc1-3b06-bba8-158f3e8889ce-eng,"Historical dictionary of Vietnam","Duiker, William J., 1932-",9780810833517,,"Scarecrow Press",1998,"Lanham, Md",Book,"Book::Central: 959.7003 D873 1998 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/14e21959-9cde-9b73-81d9-ec3e6d9346e9-eng,"Historical dictionary of Laos","Stuart-Fox, Martin, 1939-",9780810838802,,"Scarecrow Press",2001,"Lanham, MD",Book,"Book::Central: 959.4 S929h 2001 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d80bb109-3ee4-bf70-777d-b957fd3e5c11-eng,"A historical, political, and natural description of California","Fages, Pedro",,,"University of California Press; Ballena Press","1937 - 1972","Ramona, Calif; Berkeley",Book,"Book::Sacramento Room: SPE 979.402 F153 1972 CAL - Library Use Only,Book::Carmichael California Collection: CALIFORNIA 979.402 F153 1937 - Library Use Only,Book::Sacramento Room: 979.402 F153 1937 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d510d28d-d933-b59d-127a-6dc3ac87a988-eng,"Historical mining certificates",,,,"Book Club of California",1971,"San Francisco",Book,"Book::Carmichael California Collection: CALIFORNIA 050.9794 B724 1971 - Library Use Only,Book::Sacramento Room: SPE 050.9794 B724 1971 CAL - Library Use Only,Book::Sacramento Room: SPE 979.44 H673 1971 CAL - Library Use Only"
