Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/e7293c1b-acd2-bf34-03ad-c6d8f81d3f34-eng,"Historically black colleges and universities","Wing, Kelisa",9781534199293,,"Cherry Lake Press; Cherry Lake Publishing","2021 - 2022","Ann Arbor, Michigan",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN 378.1982 W769 2022 - On Shelf,Book::Colonial Heights Children's Area: CHILDREN 378.1982 W769 2022 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 378.1982 W769 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/51245437-bcd7-ba17-b108-91d804fd4dd7-eng,"Historical animals: the dogs, cats, horses, snakes, goats, rats, dragons, bears, elephants, rabbits, and other creatures that changed the world","Moberg, Julia",9781623540487,,"Imagine! Publishing",2015,"Watertown, MA",Book,"Book::Colonial Heights Children's Area: CHILDREN 590.9 M687 2015 - On Shelf,Book::Elk Grove Kids' Place: CHILDREN 590.9 M687 2015 - On Shelf,Book::Orangevale: CHILDREN 590.9 M687 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9c9800f7-b1c2-63f8-455b-3244cc361005-eng,"Historically Black colleges and universities","Miller, J. P. (Janice P.)",9781731657305,,"Rourke Educational Media",2024,"[Vero Beach, Florida]",Book,"Book::Carmichael Children's Area: CHILDREN 378.1982 M648 2024 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 378.1982 M648 2024 - On Shelf,Book::Del Paso Heights Children's Area: CHILDREN 378.1982 M648 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e6dfd816-4c0d-3c2e-f2d9-d0f164d8e490-eng,"A historical album of California","Wills, Charles",9781562944797,,"Millbrook Press",1994,"Brookfield, Conn",Book,
https://catalog.saclibrary.org/GroupedWork/91f4d98c-2430-f34e-3daa-24590764f720-eng,"Great men and historical moments in Stockton",,,,"Bank of Stockton",1977,"Stockton, Calif",Book,"Book::Sacramento Room: 979.455 G786 1977 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/3d71ab40-0f79-82d9-9ea5-2e335eea2a50-eng,"California's Black pioneers: a brief historical survey","Goode, Kenneth G",9780874611731,,"McNally & Loftin",1974,"Santa Barbara, Calif",Book,"Book::Carmichael California Collection: CALIFORNIA 979.4 G647 1974 - Library Use Only,Book::Sacramento Room: SPE 979.4 G647 1974 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/a7674fa7-add8-8108-877f-9408afa761d1-eng,"Get dressed!: a historical guessing game for fashion lovers","Canales, Katy",9781838669966,,"Phaidon Press",2025,"New York, NY",Book,"Book::Carmichael Children's Area: OVERSIZE CHILDREN 391 C212 2025 - On Shelf,Book::Central Kids Place - Lower Level: OVERSIZE CHILDREN 391 C212 2025 - On Shelf,Book::Belle Cooledge Children's Area: OVERSIZE CHILDREN 391 C212 2025 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/f7aa722f-414b-1eea-de60-c0b9314ef89e-eng,"What really happened in ancient times: a collection of historical biographies","Johnson, Terri",9781932786590,,"Knowledge Quest",2017,"Gresham, OR",Book,"Book::Galt Children's Area: CHILDREN 920.02 J696 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/34d0661c-954b-88f2-8f4e-a820461b3d5a-eng,"The colonies","Stefoff, Rebecca, 1951-",9780761410577,,"Benchmark Books",2001,"New York",Book,"Book::Southgate Children's Area: CHILDREN 973.2 S817 2001 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6fafae16-9c69-24d8-6c8e-0692d27eada5-eng,"The Civil War, 1861-1863","Stefoff, Rebecca, 1951-",9780761413462,,"Benchmark Books/Marshall Cavendish",2003,"New York",Book,"Book::Valley Hi-North Laguna Children's Area: CHILDREN 973.7 S817 2003 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/740c6641-5f2f-ab3f-b54f-8c71ee248a18-eng,"Celebritrees: historic and famous trees of the world","Preus, Margi",9780805078299,,"Henry Holt and Co. (BYR); Henry Holt","2010 - 2011","New York",eBook;Book,"Book::Belle Cooledge Children's Area: CHILDREN 582.16 P943 2010 - On Shelf,Book::Elk Grove Kids' Place: CHILDREN 582.16 P943 2010 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8aa94a15-c684-6ff9-3fc4-c32eab974a98-eng,"The mystery of the Titanic: a historical investigation for kids","Halls, Kelly Milner, 1957-",9781647398774,,"Sourcebooks; Rockridge Press",2021,"Emeryville, CA",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/69420fac-cc63-4e7b-690b-cabb699be53a-eng,"The dream & the hope: the historic rise of Ketanji Brown Jackson to the nation's highest court","Thomas, Garen",9780063311442,,"HarperCollins; Harper",2026,"New York",eAudiobook;Book;eBook,"Book::Carmichael Children's Area: CHILDREN BIOGRAPHY Jackson, K. 2026 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN BIOGRAPHY Jackson, K. 2026 - On Shelf,Book::McKinley Children's Area: CHILDREN BIOGRAPHY Jackson, K. 2026 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d13d0da7-5b21-116b-45d0-73b38df5dd74-eng,"Dream Big Dreams: photographs from Barack Obama's inspiring and historic presidency","Souza, Pete",9780316514392,,"Little, Brown Books for Young Readers; Little, Brown Books for Young Readers, Hachette Book Group",2017,"New York",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN 973.932 O12zs2 2017 - On Shelf,Book::McClatchy Children's Area: CHILDREN 973.932 O12zs2 2017 - On Shelf,Book::South Natomas Children's Area: CHILDREN 973.932 O12zs2 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ec4d0fdc-32ef-79d7-987a-cc817f0b8d79-eng,"The Bronze age","Kaiser, Emma",9781098295622,,"Core Library, an imprint of Abdo Publishing",2025,"Minneapolis, Minnesota",Book,"Book::Carmichael Children's Area: CHILDREN 930.156 K134 2024 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 930.156 K134 2024 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 930.156 K134 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d280c6e3-cc39-ab06-9796-2fadfb2dac19-eng,"The words of Harriet Tubman","Youssef, Jagger",9781642824629,,"PowerKids Press; The Rosen Publishing Group, Inc","2022 - 2023","Buffalo, NY",eBook;Book,"Book::Central Kids Place - Lower Level: CHILDREN BIOGRAPHY Tubman, H. 2023 - On Shelf,Book::Elk Grove Kids' Place: CHILDREN BIOGRAPHY Tubman, H. 2023 - On Shelf,Book::McClatchy Children's Area: CHILDREN BIOGRAPHY Tubman, H. 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/51571903-d572-99b6-a04a-0a0f81d2ff76-eng,"The Middle Ages: an interactive history adventure","Lassieur, Allison",9781429634182,,"You Choose Books; Capstone","2010 - 2016","Mankato, Minn",eBook;Book,"Book::Carmichael Children's Area: CHILDREN 940.1 L347 2010 - Checked Out,Book::Elk Grove Kids' Place: CHILDREN 940.1 L347 2010 - On Shelf,Book::Orangevale: CHILDREN 940.1 L347 2010 - On Shelf"
