Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/3c1b91bf-9cf7-461f-a67d-64ea78255ef4-spa,"Mi nombre es Emilia del Valle","Allende, Isabel",9798890983657,,"PLAZA & JANÉS; Vintage Espanol; Penguin Random House Audio",2025,[Miami],eAudiobook;eBook;Book,"Book::Central: SPANISH FICTION Allende, I. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Allende, I. - In Transit,Book::Courtland: SPANISH FICTION Allende, I. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7af8ded5-8801-3a21-b6c6-cc1d7488e1c8-spa,Violeta,"Allende, Isabel",9781644734780,,"PLAZA & JANÉS; Vintage Espanol; Penguin Random House Audio",2022,"Miami, FL",eAudiobook;eBook;Book,"Book::Central: SPANISH FICTION Allende, I. - On Shelf,Book::Sylvan Oaks: SPANISH FICTION Allende, I. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Allende, I. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/47004ec8-e61c-8b91-0aa1-500f62c8139e-spa,"Ocho millones de dioses","Gil, David B., 1979-",9788491293620,,"Suma de Letras; Penguin Random House Audio","2019 - 2021",Barcelona,eAudiobook;Book,"Book::Arcade: SPANISH FICTION Gil, D. - On Shelf,Book::Central: SPANISH FICTION Gil, D. - Display,Book::Rancho Cordova: SPANISH FICTION Gil, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4abe3122-5ba8-39e5-8739-b259e2d57f79-spa,"El ruiseñor","Hannah, Kristin",9781941999776,,"SUMA; Suma de Letras; Penguin Random House Audio","2016 - 2019","Miami, FL",eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Hannah, K. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Hannah, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/78f33e9e-f027-26eb-a424-388452308339-spa,"Retrato en sepia","Allende, Isabel",9780060936358,,"PLAZA & JANÉS; Rayo; Penguin Random House Audio","2002 - 2017","New York",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/5111ee1e-d16d-a61d-e1df-0ac324112c0d-spa,"El highlander seducido","McCarty, Monica",9788483469453,,"Cisne; CISNE","2009 - 2010","[Barcelona, Spain?]",eBook;Book,"Book::Central: SPANISH FICTION McCarty, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/58fce286-dc61-bc40-2ed4-b8416cc2d505-spa,"Dos veces única","Poniatowska, Elena",9786070730887,,"Seix Barral México; Seix Barral; Planeta Audio","2015 - 2024","MéðBxico, D.F",eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Poniatowska, E. - On Shelf,Book::Sylvan Oaks: SPANISH FICTION Poniatowska, E. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Poniatowska, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6e5c5eaa-2a57-74a9-dd03-e6b1f07413bb-spa,"El impostor","Cercas, Javier, 1962-",9788490627501,,"Debolsillo; Penguin Random House Audio","2016 - 2017",Barcelona,eAudiobook;Book,"Book::Central: SPANISH FICTION Cercas, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4ae75bd7-8b89-3103-9e5a-5d7665c404ab-spa,"Canción de amor de Auschwitz","Escobar, Mario, 1971-",9788466679954,,"EDICIONES B; Penguin Random House Grupo Editorial",2024,Barcelona,eBook;Book,"Book::Central: SPANISH FICTION Escobar, M. - On Shelf,Book::Courtland: SPANISH FICTION Escobar, M. - On Shelf,Book::Elk Grove: SPANISH FICTION Escobar, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c028598e-756c-95fc-2d42-0402cd935ce3-spa,"Los tres mundos: la conquista de las Galias por Julio César","Posteguillo, Santiago, 1967-",9788466682701,,"Ediciones B",2025,Barcelona,Book,"Book::Central New Books - 4th Floor: SPANISH FICTION Posteguillo, S. - Display,Book::North Natomas: SPANISH FICTION Posteguillo, S. - On Shelf,Book::North Sacramento-Hagginwood: SPANISH FICTION Posteguillo, S. - On Shelf"
