Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/cecbaf4d-9fe2-63fe-b54e-6454d7a5e1e5-spa,"Kino's historical memoir of Pimería Alta: a contemporary account of the beginnings of California, Sonora, and Arizona","Kino, Eusebio Francisco, 1644-1711",2,,"The Arthur H. Clark company",1919,Cleveland,Book,"Book::Sacramento Room: SPE 979.401 K55 1919 v.1 CAL - Library Use Only,Book::Sacramento Room: SPE 979.401 K55 1919 v.2 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/4ef7a00b-5acc-1613-b4e6-ea43fcdd180c-spa,"La cancion de Aquiles: un novela","Miller, Madeline",9788413622132,,"Alianza de Novelas",2021,Madrid,Book,"Book::Central: SPANISH FICTION Miller, M. - On Shelf,Book::Courtland: SPANISH FICTION Miller, M. - On Shelf,Book::Fair Oaks: SPANISH FICTION Miller, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2fac358f-3b3b-455d-b7a7-c84048ecbdd6-spa,"Más allá de los Bridgerton: entre la historia y la fantasía romántica","Rubio, Gemma",9788418703607,,"Redbook Ediciones",2023,Barcelona,Book,"Book::Central: SPANISH 791.4572 R896 2023 - On Shelf,Book::Fair Oaks: SPANISH 791.4572 R896 2023 - On Shelf,Book::Franklin: SPANISH 791.4572 R896 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6e7b4ad6-d004-158a-6dae-b04a54ab5ae8-spa,"Los reyes del mambo: tocan canciones de amor","Hijuelos, Oscar",9786071125576,,"Suma de Letras",2013,"México, D.F",Book,"Book::Central: SPANISH FICTION Hijuelos, O. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c3277fa7-bf6c-2822-0e19-8325e601f343-spa,"El libro de la tierra: el tiempo","Ruta, Matilda, 1982-",9788490659700,,Alba,2022,Barcelona,Book,"Book::Isleton Children's Area: SPANISH CHILDREN 508 R972 2022 - On Shelf,Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN 508 R972 2022 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 508 R972 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cdc12fa2-6af9-1e22-5e17-886d6f7a5d91-spa,"De animales a dioses: breve historia de la humanidad","Harari, Yuval N",9788499926223,,"Debate Editorial",2016,Barcelona,Book,"Book::Orangevale: SPANISH 573.209 H254 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3cfd6144-bddc-90f2-9e1f-d149b09ce993-spa,"El camino del fuego","Palacio, Celia del",9786070774188,,"Editorial Planeta Mexicana/Martinez Roca",2021,"Ciudad de México",Book,"Book::Carmichael: SPANISH FICTION Palacio, C. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Palacio, C. - On Shelf,Book::Walnut Grove: SPANISH FICTION Palacio, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/60e757e6-58e3-f1e3-9b5c-3d7c2c874133-spa,"Una entre muchas",Una,9788416251414,,"Astiberri Ediciones",2016,Bilbao,"Graphic Novel/Manga","Graphic Novel/Manga::Arcade: SPANISH GRAPHIC NOVEL Una - On Shelf,Graphic Novel/Manga::South Natomas: SPANISH GRAPHIC NOVEL Una - On Shelf,Graphic Novel/Manga::Sylvan Oaks: SPANISH GRAPHIC NOVEL Una - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d9fb785e-09b1-f456-264e-f18b14be2687-spa,"Los gladiadores y el coliseo","Saunders, Nicholas J",9789583040863,,"Panamericana Editorial",2013,Colombia,"Graphic Novel/Manga","Graphic Novel/Manga::Rancho Children's Area: SPANISH CHILDREN GRAPHIC 937.6 S257 2013 - On Shelf,Graphic Novel/Manga::Sylvan Oaks Children's Area: SPANISH CHILDREN GRAPHIC 937.6 S257 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e4934fb8-c2fc-b1bb-abfa-7ea306046466-spa,"Desperdicio militar obligatorio: Primera Parte, Volumen I","Reyes Rammsey, Guillermo",9781388324353,,Afortunados,2023,"Santiago, Chile","Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC 983.065 R457 2023 pt.1 v.1 - On Shelf,Graphic Novel/Manga::Belle Cooledge: SPANISH GRAPHIC 983.065 R457 2023 pt.1 v.1 - On Shelf,Graphic Novel/Manga::North Natomas: SPANISH GRAPHIC 983.065 R457 2023 pt.1 v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/99476170-f001-90a1-ac58-71726d49e516-spa,"La caída de Tenochtitlan: Libro I","Pescador, José Luis",9786073181785,,Grijalbo,2023,"Ciudad de México","Graphic Novel/Manga","Graphic Novel/Manga::Elk Grove: Spanish 741.56 P47 v.1 - On Shelf,Graphic Novel/Manga::Franklin: Spanish 741.56 P47 v.1 - On Shelf,Graphic Novel/Manga::Southgate: Spanish 741.56 P47 v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/90cc1b40-6f73-7351-905e-4bab875655c3-spa,"La caída de Tenochtitlan: Libro II","Pescador, José Luis",9786073810630,,Grijalbo,2022,"Ciudad de México","Graphic Novel/Manga","Graphic Novel/Manga::Arcade: SPANISH GRAPHIC 972.02 P473 2022 - On Shelf,Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 972.02 P473 2022 - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC 972.02 P473 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4f9fe3c8-8d6e-8f1d-5d27-5968a206ce3b-spa,"Africanus: novela gráfica","García, Iván, 1979-",9788466669863,,"Ediciones B",2023,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Arcade: SPANISH GRAPHIC NOVEL Posteguillo, S. - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC NOVEL Posteguillo, S. - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Posteguillo, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ba212516-48c3-2fb9-e81c-cc28943b04bc-spa,"Maus: I, Mi padre sangra historia : relato de un superviviente","Spiegelman, Art",9788418897009,,"Reservoir Books",2021,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 940.5318 S755m 2021 - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC 940.5318 S755m 2021 - Checked Out,Graphic Novel/Manga::Isleton: SPANISH GRAPHIC 940.5318 S755m 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c6ba005e-e225-b847-123f-0e1b1d27c25a-spa,"Haiku siberiano","Vilė, Jurga, 1977-",9788419581174,,Impedimenta,2023,Madrid,"Graphic Novel/Manga","Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 947.93084 V699 2023 - On Shelf,Graphic Novel/Manga::Galt: SPANISH GRAPHIC 947.93084 V699 2023 - On Shelf,Graphic Novel/Manga::Southgate: SPANISH GRAPHIC 947.93084 V699 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dbec218a-3e0c-22c5-06fa-96fe6726bf4c-spa,"Croke Park: 21 de noviembre de 1920, domingo sangriento en Dublín","Gâche, Sylvain",9788416086160,,"Ediciones Kraken",2021,Madrid,"Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC 941.50821 G291 2021 - On Shelf,Graphic Novel/Manga::Fair Oaks: SPANISH GRAPHIC 941.50821 G291 2021 - On Shelf,Graphic Novel/Manga::Franklin: SPANISH GRAPHIC 941.50821 G291 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b19ec183-8c20-3247-a1c0-087f3d4a6a96-spa,"Sapiens: de animales a dioses : breve historia de humanidad","Harari, Yuval N",9788419399717,,Debate,2023,Madrid,Book,
https://catalog.saclibrary.org/GroupedWork/07a1ac9d-80f4-0078-ae7f-f6e14e4dfda9-spa,"Las mejores recetas de la historia","Martínez Carrasco, María José",9788417809638,,"Plan B",2020,Barcelona,Book,"Book::Carmichael: SPANISH 641.509 M386 2020 - On Shelf,Book::Central: SPANISH 641.509 M386 2020 - On Shelf,Book::Galt: SPANISH 641.509 M386 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3972d4c9-59db-2720-57b1-b5c798c2c451-spa,"Enciclopedia de plantas medicinales: 560 hierbas y remedios para dolencias comunes","Chevallier, Andrew",9780593958971,,"Dorling Kindersley Limited DK",2024,"London, UK",Book,"Book::Central: SPANISH 615.32 C527 2024 - On Shelf,Book::Fair Oaks: SPANISH 615.32 C527 2024 - On Shelf,Book::Franklin: SPANISH 615.32 C527 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2584c072-babe-e5cb-2848-86270defafe2-spa,"El libro de la quimica",,9780744079104,,"Dorling Kindersley Limited",2023,London,Book,"Book::Central: SPANISH 540 C517 2023 - On Shelf,Book::Fair Oaks: SPANISH 540 C517 2023 - On Shelf,Book::Southgate: SPANISH 540 C517 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/05c5480e-1b2d-aab5-cfc6-51f171635cdc-spa,"Ucrania, las raíces de la guerra: los orígenes del conflicto y su devastador impacto global",,9789876146722,,"Clave Intelectual",2024,"Buenos Aires, Argentina",Book,"Book::Colonial Heights: SPANISH 947.7062 U17 2024 - On Shelf,Book::Rancho Cordova: SPANISH 947.7062 U17 2024 - On Shelf,Book::Sacramento Public Library Storage: SPANISH 947.7062 U17 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7a1dd561-f184-12cf-ead8-39f98db3f411-spa,"El futuro recordado","Vallejo Moreu, Irene",9786073820967,,Debate,2022,"Ciudad de México",Book,"Book::Central: SPANISH 864.7 V182 2022 - On Shelf,Book::Elk Grove: SPANISH 864.7 V182 2022 - On Shelf,Book::Franklin: SPANISH 864.7 V182 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/23a47614-980c-6ba6-3c1f-20c78189ab6f-spa,"Ética de la inteligencia artificial: principios, retos y oportunidades","Floridi, Luciano, 1964-",9788425450655,,Herder,2024,Barcelona,Book,"Book::Arcade: SPANISH 006.301 F636 2024 - On Shelf,Book::Carmichael: SPANISH 006.301 F636 2024 - On Shelf,Book::Central: SPANISH 006.301 F636 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e2d1d6bd-65ba-672b-9de8-fd0324ce4221-spa,"El escándalo de la homofobia: crónica de una represión milenaria","Barreda Solórzano, Luis de la",9786078745524,,"Trilce Ediciones",2023,"Ciudad de México",Book,"Book::Carmichael: SPANISH 306.766 B271 2023 - On Shelf,Book::Belle Cooledge: SPANISH 306.766 B271 2023 - In Transit,Book::Sacramento Public Library Storage: SPANISH 306.766 B271 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a083d7f5-f7f6-7397-dc89-d21ae9a31816-spa,"Desertores: el auge de la extrema derecha latina y su reprecusión en Estados Unidos","Ramos, Paola, 1987-",9781644739471,,"Vintage Español",2024,"Miami, FL",Book,"Book::Central: SPANISH 973.0468 R175 2024 - On Shelf,Book::North Natomas: SPANISH 973.0468 R175 2024 - On Shelf,Book::Valley Hi-North Laguna: SPANISH 973.0468 R175 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5fd627a5-efaa-262c-5b31-fce657cadb70-spa,"El tarot paso a paso: historia, iconografía, interpretación, lectura","Costa, Marianne",9786073824293,,Debolsillo,2023,"Ciudad de México",Book,"Book::Central: SPANISH 133.3242 C837 2023 - On Shelf,Book::Colonial Heights: SPANISH 133.3242 C837 2023 - On Shelf,Book::McClatchy: SPANISH 133.3242 C837 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4100ee8d-346a-d874-60fa-2dc7c402a9a5-spa,"Respira, aquí y ahora: tu respiración es tu superpoder","Sosa, Rubén",9788419248350,,Vergara,2022,Barcelona,Book,"Book::Arcade: SPANISH 613.192 S715 2022 - On Shelf,Book::Central: SPANISH 613.192 S715 2022 - On Shelf,Book::Fair Oaks: SPANISH 613.192 S715 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/35ed635d-4d20-6ce3-5da5-675da00fd454-spa,"Historia del tarot: origenes-iconografia simbolismo","Nadolny, Isabelle",9788491115878,,"Obelisco Ediciones",2020,Barcelona,Book,"Book::Carmichael: SPANISH 133.32424 N138 2020 - On Shelf,Book::Central: SPANISH 133.32424 N138 2020 - On Shelf,Book::Sylvan Oaks: SPANISH 133.32424 N138 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b71896cd-47d8-47cb-1ebc-545faec02559-spa,"La cocina de la reina: el recetario no oficial para los fans de The Crown","Clearwater, Dahlia",9788419004802,,"Duomo ediciones",2022,"Barcelona (España)",Book,"Book::Central: SPANISH 641.5942 C623 2022 - On Shelf,Book::Fair Oaks: SPANISH 641.5942 C623 2022 - On Shelf,Book::North Sacramento-Hagginwood: SPANISH 641.5942 C623 2022 - On Shelf"
