Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/746e4caa-71be-e0e0-1928-0a2be09e0a45-spa,"Sobreviví el naufragio del Titanic, 1912","Tarshis, Lauren",9781536457032,,"Scholastic Inc.; Scholastic Inc",2019,"New York, NY",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/dca531be-1f27-b73a-fc66-8dbbe7b825ff-spa,"Cocuyo ilumina el camino: un diario de 1493 a 1496","Smith-Llera, Danielle, 1971-",9798875259968,,"Stone Arch Books, a Capstone imprint",2026,"North Mankato, Minnesota",Book,"Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Smith-Llera, D. - On Shelf,Book::Southgate Children's Area: SPANISH CHILDREN FICTION Smith-Llera, D. - On Shelf,Book::Sacramento Public Library: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/9cb4f4c5-0d09-78cb-4034-da426c998223-spa,"La Fiebre de la Sangre","De Muriel, Oscar",9786073167765,,Montena,2018,"Ciudad de México",Book,"Book::Colonial Heights: SPANISH TEEN FICTION De Muriel, O. - On Shelf,Book::Belle Cooledge Teen Area: SPANISH TEEN FICTION De Muriel, O. - On Shelf,Book::Sacramento Public Library Storage: SPANISH TEEN FICTION De Muriel, O. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bbed00b4-990f-d5c0-dd42-8c7384a9042f-spa,"Mi buena mala suerte","Behar, Ruth, 1956-",9780593313497,,"Vintage Espanol; VINTAGE ESPAÑOL; Books on Tape; Penguin Random House Audio",2022,"Miami, FL",eAudiobook;Book;eBook,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Behar, R. - On Shelf,Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Behar, R. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Behar, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8868b5cc-4607-ccb8-a358-cc2786017235-spa,"Sobreviví los ataques del 11 de Septiembre de 2001","Tarshis, Lauren",9781338746013,,"Scholastic Inc.; Scholastic en español, Scholastic Inc",2021,"New York, New York",eBook;Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Tarshis, L. - On Shelf,Book::Franklin Children's: SPANISH CHILDREN FICTION Tarshis, L. - Checked Out,Book::Galt Children's Area: SPANISH CHILDREN FICTION Tarshis, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2c46f2bf-d5b2-9ac6-9f42-f16386e4b6cf-spa,"Isaac Newton y la gravedad","Woolf, Alex, 1964-",9788491424093,,Algar,2020,Alzira,Book,"Book::Orangevale: SPANISH CHILDREN FICTION Woolf, A. - On Shelf,Book::Pocket-Greenhaven Kids' Place: SPANISH CHILDREN FICTION Woolf, A. - On Shelf,Book::Walnut Grove Children's Area: SPANISH CHILDREN FICTION Woolf, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/44b87255-6541-5379-5ae1-0aeb3f4e0dde-spa,"En casa durante la guerra con Valentina: un diario de 1940 a 1943","Oviedo, Claudia",9798875235542,,"Stone Arch Books, a Capstone imprint",2025,"North Mankato, Minnesota",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Oviedo, C. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Oviedo, C. - On Shelf,Book::Rancho Children's Area: SPANISH CHILDREN FICTION Oviedo, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ce4be57d-54a1-90a6-c698-5a27af91b331-spa,"Lulu y Nelson: Tomo 2, El reino de los leones","Girard, Charlotte, 1973-",9788420456911,,"Penguin Random House Grupo Editorial",2021,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Girard, C. v.2 - On Shelf,Graphic Novel/Manga::Del Paso Heights Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Girard, C. v.2 - Checked Out,Graphic Novel/Manga::Elk Grove Kids' Place: SPANISH CHILDREN GRAPHIC NOVEL Girard, C. v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2e487f80-0614-7ca1-8d8b-3f22e8a88ffd-spa,"La niña lobo, los griefos y los dioses: la historia de la gran guerra griega","Holland, Tom",9788419703163,,"Atico de Los Libros",2023,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Holland, T. - On Shelf,Book::Pocket-Greenhaven Kids' Place: SPANISH CHILDREN FICTION Holland, T. - On Shelf,Book::Rio Linda Children's Area: SPANISH CHILDREN FICTION Holland, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/13577c66-5b84-1b79-784d-99f338ab3be1-spa,"Primos en tiempos de magia","Otheguy, Emma",9781665965781,,"Atheneum Books for Young Readers",2025,"Nueva York",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Otheguy, E. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Otheguy, E. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Otheguy, E. - On Shelf"
