Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/689dea75-ce37-0be4-a1b1-ae602272f87f-spa,Leonardo,"Margarit, Meritxell",9788427217195,,RBA,2019,Barcelona,Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Margarit, M. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Margarit, M. - On Shelf,Book::Pocket-Greenhaven Kids' Place: SPANISH CHILDREN FICTION Margarit, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2682066a-0112-e6d3-0109-ed3cb1f8f6dc-spa,"Conoce a Mario Moreno ""Cantinflas""","Valenzuela, José Ignacio, 1972-",9781543316742,,"Vista Higher Learning; VHL",2020,"Boston, MA",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN 792.7028 V161 2020 - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN 792.7028 V161 2020 - On Shelf,Book::McKinley Children's Area: SPANISH CHILDREN 792.7028 V161 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f367eab8-4119-a4f8-d7e9-268f6cea20fd-spa,"Conoce a Jorge Luis Borges","Lázaro León, Georgina",9781543382280,,"Vista Higher Learning, Inc; VHL",2023,"Boston, MA",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN BIOGRAPHY Borges, J. 2023 - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN BIOGRAPHY Borges, J. 2023 - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN BIOGRAPHY Borges, J. 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3528712b-45be-859e-3865-f4ec782c127f-spa,"Poptrópica: 2, La expedición perdida","Krpata, Mitch",9786075270227,,"Ocean Travesía",2016,"Barcelona, España","Graphic Novel/Manga","Graphic Novel/Manga::Fair Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.2 - On Shelf,Graphic Novel/Manga::North Natomas Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.2 - On Shelf,Graphic Novel/Manga::Rancho Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Krpata, M. v.2 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cf5b3bcd-35c4-2d2d-8498-277f26d96c14-spa,"La construccion de la gran piramide","Hynson, Colin",9789583040870,,"Panamericana Editorial",2013,Colombia,"Graphic Novel/Manga","Graphic Novel/Manga::Colonial Heights Children's Area: SPANISH CHILDREN GRAPHIC 932.013 H997 2013 - On Shelf,Graphic Novel/Manga::Franklin Children's: SPANISH CHILDREN GRAPHIC 932.013 H997 2013 - On Shelf,Graphic Novel/Manga::Rancho Children's Area: SPANISH CHILDREN GRAPHIC 932.013 H997 2013 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7247ac8e-9da4-027e-499a-7e337157afcd-spa,"Atlas del mundo antiguo","Adams, Simon, 1955-",9789707562196,,"Correo del Maestro/Ediciones la Vasija",2006,Mexico,Book,
https://catalog.saclibrary.org/GroupedWork/ee3bf5fc-62e5-0591-66ee-b11e60fa1aad-spa,"Mito, leyenda e historia de: Quetzalcóatl, la misteriosa Serpiente Emplumada","Barbeytia, Luis",9786078351404,,CIDCLI,"2015 - 2016","México, D.F",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 299.7845 B235 2015 - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN 299.7845 B235 2015 - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH CHILDREN 299.7845 B235 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e50fc6ce-526c-3f16-ba6c-89d427f6b4aa-spa,"Historias de inmigración","McArthur, Marcus",9781493805433,,"Triangle Interactive, LLC; Teacher Created Materials","2015 - 2020","Huntington Beach, CA",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/05374eb1-7d08-6c32-019a-0ca485d4a7d0-spa,"¿Quién fue Jesús?","Morgan, Ellen, 1970-",9780593522615,,"Penguin Workshop; Books on Tape; Penguin Young Readers Group",2022,"Nueva York",eAudiobook;Book;eBook,"Book::Arcade Children's Area: SPANISH CHILDREN BIOGRAPHY Jesus Christ 2022 - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN BIOGRAPHY Jesus Christ 2022 - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN BIOGRAPHY Jesus Christ 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/42afb53e-99b4-e332-5c55-04388546ed69-spa,"Atlas de curiosidades",,9780744059618,,"Dorling Kindersley Limited",2022,London,Book,"Book::Central Kids Place - Lower Level: SPANISH OVERSIZE CHILDREN 910 D711 2022 - On Shelf,Book::Courtland Children's Area: SPANISH OVERSIZE CHILDREN 910 D711 2022 - On Shelf,Book::Sylvan Oaks Children's Area: SPANISH OVERSIZE CHILDREN 910 D711 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a65b7707-fa98-b2ef-2763-3c6eb8adc4aa-spa,"La extraordinaria historia de las brujas","Atkinson, Hazel",9798217138371,,"DK Children",2026,"New York, NY",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 133.4309 A875 2026 - On Shelf,Book::Belle Cooledge Children's Area: SPANISH CHILDREN 133.4309 A875 2026 - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN 133.4309 A875 2026 - On Shelf"
