Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/9d3d9779-30da-866e-7dd0-13a056d92136-eng,"The horror at Chiller House","Stine, R. L",9780545162005,,"Scholastic Inc.; Scholastic","2011 - 2025","New York",eAudiobook;eBook;Book,
https://catalog.saclibrary.org/GroupedWork/ec16f0c6-19d0-95f6-d24a-a06d991564c2-eng,"Horror hotel","Fulton, Victoria",9780593483480,,"Random House Children's Books; Underlined; Books on Tape",2022,"New York",eAudiobook;Book;eBook,"Book::Orangevale: TEEN FICTION Fulton, V. - On Shelf,Book::Grimes Branch Library Teen Area: YA Fic - On Shelf,Book::Woodland Public Library Teen Area: TEEN FICTION Fulton, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/172c8212-6c07-2675-4734-f4ba1ab3b83a-eng,"Horror collector: 1, The faceless kid","Sato, Midori, 1977-",9781975378226,,JY,2023,"New York",Book,"Book::Arcade Children's Area: CHILDREN FICTION Sato, M. - Checked Out,Book::Carmichael Children's Area: CHILDREN FICTION Sato, M. - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Sato, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a119cc92-15cb-997d-b19b-791ac7a4f8b6-eng,"Holly Horror","Corpora, Michelle Jabès",9780593386217,,"Penguin Workshop",2023,"New York",Book,"Book::Arcade Teen Area: TEEN FICTION Corpora, M. - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN FICTION Corpora, M. - On Shelf,Book::McKinley Children's Area: TEEN FICTION Corpora, M. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/bd729937-0a00-5608-6306-65cdfcd0ddb6-eng,"Trapped in the horror dome","McMann, Matt",9780593857199,,"Books on Tape; G.P. Putnam's Sons; Penguin Young Readers Group",2024,"New York",eAudiobook;Book;eBook,"Book::Arcade Children's Area: CHILDREN FICTION McMann, M. - On Shelf,Book::Carmichael Children's Area: CHILDREN FICTION McMann, M. - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION McMann, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1d7daf29-f69e-eb12-f2b9-f4b1a48169d7-eng,"How to survive a horror movie","Dunmore, Scarlett",9781454963332,,"Union Square & Co; Tantor Media, Inc; Union Square & Co.","2024 - 2025","New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Dunmore, S. - On Shelf,Book::Fair Oaks Teen Area: TEEN FICTION Dunmore, S. - Checked Out,Book::Franklin Teen: TEEN FICTION Dunmore, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fee84622-aeb7-a2cc-c332-1166a5317d7b-eng,"Escape from HorrorLand","Stine, R. L",9780439918794,,"Scholastic Inc.; Scholastic Inc","2009 - 2017","New York",eAudiobook;eBook;Book,"Book::Belle Cooledge Children's Area: CHILDREN FICTION Stine, R. - On Shelf,Book::Valley Hi-North Laguna Children's Area: CHILDREN FICTION Stine, R. - On Shelf,Book::Sacramento Public Library Storage: CHILDREN FICTION Stine, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/96ecbac7-1853-206a-8e8b-777ec6c393d9-eng,"Odd occurrences: chilling stories of horror","Nance, Andrew",9780316334334,,"Tantor Media, Inc.; Little, Brown and Company",2022,"New York",Book;eAudiobook,"Book::Carmichael Children's Area: CHILDREN FICTION Nance, A. - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Nance, A. - On Shelf,Book::Rancho Children's Area: CHILDREN FICTION Nance, A. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/0fb7d5d2-a3bc-652f-90c0-6fdf059b9fa8-eng,"Home sweet horror","Preller, James",9781250018861,,"Feiwel and Friends",2013,"New York",Book,"Book::North Sacramento-Hagginwood Children's Area: CHILDREN FICTION Preller, J. - On Shelf,Book::Valley Hi-North Laguna Children's Area: CHILDREN FICTION Preller, J. - On Shelf,Book::Folsom Children's Area: CHILDREN FICTION Preller, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/456f3683-95e4-75d2-95d1-ce5e4a5a1187-eng,"Hawkins horror: a collection of terrifying tales","Gilbert, Matthew J",9780593483961,,"Random House",2022,"New York",Book,"Book::Central Kids Place - Lower Level: CHILDREN FICTION Gilbert, M. - Checked Out,Book::North Natomas Children's Area: CHILDREN FICTION Gilbert, M. - On Shelf,Book::Orangevale: CHILDREN FICTION Gilbert, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5b83bc40-c580-fd21-5f53-df9328b710a7-eng,"One day at HorrorLand","Stine, R. L",9780545035224,,"Scholastic Inc.; Scholastic","2008 - 2017","New York",eAudiobook;eBook;Book,"Book::Franklin Children's: CHILDREN FICTION Stine, R. - On Shelf,Book::North Natomas Children's Area: CHILDREN FICTION Stine, R. - On Shelf,Book::Rancho Children's Area: CHILDREN FICTION Stine, R. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/e6908ec2-2af4-05e2-94eb-295ba26fd8ce-eng,"The Black girl survives in this one: horror stories",,9781250871657,,"Flatiron Books",2024,"New York",Book,"Book::Carmichael Teen Area: TEEN FICTION Black - Checked Out,Book::Central Teen Area - 3rd Floor: TEEN FICTION Black - On Shelf,Book::Elk Grove Teen Area: TEEN FICTION Black - Checked Out"
