Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5d3fd4c0-043f-8e53-18bf-f7d20112974c-spa,"Todo es eventual","King, Stephen, 1947-",9788497934701,,DeBolsillo,2005,Barcelona,Book,"Book::Central: SPANISH FICTION King, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d4586af0-346c-123c-1318-a31c41fa1be2-spa,"Frankenstein underground","Mignola, Mike",9788467923124,,"Norma Editorial",2016,"Dark Horse Books; Barcelona","Graphic Novel/Manga","Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Mignola, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/36f348f5-a346-eb4f-9291-1431e5247ff7-spa,"El karma de vivir al norte","Velázquez, Carlos, 1978-",9786077781530,,"Editorial Sexto Piso",2015,"México, D.F",Book,"Book::North Natomas: SPANISH 306.0972 V44 2015 - On Shelf,Book::Southgate: SPANISH 306.0972 V44 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/42f644d7-e632-bf0b-df68-e923750073af-spa,"Marcados al nacer: la historia definitiva de las ideas racistas en Estados Unidos","Kendi, Ibram X",9788418006135,,Debate,2021,Barcelona,Book,"Book::Carmichael: SPANISH 973 K335 2021 - On Shelf,Book::Central: SPANISH 973 K335 2021 - On Shelf,Book::Belle Cooledge: SPANISH 973 K335 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7075bf88-4adc-4fc9-3ca4-9aa4c6d7717f-spa,"La habitación de al lado: guion basado en la novela ""Cuál es tu tormento"" de Sigrid Nunez","Almodóvar, Pedro",9788410352575,,"Reservoir Books",2024,Barcelona,Book,"Book::Central: SPANISH 791.437 A451 2024 - On Shelf,Book::Fair Oaks: SPANISH 791.437 A451 2024 - On Shelf,Book::Franklin: SPANISH 791.437 A451 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/52022fce-74a4-d0a7-4a9d-9844d4826619-spa,"La utopía arcaica: José María Arguedas y las ficciones del indigenisimo","Vargas Llosa, Mario, 1936-",9786071605535,,"Fondo de Cultura Económica",2011,México,Book,"Book::Central: SPANISH 863.6 A694zv 2011 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ae5abe4d-0a02-af7b-4ee0-58143907f9c9-spa,"La netafísica","Arau, Sergio",9786078895373,,"Editorial Sexto Piso",2023,"Ciudad de México","Graphic Novel/Manga","Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 868 A663 2023 - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC 868 A663 2023 - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC 868 A663 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d9866cb6-7c72-3ceb-3c71-c64c4d9a8cd8-spa,"En la sombra","Harry, Prince, Duke of Sussex, 1984-",9781644737651,,"Plaza Janes/Penguin Random House Grupo Editorial USA",2023,"Miami, FL",Book,"Book::Arcade: SPANISH BIOGRAPHY Harry 2023 - On Shelf,Book::Central: SPANISH BIOGRAPHY Harry 2023 - On Shelf,Book::Fair Oaks: SPANISH BIOGRAPHY Harry 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1aa36974-ffbc-6a3d-2b8d-2a7efd1d3b13-spa,"Anticípate a la menopausia, disfruta mejorando y conviértete en (casi) top model: Club Morenusko para la mujer madura con clase, joven, bella, alegre e ilusionada","Moreno, Ana, 1974-",9788418956133,,"Editorial OB Stare",2023,"[Santa Cruz de Tenerife, Spain]",Book,"Book::Central: SPANISH 618.175 M843 2023 - On Shelf,Book::Colonial Heights: SPANISH 618.175 M843 2023 - On Shelf,Book::Galt: SPANISH 618.175 M843 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9b635fa8-b6d7-55e5-ba24-1080727b240d-spa,"Los ojos de Gaza: un diario de resiliencia","Alaqad, Plestia",9791387600327,,Debate,2025,Barcelona,Book,"Book::Central New Books - 4th Floor: SPANISH 956.94055 A319 2026 - On Shelf,Book::Del Paso Heights: SPANISH 956.94055 A319 2026 - On Shelf,Book::Franklin: SPANISH 956.94055 A319 2026 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/326de28c-7743-b180-d64e-2f2879b4b135-spa,"Las costureras de Auschwitz","Adlington, Lucy, 1970-",9786070788710,,"Editorial Planeta",2022,"Barcelona, Spain",Book,"Book::Central: SPANISH 940.5318 A237 2022 - On Shelf,Book::Galt: SPANISH 940.5318 A237 2022 - On Shelf,Book::Valley Hi-North Laguna: SPANISH 940.5318 A237 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5cb83c77-8eac-5969-54e3-39d48ae22956-spa,"Cuadernos Ucranianos: diario de una invasión : un reportaje gráfico","Igort, 1958-",9788418621642,,"Salamandra Graphic",2023,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Arcade: SPANISH GRAPHIC 947.7086 I248 2023 - On Shelf,Graphic Novel/Manga::Carmichael: SPANISH GRAPHIC 947.7086 I248 2023 - On Shelf,Graphic Novel/Manga::Central: SPANISH GRAPHIC 947.7086 I248 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/99476170-f001-90a1-ac58-71726d49e516-spa,"La caída de Tenochtitlan: Libro I","Pescador, José Luis",9786073181785,,Grijalbo,2023,"Ciudad de México","Graphic Novel/Manga","Graphic Novel/Manga::Elk Grove: Spanish 741.56 P47 v.1 - On Shelf,Graphic Novel/Manga::Franklin: Spanish 741.56 P47 v.1 - On Shelf,Graphic Novel/Manga::Southgate: Spanish 741.56 P47 v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fb503dbf-2661-fa0d-9716-fa2bca261ace-spa,"Las edades brillantes: una nueva historia de la Europa Medieval","Gabriele, Matthew",9788441441842,,Edaf,2022,Madrid,Book,"Book::Central: SPANISH 940.1 G118 2022 - On Shelf,Book::Isleton: SPANISH 940.1 G118 2022 - On Shelf,Book::South Natomas: SPANISH 940.1 G118 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/764d383b-6e30-a75d-1dcf-24bb44a7b968-spa,"Gorros, manoplas, patucos y bufandas: 20 divertidos proyectos de punto para pequeños monstruitos","Khegay, Nuriya",9788416138074,,Blume,2014,Barcelona,Book,"Book::Central: SPANISH 746.432 K456 2014 - On Shelf,Book::Valley Hi-North Laguna: SPANISH 746.432 K456 2014 - In Transit"
https://catalog.saclibrary.org/GroupedWork/ec5643ad-5ab8-7ad0-b9b7-0f780cb8b950-spa,"La palabra que aparece: el testimonio como acto de supervivencia","Díaz Álvarez, Enrique, 1976-",9786075574646,,"Editorial Anagrama",2021,Barcelona,Book,"Book::Arcade: SPANISH 177.2 D277 2021 - On Shelf,Book::Central: SPANISH 177.2 D277 2021 - On Shelf,Book::Belle Cooledge: SPANISH 177.2 D277 2021 - In Transit"
https://catalog.saclibrary.org/GroupedWork/055ffa59-1c16-36a7-54fd-e047cd8c81bb-spa,"La Tropa: por qué mata un soldado","Rea Gómez, Daniela",9786073177795,,Aguilar,2019,"Ciudad de México",Book,"Book::North Natomas: SPANISH 364.972 R281 2019 - On Shelf,Book::Southgate: SPANISH 364.972 R281 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bcb15002-58ce-72e6-784c-20b56d3a9887-spa,"Lugosi : ascenso y caída del Drácula de Hollywood =: Lugosi : the rise & fall of Hollywood's Dracula","Shadmi, Koren",9788412514520,,"Desfiladero Ediciones",2022,Valencia,"Graphic Novel/Manga","Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC 741.5 L951zs 2022 - On Shelf,Graphic Novel/Manga::Elk Grove: SPANISH GRAPHIC 741.5 L951zs 2022 - On Shelf,Graphic Novel/Manga::Fair Oaks: SPANISH GRAPHIC 741.5 L951zs 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b834e113-f143-09ca-ea24-6f80c3ec9ecd-spa,"Gulag: historia de los campos de concentración soviéticos","Applebaum, Anne, 1964-",9791387600143,,"Debate; Penguin Random House Audio","2022 - 2025",Barcelona,eAudiobook;Book,"Book::Central New Books - 4th Floor: SPANISH 365.450947 A648 2025 - On Shelf,Book::Southgate: SPANISH 365.450947 A648 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c7c5dc5e-d9ff-af27-971f-ce4086b78358-spa,"El escandalo del siglo: textos en prensa y revistas (1950-1984)","García Márquez, Gabriel, 1927-2014",9780525566717,,"Vintage Espanol, una division de Penguin Random House LLC",2018,"Nueva York",Book,"Book::Central: SPANISH 864.64 G216 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/745f78f6-2df6-fa52-8515-208e68f4d74c-spa,"Una historia de Espana","Pérez-Reverte, Arturo",9788420438177,,Alfaguara,2019,Barcelona,Book,"Book::Carmichael: SPANISH 946 P438 2019 - On Shelf,Book::Central: SPANISH 946 P438 2019 - OFF CAMPUS,Book::Orangevale: SPANISH 946 P438 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8b2a5291-36de-4beb-ab34-6900905cfb9f-spa,"¡Viven!: el triunfo del espíritu humano","Read, Piers Paul, 1941-",9788490702369,,"Open Road Español; Ediciones B","2016 - 2017",Barcelona,eBook;Book,
