Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/3e0f05ee-c775-cefc-cece-1e32732fe0ed-spa,"Horror al otro lado del espejo","Mutil, Homero",9789700312033,,"Fernández Editores",1997,"México, D.F",Book,
https://catalog.saclibrary.org/GroupedWork/eeed14d8-8a08-b97f-d101-e7f46165d915-spa,"¡La escuela está viva!","Chabert, Jack",9781338045215,,"Scholastic Inc",2016,"New York, NY",Book,"Book::Belle Cooledge Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Franklin Children's: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Galt Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8ea94614-ecfb-45e9-48cd-c3feff2df852-spa,Coraline,"Gaiman, Neil",9788418637032,,"SALAMANDRA INFANTIL Y JUVENIL; Penguin Random House Audio; Salamandra","2020 - 2021",Barcelona,eAudiobook;Book;eBook,"Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Gaiman, N. - On Shelf,Book::Galt Children's Area: SPANISH CHILDREN FICTION Gaiman, N. - On Shelf,Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN FICTION Gaiman, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b32f6bfc-84af-e012-19a3-9b9944d92cf3-spa,"Historias de fantasmas","Camerini, Valentina, 1981-",9788412340860,,Gribaudo,2021,Milano,Book,"Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Camerini, V. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Camerini, V. - In Transit,Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION Camerini, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b0b00ce7-69a3-fcb8-9d14-930a7ab05226-spa,"El libro de los secretos vivientes","Roux, Madeleine, 1985-",9788418774409,,"HarperCollins Ibérica S.A.; HarperCollins Ibérica",2023,Madrid,eAudiobook;eBook;Book,
https://catalog.saclibrary.org/GroupedWork/eb2034e3-8aba-a1a4-6c7f-2cf7f5d2d59b-spa,"Hay un monstruo allí fuera","Ponce, Luis",9788419507020,,"Alfaguara, Penguin Random House Grupo Editorial",2023,"Barcelona [Spain]",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Ponce, L. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Ponce, L. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Ponce, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b6d547d9-5bcf-b95c-3100-a833d5475749-spa,"La noche del borrador","Dahl, Michael",9781669014331,,"Capstone; Stone Arch Books, a Capstone imprint",2023,"North Mankato, Minnesota",eBook;Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Dahl, M. - On Shelf,Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Dahl, M. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Dahl, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4f058861-0453-22bb-79cb-f70c9bc30d6f-spa,Escalofríos,"Stine, R. L",9786073823531,,Montena,2022,"Ciudad de México",Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Stine, R. - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Stine, R. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Stine, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dc37e5e5-1c7c-99e7-d41f-50839ac64eb5-spa,"Drácula y otras historias de vampiros","Camerini, Valentina, 1981-",9788417127411,,Gribaudo,2022,Milán,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Camerini, V. - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION Camerini, V. - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Camerini, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8c971870-06aa-b7f9-00ba-1dae251a591e-spa,"Pequeño cuento de horror y otros relatos","Forcada, Alberto",9789703505524,,"Consejo Nacional para la Cultura y las Artes; CIDCLI",2004,"México, D.F",Book,
https://catalog.saclibrary.org/GroupedWork/00aa8067-7fb4-d817-2a5d-5e977f1bb1ac-spa,"¡El recreo es una jungla!","Chabert, Jack",9781338269062,,"Scholastic Inc",2018,"New York",Book,"Book::Courtland Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Orangevale: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Colusa Main Branch Juvenile Collection: SP J Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c40c9739-db72-839a-5beb-f5846d8f1c90-spa,"Consumidores de pesadillas","Orejel, Alfonso",9786073182416,,"Penguin Random House Audio; Montena","2022 - 2023","Mexico City",eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/dab32a3d-d20f-dc9f-eede-59d0d19ba2be-spa,"Siete vampiros en bicicleta","Vaccarini, Franco",9789874007681,,"Editorial Hola Chicos",2020,Argentina,Book,"Book::Carmichael Children's Area: SPANISH CHILDREN FICTION Vaccarini, F. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Vaccarini, F. - On Shelf,Book::Franklin Children's: SPANISH CHILDREN FICTION Vaccarini, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1605e22d-8ebf-8e56-ff8c-b04ac26172d1-spa,"Malvarina: quiero ser bruja","Isern, Susanna",9788418304668,,"Editorial Flamboyant",2022,Barcelona,eBook;Book,"Book::Sylvan Oaks Children's Area: SPANISH MOVING UP Isern, S. - Checked Out,Book::Sacramento Public Library Storage: SPANISH MOVING UP Isern, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1f762e8d-0587-c1ad-75f9-40dded5e25cf-spa,"El tren equivocado","De Quidt, Jeremy",9786076216590,,,2018,,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION De Quidt, J. - On Shelf,Book::Carmichael Teen Area: SPANISH TEEN FICTION De Quidt, J. - On Shelf,Book::Courtland Teen Area: SPANISH TEEN FICTION De Quidt, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/481274de-5e96-1964-4b0c-56d3639623e8-spa,"Billie B. es muy especial","Rippin, Sally",9788469622193,,Bruño,2017,Madrid,Book,"Book::Elk Grove Kids' Place: SPANISH MOVING UP Rippin, S. - On Shelf,Book::North Sacramento-Hagginwood Children's Area: SPANISH MOVING UP Rippin, S. - On Shelf,Book::Sylvan Oaks Children's Area: SPANISH MOVING UP Rippin, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c64000fb-da66-5b9e-25ff-8e9cc54ede6c-spa,"℗ŁEl casillero se comi©đ a Luc©Ưa!","Chabert, Jack",9781338114393,,"Scholastic Inc",2017,"New York, NY",Book,"Book::Belle Cooledge Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Fair Oaks Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf,Book::Sylvan Oaks Children's Area: SPANISH MOVING UP Chabert, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/54636373-2a03-f650-2e64-166f38cae15f-spa,Zombicienta,"Coelho, Joseph",9786075572758,,"Océano Gran Travesía",2021,"Ciudad de México",Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Coelho, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Coelho, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b98093fe-a4c3-1db0-da91-0e1817b4f862-spa,"Humo blanco","Jackson, Tiffany D",9788419252005,,Puck,2024,Argentina,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Jackson, T. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Jackson, T. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Jackson, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5c2d4d6b-2dab-766f-3935-994a97e8a459-spa,"Racing at Devil's Bridge and other stories =: Carreras en el Puente del Diablo y otros cuentos","Garza, Xavier",9798893750034,,"Pinata Books",2024,"Houston, TX",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Garza, X. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Garza, X. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Garza, X. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e19a4c18-b654-9bb7-0dd5-233932f216a9-spa,"Escalofr?os en la monta?a rusa","Stilton, Geronimo",9788408128380,,Destino,2014,Barcelona,Book,"Book::Courtland Children's Area: SPANISH MOVING UP Stilton, G. - On Shelf,Book::Rancho Children's Area: SPANISH MOVING UP Stilton, G. - On Shelf,Book::Sacramento Public Library Storage: SPANISH MOVING UP Stilton, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/940a9cc3-314a-560c-6217-52a534d89eb7-spa,"Wigetta y la feria fantasma",Vegetta777,9788499986050,,"Editorial Planeta Mexicana, S.A. de C.V",2017,"Ciudad de México",Book,"Book::Franklin Children's: SPANISH CHILDREN FICTION Vegetta777 - On Shelf,Book::Rancho Children's Area: SPANISH CHILDREN FICTION Vegetta777 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Vegetta777 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5947d282-304b-425c-8bc4-1b00d29e19e6-spa,Marina,"Ruiz Zafón, Carlos, 1964-",9788423687268,,"Edebé; VINTAGE ESPAÑOL; Books on Tape; Vintage Español; Austral","2007 - 2020","Barcelona; Nueva York",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/fa8d4385-0212-be6f-81b8-65c3ebd64059-spa,"Leñadoras: Parada técnica","Watters, Shannon",9788412417784,,"Sapristi, Roca Editorial de Libros, S.L",2022,"Barcelona [Spain]","Graphic Novel/Manga","Graphic Novel/Manga::Fair Oaks Children's Area: SPANISH CHILDREN GRAPHIC NOVEL Lenadoras - On Shelf"
https://catalog.saclibrary.org/GroupedWork/927f0905-28ef-13fe-5c29-2b14401a80d4-spa,"Mundo umbrío: Las traición","Sandoval, Jaime Alfonso, 1972-",9786073189378,,Montena,2023,"Ciudad de México",Book,"Book::Carmichael Teen Area: SPANISH TEEN FICTION Sandoval, J. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Sandoval, J. - On Shelf,Book::Sylvan Oaks Teen Area: SPANISH TEEN FICTION Sandoval, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bd54f8fc-629f-18b7-a0cd-e5812d14bcf1-spa,"El llamado de la estirpe","Malpica, Toño, 1967-",9786078303113,,Oceáno,2013,"México D.F; Barcelona",Book,"Book::North Natomas: SPANISH TEEN FICTION Malpica, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/be155a68-2c6c-27b8-4601-fafb5c9889c1-spa,Frankenstein,"Shelley, Mary Wollstonecraft, 1797-1851",9789583056611,,"Panamericana Editorial",2018,Colombia,"Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf,Graphic Novel/Manga::McKinley: SPANISH GRAPHIC NOVEL Shelley, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e2ffea26-d397-12d5-fa0c-44f1f6a7f074-spa,Eclipse,"Meyer, Stephenie, 1973-",9781603960229,,"ALFAGUARA IJC; Penguin Random House Audio; Alfaguara","2008 - 2021","Miami, FL",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/621ad114-6446-0203-7711-30c307ded22a-spa,"Maldita casa encantada","Laperla (Artist)",9788494785283,,Sapristi,2019,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC NOVEL Laperla - On Shelf"
