Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/16e8d659-3edd-1bd2-5ee4-d0e20e3dd7cb-eng,"Mystery: a seduction, a strategy, a solution","Lehrer, Jonah",9781501195877,,"Simon & Schuster Audio; Avid Reader Press",2021,"New York",eAudiobook;Book,"Book::Central: 152.4 L524 2021 - On Shelf,Book::Sylvan Oaks: 152.4 L524 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aafcf296-7e5a-6c02-ec46-3c2ad88cdc5e-eng,"A mystery of mysteries: the death and life of Edgar Allan Poe","Dawidziak, Mark, 1956-",9781250792495,,"St. Martin's Press; St. Martin's Publishing Group; Blackstone Publishing",2023,"New York",eAudiobook;Book;eBook,"Book::Central: BIOGRAPHY Poe, E. 2023 - On Shelf,Book::Del Paso Heights: BIOGRAPHY Poe, E. 2023 - On Shelf,Book::North Natomas: BIOGRAPHY Poe, E. 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5edcdfcc-b371-8238-721d-f829701a9419-eng,"Mystery train","Wojahn, David, 1953-",9780822936374,,"University of Pittsburgh Press",1990,"Pittsburgh, Pa",eBook;Book,"Book::Central: 811.54 W847 1990 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/16b2d4ef-d192-a848-2236-6b2673768ee2-eng,"The mystery of Charles Dickens","Wilson, A. N., 1950-",9780062954947,,"HarperCollins; HarperAudio; Harper, an imprint of HarperCollinsPublishers; Harper",2020,"New York, NY",eAudiobook;eBook;Book,"Book::Central: BIOGRAPHY Dickens, C. 2020 - On Shelf,Book::Fair Oaks: BIOGRAPHY Dickens, C. 2020 - On Shelf,Book::Franklin: BIOGRAPHY Dickens, C. 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9c2d290b-25fb-082a-a5f0-f6106b256719-eng,"The mystery of the exploding teeth: and other curiosities from the history of medicine","Morris, Thomas (Thomas Neil Gareth)",9781524743680,,"Dutton; Books on Tape",2018,"New York, New York",eAudiobook;Book,"Book::Central: 610.9 M877 2018 - On Shelf,Book::Elk Grove: 610.9 M877 2018 - On Shelf,Book::Fair Oaks: 610.9 M877 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d1e95b9e-008c-1c4c-0247-35b0edac10da-eng,"The mystery of Lewis Carroll: discovering the whimsical, thoughtful and sometimes lonely man who created Alice in Wonderland","Woolf, Jenny",9780312612986,,"St. Martin's Press; St. Martin's Publishing Group; St. Martin's Griffin","2010 - 2011","New York, N.Y",eBook;Book,"Book::Central: BIOGRAPHY Carroll, L. 2011 - On Shelf,Book::Central: 828 C319zw 2010 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6b5f263f-d215-dad5-ea0a-37297b8a348f-eng,"Mystery Writers of America cookbook",,9781594747571,,"Quirk Books",2015,Philadelphia,Book,"Book::Central: 641.5 M9982 2015 - On Shelf,Book::North Natomas: 641.5 M9982 2015 - On Shelf,Book::Valley Hi-North Laguna: 641.5 M9982 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/34e10224-bd73-75cf-951c-f3baf8ceff77-eng,"The mystery of the lone wolf killer : Anders Behring Breivik and the threat of terror in plain sight","Turrettini, Unni",9781605989105,,"Pegasus Crime; Dreamscape Media",2015,"New York",Book;eAudiobook,"Book::Carmichael: 364.15234 T959 2015 - On Shelf,Book::Central: 364.15234 T959 2015 - On Shelf,Book::Sutter County Main Branch: 364.15234 TUR - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3741a104-043e-3487-d718-fe06c5b85808-eng,"The mystery of Agatha Christie","Robyns, Gwen",9780385126236,,Doubleday,1978,"Garden City, N.Y",Book,"Book::Arcade: 823 C555zr 1978 - On Shelf,Book::Central: 823 C555zr 1978 - On Shelf,Book::Woodland Public Library: BIOGRAPHY Christie 1978 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f4ac1844-7698-7658-cc85-a5ec8f7990d2-eng,"The Mystery chef's own cook book",,,,"The Blakiston company",1945,"Philadelphia, Penn",Book,"Book::Sacramento Room: SPE 641.5 M998 1945 SPE - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/785c3c88-db87-b782-ff34-fd90d4088d51-eng,"The mystery of Easter","Bonhoeffer, Dietrich, 1906-1945",9780824517229,,"Crossroad Pub. Co",1997,"New York",Book,"Book::Central: 242.36 B714 1997 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5ecb4e36-2a6f-76ab-11f1-d87f98a64378-eng,"The mystery of Jack London: some of his friends, also a few letters : a reminiscence","Bamford, Georgia Loring",,,"Georgia Loring Bamford",1931,"Oakland, Calif",Book,"Book::Sacramento Room: SPE 818 L847zb 1931 CAL - Library Use Only,Book::Woodland Public Library: BIOGRAPHY London 1931 - On Shelf"
