Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/1cf1f94d-873b-7c46-ce41-eefe53c0e44b-eng,"Mystery ranch","Warner, Gertrude Chandler, 1890-1979",9780807553916,,"A. Whitman; Albert Whitman & Company; Spotlight, a division of ABDO; Oasis Audio; Random House Children's Books","1986 - 2021","Chicago; Chicago, Illinois; North Mankato, Minnesota","eAudiobook;eBook;Easy Reader;Book","Book::Arcade Children's Area: CHILDREN FICTION Warner, G. - In Transit,Book::Carmichael Children's Area: CHILDREN FICTION Warner, G. - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN FICTION Warner, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1f754505-2070-e26f-af63-21c27c5dfcf3-eng,"Mystery of the glowing eye","Keene, Carolyn",9780448095516,,"Grosset & Dunlap; Penguin Young Readers Group",1974,"New York",eBook;Book,"Book::Arcade Children's Area: CHILDREN FICTION Keene, C. - On Shelf,Book::Elk Grove Kids' Place: CHILDREN FICTION Keene, C. - On Hold Shelf,Book::Franklin Children's: CHILDREN FICTION Keene, C. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/f9735ea3-b0ed-89df-f648-1410fc373dc8-eng,"Mystery royale","Cavalancia, Kaitlyn",9781368099080,,"Disney Hyperion; Disney Hyperion Digital; Hyperion",2025,"New York",eAudiobook;eBook;Book,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Cavalancia, K. - On Shelf,Book::Colonial Heights: TEEN FICTION Cavalancia, K. - On Shelf,Book::Belle Cooledge Teen Area: TEEN FICTION Cavalancia, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f288f45d-21c3-ea92-2f80-edf614ebaca5-eng,"Mystery at Mermaid Cove","Mews, Melody",9781665928052,,"Little Simon",2023,"New York",eBook;Book,"Book::Belle Cooledge Children's Area: MOVING UP Mews, M. - Checked Out,Book::Elk Grove Kids' Place: MOVING UP Mews, M. - On Shelf,Book::McClatchy Children's Area: MOVING UP Mews, M. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/00f11fd0-0b43-5dd5-92fb-4de577385189-eng,"Mystery of the hidden elves","Warner, Gertrude Chandler, 1890-1979",9780807508053,,"Albert Whitman & Company; Oasis Audio",2021,"Chicago, Illinois",eAudiobook;Book;eBook,"Book::Arden-Dimick Children's Area: CHILDREN FICTION Warner, G. - Checked Out,Book::Carmichael Children's Area: CHILDREN FICTION Warner, G. - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN FICTION Warner, G. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/92838c2b-11ad-e65d-baca-dc7345d9c7ff-eng,"Mystery of the spotted leopard","Warner, Gertrude Chandler, 1890-1979",9780807510209,,"Albert Whitman & Company; Oasis Audio",2022,"Chicago, Illinois",eAudiobook;Book;eBook,"Book::Carmichael Children's Area: CHILDREN FICTION Warner, G. - Checked Out,Book::Central Kids Place - Lower Level: CHILDREN FICTION Warner, G. - Checked Out,Book::Colonial Heights Children's Area: CHILDREN FICTION Warner, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1d33fdf0-a82c-b02f-9fa1-73e65af1b83a-eng,"The mystery at the ballpark","Warner, Gertrude Chandler, 1890-1979",9780807553404,,"A. Whitman; Albert Whitman & Company","1995 - 2023","Chicago, Illinois; Morton Grove, Ill","Easy Reader;Book;eBook","Easy Reader::Arcade Children's Area: EASY READER 2 Warner, G. - On Shelf,Easy Reader::Carmichael Children's Area: EASY READER 2 Warner, G. - Checked Out,Easy Reader::Central Kids Place - Lower Level: EASY READER 2 Warner, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2df8a22d-809e-ac5f-05e9-6ca1ecee28c7-eng,"Mystery at the manor","Beckett-King, Alasdair",9781536241686,,"Candlewick Press; Books on Tape",2025,"Somerville, Massachusetts",eAudiobook;Book;eBook,"Book::Carmichael Children's Area: CHILDREN FICTION Beckett-King, A. - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN FICTION Beckett-King, A. - On Shelf,Book::Colonial Heights Children's Area: CHILDREN FICTION Beckett-King, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e795b118-3057-2b09-0826-f3edb817120a-eng,"Mystery on the Mayhem Express","Dixon, Franklin W",9781534478084,,"Aladdin; Oasis Audio",2021,"New York",eAudiobook;Book,"Book::Central Kids Place - Lower Level: CHILDREN FICTION Dixon, F. - Checked Out,Book::Courtland Children's Area: CHILDREN FICTION Dixon, F. - On Shelf,Book::Elk Grove Kids' Place: CHILDREN FICTION Dixon, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6b2d9d82-e1e8-4056-a373-77e951923e8b-eng,"Mystery of Crocodile Island","Keene, Carolyn",9780448095554,,"Grosset & Dunlop; Penguin Young Readers Group",1978,"New York",eBook;Book,"Book::Carmichael Children's Area: CHILDREN FICTION Keene, C. - In Transit,Book::Del Paso Heights Children's Area: CHILDREN FICTION Keene, C. - Checked Out,Book::McClatchy Children's Area: CHILDREN FICTION Keene, C. - Checked Out"
