Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/40a34d58-9187-6408-14ee-f60e53426b39-spa,"Personas decentes","Padura, Leonardo",9786070792502,,"Tusquets Editores S.A.; Tusquets Editores",2022,"Ciudad de México",eBook;Book,"Book::Central: SPANISH FICTION Padura, L. - On Shelf,Book::Sylvan Oaks: SPANISH FICTION Padura, L. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Padura, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/615c1f5d-7426-9e75-85e6-c5ac9d86874e-spa,"La visible oscuridad","Lazo, Norma",9786073862295,,"Lumen; LUMEN",2025,"Ciudad de México",eBook;Book,"Book::Central New Books - 4th Floor: SPANISH FICTION Lazo, N. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order,Book::South Natomas: SPANISH FICTION Lazo, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2bfff7a2-658d-4916-bd8c-c93bd5828da3-spa,"Todo arde","Gómez-Jurado, Juan",9788466672474,,"EDICIONES B; Penguin Random House Audio; Ediciones B",2022,Barcelona,eAudiobook;Book;eBook,"Book::Arcade: SPANISH FICTION Gomez-Jurado, J. - On Shelf,Book::Central: SPANISH FICTION Gomez-Jurado, J. - On Shelf,Book::Colonial Heights: SPANISH FICTION Gomez-Jurado, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/97902634-087c-4fe9-67f3-79d0d0700a45-spa,"A Lupita le gustaba planchar","Esquivel, Laura, 1950-",9781101969847,,"VINTAGE ESPAÑOL; Suma de Letras; Vintage Español, una división de Penguin Random House LLC","2014 - 2015","Nueva York; [México, D.F.]",eBook;Book,"Book::Central: SPANISH FICTION Esquivel, L. - On Shelf,Book::Rancho Cordova: SPANISH FICTION Esquivel, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/14279a26-402e-df95-5e93-826a2fad255e-spa,"La bicicleta de Leonardo","Taibo, Paco Ignacio, II, 1949-",9789584521651,,Norma,2009,Bogotá,Book,"Book::Central: SPANISH MYSTERY Taibo, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c981cc7c-8f80-8c6a-ba90-eefb4eac2233-spa,Brujarella,"Barrenetxea, Iban, 1973-",9788415357667,,"NARRATORES; Thule","2014 - 2021",Barcelona,Book;eAudiobook,"Book::Rancho Children's Area: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/32017958-1032-4eaf-c74a-e12d886053d7-spa,"La conspiración del coltán","Sierra i Fabra, Jordi",9788418059155,,"Catedral Noir",2020,Barcelona,Book,"Book::Central: SPANISH FICTION Sierra i Fabra, J. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Sierra i Fabra, J. - On Shelf,Book::Galt: SPANISH FICTION Sierra i Fabra, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7e1bbf47-b811-a7a1-d11a-4df38151eba4-spa,"Amores que matan","Barceló, Elia",9788419498199,,"ROCA EDITORIAL; SAGA Egmont; Roca bolsillo","2023 - 2024",Barcelona,eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Barcelo, E. - On Shelf,Book::Fair Oaks: SPANISH FICTION Barcelo, E. - On Shelf,Book::Franklin: SPANISH FICTION Barcelo, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cc2f4fcf-cc5d-f7e7-3648-e3a4f9fea74c-spa,"El tigre y la duquesa","Solé, Jordi, 1966-",9788491394358,,"HarperCollins; HarperCollins Ibérica S.A.",2020,Madrid,eBook;Book,"Book::Rancho Cordova: SPANISH FICTION Sole, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3ae15909-d995-d65c-af19-26857e3adc19-spa,"La muerte me da","Rivera Garza, Cristina, 1964-",9786073867566,,"RANDOM HOUSE; Literatura Random House; Storyside","2019 - 2025","Ciudad de Mexico",eAudiobook;Book;eBook,"Book::Arcade: SPANISH FICTION Rivera Garza, C. - On Shelf,Book::Central New Books - 4th Floor: SPANISH FICTION Rivera Garza, C. - On Shelf,Book::Elk Grove: ON ORDER - On Order"
