Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/118bacd7-e8ca-4589-830d-10f527b003b9-spa,"Los vigilantes del faro","Läckberg, Camilla, 1974-",9788415532798,,"Maeva Ediciones",2013,Madrid,Book,"Book::Central: SPANISH FICTION Lackberg, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4c942678-6e9c-1e95-42a0-751783d52d72-spa,"Las manos tan pequeñas","Sanmartín Plá, Marina, 1977-",9788491397502,,"HarperCollins Ibérica",2022,Madrid,Book,"Book::Central: SPANISH FICTION Sanmartin Pla, M. - On Shelf,Book::South Natomas: SPANISH FICTION Sanmartin Pla, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/82d2639f-1736-892e-2c1e-834d25816a5b-spa,"Hoy somos detectives: una aventura policiaca y de misterio cargada de humor e imaginación",Gona89,9788427042483,,"Ediciones Martínez Roca",2016,México,Book,"Book::Arcade: SPANISH FICTION Gona89 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3fa1797d-29dc-17d1-f949-ceaae0a89b5f-spa,"No culpable","Sten, Viveca, 1959-",9788416087877,,Embolsillo,2018,"Madrid, Spain",Book,"Book::Pocket-Greenhaven: SPANISH FICTION Sten, V. - On Shelf,Book::Sylvan Oaks: SPANISH FICTION Sten, V. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Sten, V. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/57a43717-61e1-6d50-bb24-be6b9026152e-spa,"El misterio de Huesópolis","Fromental, Jean-Luc",9786071651310,,"Fondo de Cultura Económica",2017,"México, D.F","Picture Book","Picture Book::Carmichael Children's Area: SPANISH PICTURE BOOK Fromental, J. - On Shelf,Picture Book::Sacramento Public Library Storage: SPANISH PICTURE BOOK Fromental, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/adabf8d2-e850-ebff-a10f-ca3da552cc06-spa,"Crímenes ilustrados: ¿Quién está mintiendo?","García, Modesto",9788401031366,,"Plaza & Janes Editores",2024,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Elk Grove Opening Day Collection: ON ORDER - On Order,Graphic Novel/Manga::North Natomas: SPANISH GRAPHIC 793.73 G216 2024 - On Shelf,Graphic Novel/Manga::Wanderer Bookmobile: SPANISH GRAPHIC 793.73 G216 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b7a84c95-9293-a195-85fb-4d9f92e01982-spa,"El libro de los secretos: 112 meditaciones para descubrir el misterio de tu mundo interior","Osho, 1931-1990",9788484459910,,"Gaia Ediciones",2022,"Móstoles (Madrid)",Book,"Book::Elk Grove: SPANISH 299.93 O82 2022 - Checked Out,Book::Southgate: SPANISH 299.93 O82 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d23962c3-a4a8-36f4-a9e5-fbc3cef73ac6-spa,"Tras las huellas de la profecia de la mariposa: Espiritualidad indigena americana para el mundo moderno","Good Feather, Doug",9788419685667,,"Editorial Sirio",2024,"Malaga, Espana",Book,"Book::Central: SPANISH 299.785244 G646 2024 - On Shelf,Book::North Natomas: SPANISH 299.785244 G646 2024 - On Shelf,Book::Rancho Cordova: SPANISH 299.785244 G646 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/910814d4-3ea3-5810-8a84-37da4a5f1eb3-spa,"El orden del tiempo","Rovelli, Carlo, 1956-",9788433964229,,"Editorial Anagrama",2018,Barcelona,Book,"Book::Central: SPANISH 530.11 R873 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c322e444-b46b-6525-797e-93b22423b737-spa,"Rûmî: alquimista del corazón, maestro de derviches","Bárcena, Halil, 1962-",9788425450914,,Herder,2024,Barcelona,Book,"Book::Arcade: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf,Book::Central New Books - 4th Floor: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf,Book::Fair Oaks: SPANISH BIOGRAPHY Jalal al-Din Rumi 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/505ef68b-3f08-62e9-5552-c771602ac569-spa,"Fibromialgia cómo vencerla desde el cuerpo y la mente: una guía para pacientes y terapeutas","Gómez, Paloma",9788498670066,,"RBA Libros; Integral",2008,Barcelona,Book,"Book::Sylvan Oaks: SPANISH 616.742 G684 2008 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9a3c60a2-3454-61e1-fb4c-174dd1ef07eb-spa,"Maktub: sigue el camino de El alquimista","Coelho, Paulo",9780063358829,,HarperCollinsEspañol,2024,"Nueva York",Book,"Book::Arcade: SPANISH FICTION Coelho, P. - Checked Out,Book::Central: SPANISH FICTION Coelho, P. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order"
