Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/dd290e1d-9972-fe96-5328-65bddc89cb41-spa,"El misterio del arco iris","Manushkin, Fran",9781484690499,,"Capstone; Picture Window Books, una marca de Capstone; Picture Window Books, a Capstone imprint",2024,"North Mankato, Minnesota","Easy Reader;eBook","Easy Reader::Arcade Children's Area: SPANISH EASY READER 2 Manushkin, F. - On Shelf,Easy Reader::Central Kids Place - Lower Level: SPANISH EASY READER 2 Manushkin, F. - On Shelf,Easy Reader::Colonial Heights Children's Area: SPANISH EASY READER 2 Manushkin, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9a34c023-3bb8-385f-4e70-e404a4559aa4-spa,"La puerta del tiempo","Baccalario, Pierdomenico",9788484412922,,"Montena Mondadori; MONTENA; Montena","2006 - 2021","Barcelona; [Barcelona, Spain]",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf,Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Baccalario, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/db29f98d-e0bf-8256-8f06-329f0cd258db-spa,"El monstruo goloso","Preller, James",9788426352705,,Edelvives,2004,"Zaragoza [Spain]",Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN FICTION Preller, J. - On Shelf,Book::Woodland Public Library Children's Area: SPANISH CHILDREN FICTION Preller, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6f02fe1d-c232-4960-6966-541ab1438676-spa,"El club de los misterios de Pedro","Manushkin, Fran",9781515825203,,"Picture Window Books; Capstone",2018,"North Mankato, Minnesota","Easy Reader;eBook","Easy Reader::Central Kids Place - Lower Level: SPANISH EASY READER 2 Manushkin, F. - On Shelf,Easy Reader::Fair Oaks Children's Area: SPANISH EASY READER 2 Manushkin, F. - On Shelf,Easy Reader::Franklin Children's: SPANISH EASY READER 2 Manushkin, F. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6f02a7f2-6e13-019e-81d4-542e7811b448-spa,"El caso del marqués desaparecido","Springer, Nancy",9788427214613,,"RBA; MOLINO",2018,Barcelona,eBook;Book,"Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Springer, N. - On Shelf,Book::Colusa Main Branch Juvenile Collection: SP J Fic - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Springer, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c981cc7c-8f80-8c6a-ba90-eefb4eac2233-spa,Brujarella,"Barrenetxea, Iban, 1973-",9788415357667,,"NARRATORES; Thule","2014 - 2021",Barcelona,Book;eAudiobook,"Book::Rancho Children's Area: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN FICTION Barrenetxea, I. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d0bb1e56-b12f-6025-7a9b-2fb4556c16ab-spa,"Ciudades de papel","Green, John, 1977-",9781101970980,,"Vintage Español, una división de Random House LLC; Penguin Random House Audio; NUBE DE TINTA","2014 - 2015","Nueva York",eAudiobook;Book;eBook,"Book::Isleton Teen Area: SPANISH TEEN FICTION Green, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH TEEN FICTION Green, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cdd1d250-88ae-4411-ed93-df145b64874c-spa,"Judy Moody es detective","McDonald, Megan",9786071109910,,"ALFAGUARA INFANTIL; Alfaguara Infantil; ALFAGUARA IJC; Alfaguara/Penguin Random House Groupo Editorial","2011 - 2023","México, D.F; Miami, FL",eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH MOVING UP McDonald, M. - On Shelf,Book::Belle Cooledge Children's Area: SPANISH MOVING UP McDonald, M. - Checked Out,Book::Courtland Children's Area: SPANISH MOVING UP McDonald, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/7d665db1-0f28-2993-f324-06b6befebc00-spa,"El gran viaje de las familias extraordinarias","Isern, Susanna",9788418128288,,"Duomo Ediciones",2020,Milan,Book,"Book::Courtland Children's Area: SPANISH CHILDREN FICTION Isern, S. - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN FICTION Isern, S. - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN FICTION Isern, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4e3a7ad9-52c7-f38e-10fc-8766d4af126e-spa,"Pepito y la calle más aburrida del mundo","Valenzuela, José Ignacio, 1972-",9786070129988,,"Editorial Santillana",2016,"México, D.F",Book,"Book::North Natomas Children's Area: SPANISH MOVING UP Valenzuela, J. - On Shelf,Book::Rancho Children's Area: SPANISH MOVING UP Valenzuela, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH MOVING UP Valenzuela, J. - On Shelf"
