Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/97bf873f-a1fb-508f-9432-4a6084e2f7f4-spa,"La luna: Descubre los misterios de nuestra vecina ms̀ cercana/ Discover the Mysteries of Earth's Closest Neighbor","Buxner, Sanlyn",9780744079197,,,2023,England,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 523.3 B991 2023 - Checked Out,Book::Courtland Children's Area: SPANISH CHILDREN 523.3 B991 2023 - On Shelf,Book::Fair Oaks Children's Area: SPANISH CHILDREN 523.3 B991 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3507fa4f-8f4f-eaf5-ce3e-e836f3538ace-spa,"Misterios del universo","Gater, Will",9780744049206,,"DK Penguin Random House",2021,London,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 520 M998 2021 - On Shelf,Book::Martin Luther King, Jr. Children's Area: SPANISH CHILDREN 520 M998 2021 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 520 M998 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d38ed190-549a-4e52-597e-4399d8f39e8c-spa,"Elogio al misterio","Limón, Ada",9781324082590,,"Norton Young Readers",2024,"New York, NY","Picture Book","Picture Book::Arcade Children's Area: SPANISH PICTURE BOOK Limon, A. - On Shelf,Picture Book::Central Kids Place - Lower Level: SPANISH PICTURE BOOK Limon, A. - On Shelf,Picture Book::Colonial Heights Children's Area: SPANISH PICTURE BOOK Limon, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/947f03bf-2250-6fa4-aedf-4b7ee205a2b9-spa,"Qué sabemos sobre el chupacabras?","Pollack, Pam",9780593752357,,"Penguin Workshop; Penguin Young Readers Group",2024,"Nueva York",eBook;Book,"Book::Colonial Heights Children's Area: SPANISH CHILDREN 001.944 P771 2024 - On Shelf,Book::Elk Grove Kids' Place: SPANISH CHILDREN 001.944 P771 2024 - On Shelf,Book::Isleton Children's Area: SPANISH CHILDREN 001.944 P771 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/68cffc69-a1d0-2420-67ba-b693bb0bf268-spa,"Dinosaurios: fosiles y plumas","Reed, M. K",9786075573168,,"Editorial Oceano, S. L",2021,"Barcelona, Espana","Graphic Novel/Manga","Graphic Novel/Manga::Arcade Children's Area: SPANISH CHILDREN GRAPHIC 567.9 R325 2021 - On Shelf,Graphic Novel/Manga::Carmichael Children's Area: SPANISH CHILDREN GRAPHIC 567.9 R325 2021 - Checked Out,Graphic Novel/Manga::Central Kids Place - Lower Level: SPANISH CHILDREN GRAPHIC 567.9 R325 2021 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ecf96440-c72f-d33c-84aa-00fa6028bed8-spa,"La vida secreta de los dientes","Tolosa Sisteré, Mariona",9788418830372,,"Zahori Books",2022,Barcelona,Book,"Book::Arcade Children's Area: SPANISH CHILDREN 611.314 T653 2022 - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN 611.314 T653 2022 - Checked Out,Book::Colonial Heights Children's Area: SPANISH CHILDREN 611.314 T653 2022 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/a910a9ed-abf0-d0c9-1379-5ba3ec8e8325-spa,"Maravillas del planeta tierra","Oldershaw, Cally",9780593848272,,"Dorling Kindersley Limited",2024,Londres,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 910.02 O44 2024 - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN 910.02 O44 2024 - On Shelf,Book::Isleton Children's Area: SPANISH CHILDREN 910.02 O44 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4ecd9af2-1667-2719-893b-d71b542f48ca-spa,"Club de jóvenes hechiceras cristales","Chown, Xanna Eve",9789878930060,,"Editorial Guadal S. A",2024,"Buenos Aires, Argentina",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN 133.2548 C552 2024 - On Shelf,Book::Del Paso Heights Teen Area: SPANISH TEEN 133.2548 C552 2024 - On Shelf,Book::Galt Teen Area: SPANISH TEEN 133.2548 C552 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e2983e26-2d9c-7a38-93f8-0d1c3aafa62f-spa,"El gran libro de los grandes porqués",,9788419501561,,"Penguin Random House Grupo Editorial",2023,Barcelona,Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 001 S986 2023 - On Shelf,Book::Del Paso Heights Children's Area: SPANISH CHILDREN 001 S986 2023 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 001 S986 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bc69d35a-b7ee-79b0-371d-4e88d11144fd-spa,"Nadadores escamosos: cocodrilo","Calhoun, Kelly",9781634714679,,"Cherry Lake Publishing",2016,"Ann Arbor, Michigan",Book,"Book::Valley Hi-North Laguna Children's Area: SPANISH CHILDREN 597.982 C152 2016 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 597.982 C152 2016 - On Hold Shelf"
