Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/8192221d-b575-0ae3-0d77-17c550371653-eng,"The romance rivalry","Lee, Susan (Novelist)",9781335012876,,"HarlequinAudio; Harper, an imprint of HarperCollinsPublishers; Harlequin",2025,"New York",eAudiobook;eBook;Book,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Lee, S. - Checked Out,Book::Galt Teen Area: TEEN FICTION Lee, S. - On Shelf,Book::Sacramento Public Library Storage: TEEN FICTION Lee, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4339b393-5af1-55d3-0c22-37d5aa4ced92-eng,"Romance of the Snob Squad","Peters, Julie Anne",9780316008136,,"Little, Brown Books for Young Readers; Little, Brown","1999 - 2010","Boston, Mass",eBook;Book,"Book::Arcade Children's Area: CHILDREN FICTION Peters, J. - On Shelf,Book::Carmichael Children's Area: CHILDREN FICTION Peters, J. - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN FICTION Peters, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a34d6919-ca0e-b027-ee70-9c46f8263a03-eng,"An archive of romance","Reid, Ava",9780063462229,,HarperCollins,2025,"New York",eBook;Book,"Book::Arcade Teen Area: TEEN FICTION Reid, A. - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN FICTION Reid, A. - On Shelf,Book::Elk Grove Teen Area: TEEN FICTION Reid, A. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/508cb59d-5b7d-4c7d-319f-ba82e3dc572f-eng,"Better in black: ten stories of Shadowhunter romance","Clare, Cassandra",9798217225705,,"Alfred A. Knopf; Random House Children's Books; Books on Tape",2025,"New York, NY",eAudiobook;Book;eBook,"Book::Carmichael Teen Area: TEEN FICTION Clare, C. - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN FICTION Clare, C. - On Shelf,Book::Fair Oaks Teen Area: TEEN FICTION Clare, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0c6a3bed-1fbc-5241-8f9d-d6153b6f27d8-eng,"Payal Mehta's romance revenge plot","Chhibber, Preeti",9780593461884,,"Books on Tape; Kokila; Penguin Young Readers Group",2024,"New York",eAudiobook;Book;eBook,"Book::Central Teen Area - 3rd Floor: TEEN FICTION Chhibber, P. - On Shelf,Book::Elk Grove Teen Area: TEEN FICTION Chhibber, P. - On Shelf,Book::McKinley Children's Area: TEEN FICTION Chhibber, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2114868e-0128-beba-b4c2-354391164f22-eng,"Bad romance","Demetrios, Heather",9781627797726,,"Henry Holt and Company",2017,"New York",Book,"Book::North Natomas: TEEN FICTION Demetrios, H. - On Shelf,Book::Sacramento Public Library Storage: TEEN FICTION Demetrios, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5dd5ed63-8d73-f707-126d-80f87283e7e2-eng,"Lorna Doone: a romance of Exmoor","Blackmore, R. D. (Richard Doddridge), 1825-1900",9780192817679,,"Mint Editions; Project Gutenberg; Phoemixx Classics Ebooks; Oxford University Press; Blackstone Publishing; Neeland Media LLC","1914 - 2021","New York; London; Oxford [England]",eBook;Book;eAudiobook,"Book::Central: FICTION Blackmore, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6b20526d-d434-e4ab-d9ce-153b09d5b787-eng,"Mary Anne and the great romance","Martin, Ann M., 1955-",9781546110262,,"Scholastic Inc.; Scholastic Inc","2013 - 2025","New York, NY",eBook;Book,"Book::Carmichael Children's Area: CHILDREN FICTION Martin, A. - Checked Out,Book::Colonial Heights Children's Area: CHILDREN FICTION Martin, A. - Checked Out,Book::Fair Oaks Children's Area: CHILDREN FICTION Martin, A. - In Transit"
https://catalog.saclibrary.org/GroupedWork/4d094dc7-9737-14dd-0f99-8cc0fd592629-eng,"My mechanical romance","Follmuth, Alexene Farol",9780823450107,,"Recorded Books, Inc.; Holiday House",2022,"New York",Book;eAudiobook,"Book::Arcade Teen Area: TEEN FICTION Follmuth, A. - On Shelf,Book::Carmichael Teen Area: TEEN FICTION Follmuth, A. - On Shelf,Book::South Natomas Teen Area: TEEN FICTION Follmuth, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2b46bfe7-f83f-1c16-d138-a1d1956bedd2-eng,"Radha & Jai's recipe for romance","Sharma, Nisha, 1985-",9780553523294,,"Crown; Random House Children's Books; Books on Tape",2021,"New York",eAudiobook;Book;eBook,"Book::South Natomas Teen Area: TEEN FICTION Sharma, N. - On Shelf,Book::Folsom Teen Room: TEEN FICTION Sharma, N. - On Shelf,Book::Sacramento Public Library Storage: TEEN FICTION Sharma, N. - On Shelf"
