Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/870f4adf-f7ac-5110-05d7-f7ce357849c4-eng,"Girl: love, sex, romance, and being you","Rayne, Karen",9781433827730,,"Magination Press/American Psychological Association",2017,"Washington, DC",Book,"Book::Central Teen Area - 3rd Floor: TEEN 155.533 R275 2017 - On Shelf,Book::Rio Linda Teen Area: TEEN 155.533 R275 2017 - On Shelf,Book::Sacramento Public Library Storage: TEEN 155.533 R275 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b160e208-8abd-db3f-42ed-a5bc0bd033be-eng,"Fantasy, romance, and more: genres of anime and manga","Kallen, Stuart A., 1955-",9781678205201,,"ReferencePoint Press, Inc",2024,"San Diego, CA",Book,"Book::Arcade Teen Area: TEEN 741.5952 K146 2024 - On Shelf,Book::Carmichael Teen Area: TEEN 741.5952 K146 2024 - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN 741.5952 K146 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5b38cf8f-14af-3ee9-815f-8c21b61649db-eng,"Señor Cat's romance and other favorite Latin American stories","González, Lucía M",9780590485371,,"Scholastic Press",1997,"New York",Book,"Book::Elk Grove Kids' Place: CHILDREN 398.2 G643 1997 - On Shelf,Book::McKinley Children's Area: CHILDREN 398.2 G643 1997 - On Shelf,Book::Folsom Children's Area: CHILDREN 398.2097 GON 1997 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1c119cd5-ed77-df62-0c42-dd22397eeb38-eng,"King Arthur and his Knights of the Round Table: retold out of the old Romances","Green, Roger Lancelyn",9780679423119,,Knopf,1953,"New York",Book,"Book::Arcade Children's Area: CHILDREN 398.2 A788zg 1953 - Checked Out,Book::Carmichael Children's Area: CHILDREN 398.2 A788zg 1953 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 398.2 A788zg 1953 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bed4d7ee-b0a2-2410-2f52-82d5a9333aa5-eng,"King Arthur and the knights of the round table","Malory, Thomas, Sir, active 15th century",9780766612112,,"Modern Publishing; Open Road Media; Racehorse for Young Readers","2004 - 2020","New York, N.Y; New York, NY",eBook;Book,"Book::Arcade Children's Area: CHILDREN 398.2 L287 2017 - On Shelf,Book::Central Kids Place - Lower Level: CHILDREN 398.2 L287 2017 - On Shelf,Book::Pocket-Greenhaven Kids' Place: CHILDREN 398.2 L287 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/894ede5a-c862-3ddc-7e1c-4b3c7cd6d463-eng,"One piece: Vol. 61 : [Paramount War. Part 5 : new world. Part 1], Romance dawn for the new world","Oda, Eiichirō, 1975-",9781421541440,,"VIZ Media",2012,"San Francisco","Graphic Novel/Manga","Graphic Novel/Manga::North Natomas: TEEN MANGA One Piece v.61 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/18211402-e2b8-bc6c-b56f-aec1717ee69a-eng,"The kitchen knight: a tale of King Arthur","Hodges, Margaret, 1911-2005",9780823410637,,"Holiday House",1990,"New York",Book,"Book::Arcade Children's Area: CHILDREN 398.22 H689 1990 - On Shelf,Book::Carmichael Children's Area: CHILDREN 398.22 H689 1990 - Checked Out,Book::Folsom Children's Area: CHILDREN 398.2094 HOD 1990 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/fc5edd7a-3942-2568-4497-bac1703dae26-eng,"The owl and the pussy-cat","Lear, Edward, 1812-1888",9780763690809,,"Interactive Media; Houghton Mifflin Harcourt; Candlewick Press","2014 - 2017","Somerville, Massachusetts; Boston","Picture Book;eBook;Book","Picture Book::Carmichael Children's Area: PICTURE BOOK Lear, E. - On Shelf,Picture Book::Galt Children's Area: PICTURE BOOK Lear, E. - Checked Out,Picture Book::South Natomas Children's Area: PICTURE BOOK Lear, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/fbfd896f-f3c7-027f-d30c-ae19eede107e-eng,"King Arthur","Kerven, Rosalind",9780789428875,,"DK Publishing",1998,"New York",Book,"Book::Pocket-Greenhaven Kids' Place: CHILDREN 398.2 K41k 1998 - On Shelf,Book::Rancho Children's Area: CHILDREN 398.2 K41k 1998 - On Shelf,Book::Folsom Children's Area: CHILDREN 398.2094 KER 1998 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/111c2c9d-c701-dc8f-c483-9e7389404c15-eng,"Anyway, I'm falling in love with you: 1","Mitsui, Haruka",9798888771150,,"Kodansha USA Publishing, LLC",2024,"New York","Graphic Novel/Manga","Graphic Novel/Manga::Colonial Heights: TEEN MANGA Anyway I'm v.1 - On Shelf,Graphic Novel/Manga::McKinley Children's Area: TEEN MANGA Anyway I'm v.1 - On Shelf,Graphic Novel/Manga::South Natomas Teen Area: TEEN MANGA Anyway I'm v.1 - On Shelf"
