Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/5fdbdce6-f9b1-8610-2cb4-9c45b6e967a2-spa,"Un romance inoportuno","Balogh, Mary",9788492916436,,"Titania Editores",2013,Argentina,Book,"Book::Central: SPANISH FICTION Balogh, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/66c89fc2-9882-d50d-ab50-24acd1f62b28-spa,"Gardenias en el lago","Kelder, Jane",9788415747932,,Tombooktu,2016,Madrid,Book,"Book::Sylvan Oaks: SPANISH FICTION Kelder, J. - On Shelf,Book::Valley Hi-North Laguna: SPANISH FICTION Kelder, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Kelder, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a8200c1b-b7b4-183d-3f6a-c6e2491f3cf0-spa,"El edén de las musas","Díaz, Carmela",9788416692040,,Tombooktu,2016,Madrid,Book,"Book::North Natomas: SPANISH FICTION Diaz, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5e94ec14-ca1e-8452-1e7c-82c4986c880a-spa,"Sirenas en la niebla","Alcaraz Roca, Ana María",9788415747970,,Tombooktu,2016,Madrid,Book,"Book::Central: SPANISH FICTION Alcaraz Roca, A. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Alcaraz Roca, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/81df7637-449b-0803-d4a9-ac8a6bb9932c-spa,"Rey de la soberbia","Huang, Ana",9786073920100,,"Crossbooks México; Cross Books; Planeta Audio; Crossbooks",2024,Mexico,eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Huang, A. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Huang, A. - On Shelf,Book::Elk Grove: SPANISH FICTION Huang, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d265601c-0ec1-7932-b09c-bda63d6b12c1-spa,"El mapa de los anhelos","Kellen, Alice, 1989-",9786070786280,,"Planeta; Editorial Planeta; Planeta Audio",2022,"Ciudad de México",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/41968450-8935-213a-3791-6cb51505605b-spa,"Eres el amor de mi otra vida","Eärfalas, Gilraen",9786073912723,,"Planeta México; Planeta; Planeta Audio",2024,"Ciudad de México",eAudiobook;Book;eBook,"Book::Galt Teen Area: SPANISH TEEN FICTION Earfalas, G. - On Shelf,Book::North Sacramento-Hagginwood Teen Area: SPANISH TEEN FICTION Earfalas, G. - OFF CAMPUS"
https://catalog.saclibrary.org/GroupedWork/1226429e-b60f-8bbb-6586-aebba81e5c61-spa,"Rey de la ira","Huang, Ana",9786073915342,,"Crossbooks México; Cross Books; Planeta Audio; Crossbooks",2024,"Ciudad de México",eAudiobook;Book;eBook,"Book::Carmichael: SPANISH FICTION Huang, A. - On Shelf,Book::Central: SPANISH FICTION Huang, A. - On Shelf,Book::Colonial Heights: SPANISH FICTION Huang, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/33fc6f89-5305-dad4-6cd8-113469648bd2-spa,"Twisted love","Huang, Ana",9786070793677,,"Crossbooks México; Cross Books; Planeta Audio; Crossbooks","2022 - 2023","Ciudad de México",eBook;eAudiobook;Book,"Book::Belle Cooledge: SPANISH FICTION Huang, A. - In Transit,Book::Courtland: SPANISH FICTION Huang, A. - On Shelf,Book::North Natomas: SPANISH FICTION Huang, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/aa77c071-2919-e128-4639-b71c764549d9-spa,"Fuimos canciones","Benavent, Elísabet, 1984-",9788491291596,,"Suma de Letras; Penguin Random House Audio","2018 - 2019",Barcelona,eAudiobook;Book,"Book::Colonial Heights: SPANISH FICTION Benavent, E. - On Shelf,Book::Pocket-Greenhaven: SPANISH FICTION Benavent, E. - On Shelf,Book::Arbuckle Branch Library Adult Collection: SP Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c6239155-e1fa-d853-6825-6e5b07cace1f-spa,"Tal vez mañana","Hoover, Colleen",9786070792205,,"Planeta México; Editorial Planeta Mexicana, S.A. de C.V","2016 - 2022","Mexico City",eBook;Book,"Book::Central: SPANISH FICTION Hoover, C. - On Shelf,Book::Colonial Heights: SPANISH FICTION Hoover, C. - On Shelf,Book::Fair Oaks: SPANISH FICTION Hoover, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c5db21f4-6cb5-8766-8dd1-c58ad7c9927e-spa,"Donde todo brilla","Kellen, Alice, 1989-",9786070799990,,"Planeta; Editorial Planeta",2023,Barcelona,eBook;Book,
https://catalog.saclibrary.org/GroupedWork/0021c135-6b86-87ea-168e-294314d2584b-spa,"El faro de los amores dormidos","Longarela, Andrea",9786073900669,,"Planeta Audio; Crossbooks",2022,Barcelona,eAudiobook;Book;eBook,"Book::Del Paso Heights Teen Area: SPANISH TEEN FICTION Longarela, A. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Longarela, A. - On Shelf,Book::Colusa Main Branch Teen Collection: SP YA Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/129ac42f-f8c2-11bd-2ad4-628ee15c5561-spa,"Twisted games","Huang, Ana",9786070798146,,"Crossbooks México; Cross Books; Planeta Audio; Crossbooks","2023 - 2025","Ciudad de México",eBook;eAudiobook;Book,"Book::Central: SPANISH FICTION Huang, A. - On Shelf,Book::Colonial Heights: SPANISH FICTION Huang, A. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Huang, A. - In Transit"
https://catalog.saclibrary.org/GroupedWork/410da90a-3bab-6db5-fef5-846d4a68c86a-spa,"Yo, tú y un quizás","Martínez, María, 1975-",9786070798115,,"Crossbooks; CrossBooks","2022 - 2023","Ciudad de México",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/307db178-1643-8f7e-1297-d2b394c7111e-spa,"La teoría de los archipiélagos","Kellen, Alice, 1989-",9786070795527,,"Planeta; Editorial Planeta","2022 - 2023","Ciudad de México",eBook;Book,"Book::Valley Hi-North Laguna Teen Area: SPANISH TEEN FICTION Kellen, A. - On Shelf,Book::Sacramento Public Library Storage: SPANISH TEEN FICTION Kellen, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/235caa7c-6fd0-fd6e-1037-3a847127a1a0-spa,"Gente que conocemos en vacaciones","Henry, Emily",9786073939287,,"Planeta México; Editorial Planeta Mexicana; Planeta Audio","2023 - 2025","Ciudad de México",eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: SPANISH FICTION Henry, E. - On Shelf,Book::Elk Grove: SPANISH FICTION Henry, E. - On Shelf,Book::South Natomas: SPANISH FICTION Henry, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4fb149e6-c4b5-efae-9c00-fd0282a4a2ad-spa,"La chica italiana","Riley, Lucinda",9788401026232,,"PLAZA & JANÉS; Plaza & Janés; Penguin Random House Audio",2021,Barcelona,eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/d71a96c3-efd0-4e22-3c61-3b76616c5e01-spa,"""Yo también"" no es te quiero","Reed, Violeta, 1989-",9788425365737,,"GRIJALBO; Penguin Random House Audio; Grijalbo","2023 - 2025",Barcelona,eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/3b2e3e91-dec8-ccea-7e13-63eac50c2527-spa,"Seremos recuerdos","Benavent, Elísabet, 1984-",9788491291602,,"Penguin Random House; Suma de Letras; Penguin Random House Audio","2018 - 2019",Barcelona,eAudiobook;Book,"Book::Isleton: SPANISH FICTION Benavent, E. - On Shelf,Book::Arbuckle Branch Library Adult Collection: SP Fic - On Shelf,Book::Colusa Main Branch Adult Collection: SP Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b3e48fb5-92e6-8faf-0673-81428de6f65d-spa,"Cosas que ocultamos de la luz","Score, Lucy",9788419702036,,"BookaVivo; Chic",2023,Barcelona,eAudiobook;Book,"Book::Central Teen Area - 3rd Floor: SPANISH FICTION Score, L. - On Shelf,Book::McKinley: SPANISH FICTION Score, L. - On Shelf,Book::North Natomas: SPANISH FICTION Score, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6556c175-b9c1-929c-aee8-24ed64999253-spa,"La novela del verano","Henry, Emily",9786070793318,,"Planeta México; Editorial Planeta",2022,Barcelona,eBook;Book,"Book::Arcade: SPANISH FICTION Henry, E. - On Shelf,Book::Central: SPANISH FICTION Henry, E. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Henry, E. - Display"
https://catalog.saclibrary.org/GroupedWork/eef266d9-13b0-ed0b-03c2-d0174e905d91-spa,"Siempre tuyo","Jimenez, Abby",9788419743923,,"ROCA EDITORIAL; Roca Editorial",2024,Barcelona,eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION Jimenez, A. - On Shelf,Book::McKinley: SPANISH FICTION Jimenez, A. - On Shelf,Book::North Natomas: SPANISH FICTION Jimenez, A. - On Shelf"
