Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/0d3370c3-c7c0-38f0-5463-fb2d12334080-spa,"Sigue lloviendo","Kellen, Alice, 1989-",9786073936934,,Planeta,2026,"Ciudad de Mexico",Book,"Book::Central New Books - 4th Floor: SPANISH FICTION Kellen, A. - On Shelf,Book::Del Paso Heights: SPANISH FICTION Kellen, A. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/2dda36c8-316b-b12a-a2ea-b82d0195bfe8-spa,"Dos copas en Sitges","Diamond, Josu",9788466672238,,"Ediciones B",2022,Barcelona,Book,"Book::Carmichael: SPANISH FICTION Diamond, J. - On Shelf,Book::Central: SPANISH FICTION Diamond, J. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Diamond, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ec5643ad-5ab8-7ad0-b9b7-0f780cb8b950-spa,"La palabra que aparece: el testimonio como acto de supervivencia","Díaz Álvarez, Enrique, 1976-",9786075574646,,"Editorial Anagrama",2021,Barcelona,Book,"Book::Arcade: SPANISH 177.2 D277 2021 - On Shelf,Book::Central: SPANISH 177.2 D277 2021 - On Shelf,Book::Belle Cooledge: SPANISH 177.2 D277 2021 - In Transit"
https://catalog.saclibrary.org/GroupedWork/b80c1ab4-f72b-b87f-7068-76e7924c371e-spa,"El lobo y la serpiente","Robinson, Rebecca, 1995-",9786073936224,,"Planeta Publishing",2025,Mexico,Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Robinson, R. - On Shelf,Book::Elk Grove Teen Area: ON ORDER - On Order,Book::North Natomas: SPANISH TEEN FICTION Robinson, R. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d40fb48e-0c41-d016-4601-a8c629cc6876-spa,"Poema de Mio Cid",,9786073130349,,"Penguin Clasicos",2015,Mexico,Book,"Book::Central: SPANISH FICTION Poema - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5b13daab-789c-1ced-69e3-acc31833e50d-spa,"Lore Olympus: cuentos del olimpo. Volume 3","Smythe, Rachel (Comics artist)",9788418040443,,"Random Comics",2022,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Lore Olympus v.3 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ad4802c9-862e-3887-837c-739ab8fc45a9-spa,"Lore Olympus, cuentos del olimpo","Smythe, Rachel (Comics artist)",9788418040306,,"Random Cómics",2022,Barcelona,"Graphic Novel/Manga","Graphic Novel/Manga::Central: SPANISH GRAPHIC NOVEL Lore Olympus v.1 - On Shelf,Graphic Novel/Manga::Colonial Heights: SPANISH GRAPHIC NOVEL Lore Olympus v.1 - On Shelf,Graphic Novel/Manga::Isleton: SPANISH GRAPHIC NOVEL Lore Olympus v.1 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4a0ce69b-ba9f-1531-e2b6-526e4afb24f9-spa,"TRES MESES/ THREE MONTHS","MARCS, JOANA",9781644736487,,MONTENA,2023,[S.l.],Book,
https://catalog.saclibrary.org/GroupedWork/6e3ef8e3-2994-7673-e0d0-bb73e792ccd9-spa,"El sabor del escandalo","Brown, Sandra",9789582807078,,"Circulo de Lectores",1994,Bogotá,Book,
https://catalog.saclibrary.org/GroupedWork/cda9cbf5-b34c-078f-ea52-b60ee6361e59-spa,"La pareja se destruye","Chiaraviglio, Nilda",9786075954547,,Arado,2023,"Jalisco, México",eBook;Book,"Book::Colonial Heights: SPANISH 306.8 C532 2023 - On Shelf,Book::South Natomas: SPANISH 306.8 C532 2023 - On Shelf,Book::North Sacramento-Hagginwood: SPANISH 306.8 C532 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cf5cd2ec-ca1a-9ea4-9775-8cd1660e78ca-spa,"Poesia completa","García Lorca, Federico, 1898-1936",9780307475756,,"Vintage Espanol, Una division de Random House, Inc",2012,"Nueva York",Book,"Book::Central: SPANISH 861.62 G216 2012 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d57f1201-e78f-cfa5-c02e-e3e12c041118-spa,"La hermana menor: un retrato de Silvina Ocampo","Enriquez, Mariana",9788433908063,,"Editorial Anagrama",2018,Barcelona,eBook;Book,"Book::Rancho Cordova: SPANISH BIOGRAPHY Ocampo, S. 2018 - On Shelf,Book::Southgate: SPANISH BIOGRAPHY Ocampo, S. 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d310d4e3-9695-541a-061f-bc1404d7dda2-spa,"Hechizos para el amor: pociones y nociones para el amor","RavenWolf, Silver, 1956-",9788416192670,,Obelisco,2015,Barcelona,Book,"Book::Central: SPANISH 133.44 R254s2 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9ab5dcf6-b562-e389-7c38-222f2950f3a3-spa,"I will always love you: amores, rupturas y canciones que han hecho historia","Morea, Marisa, 1982-",9786070763892,,"Lunwerg Editores",2020,Barcelona,Book,"Book::Arcade: SPANISH 782.42 M836 2020 - On Shelf,Book::Franklin: SPANISH 782.42 M836 2020 - In Transit"
https://catalog.saclibrary.org/GroupedWork/653686d2-050f-9086-f0d7-64ab7d979b7c-spa,"Diosas de Hollywood  =: [Goddesses of Hollywood]","Morató, Cristina, 1961-",9788401022692,,"Plaza & Janés/Penguin Random House Grupo Editorial",2019,Barcelona,Book,"Book::Colonial Heights: SPANISH 791.43028 M831 2019 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/df68429c-b81c-a671-1fa0-2ab99df2a0e6-spa,"La loca de la casa","Montero, Rosa",9788490629222,,Debolsillo,2015,Barcelona,Book,"Book::Central: SPANISH 863.64 M778 2015 - On Shelf,Book::Sacramento Public Library Storage: SPANISH 863.64 M778 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/864702ab-c269-dde3-6d81-b5f31dee7c85-spa,"El invencible verano de Liliana: una hermana en busca de justicia","Rivera Garza, Cristina, 1964-",9781644734346,,"Vintage Español",2023,"Miami, FL",Book,"Book::Arcade: SPANISH 362.882 R621 2023 - On Shelf,Book::Carmichael: SPANISH 362.882 R621 2023 - Checked Out,Book::Central: SPANISH 362.882 R621 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/130802b5-7f6e-1548-513c-1e95828b495a-spa,"Mario Moreno Cantinflas","Rutiaga, Luis",9789706663825,,"Grupo Editorial Tomo",2004,"México, D.F",Book,
