Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/32c47d1e-8033-dbc5-9e5e-c9f0f13a404d-spa,"La revelación","Godoy, Ariana",9781644736470,,"MONTENA; Wattpad by Montena; Penguin Random House Audio",2023,"Miami, Florida",eAudiobook;Book;eBook,
https://catalog.saclibrary.org/GroupedWork/3c7f878f-bcae-d1ff-3839-3f747865eaaa-spa,Amor,"de la Peña, Matt",9780525518808,,"Books on Tape; G.P. Putnam's Sons; Penguin Random House Audio; Penguin Young Readers Group","2018 - 2021","New York, NY","eAudiobook;Picture Book;eBook","Picture Book::Courtland Children's Area: SPANISH PICTURE BOOK de la Pena, M. - On Shelf,Picture Book::Elk Grove Kids' Place: SPANISH PICTURE BOOK de la Pena, M. - Checked Out,Picture Book::McKinley Children's Area: SPANISH PICTURE BOOK de la Pena, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c6239155-e1fa-d853-6825-6e5b07cace1f-spa,"Tal vez mañana","Hoover, Colleen",9786070792205,,"Planeta México; Editorial Planeta Mexicana, S.A. de C.V","2016 - 2022","Mexico City",eBook;Book,"Book::Central: SPANISH FICTION Hoover, C. - On Shelf,Book::Colonial Heights: SPANISH FICTION Hoover, C. - On Shelf,Book::Fair Oaks: SPANISH FICTION Hoover, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0021c135-6b86-87ea-168e-294314d2584b-spa,"El faro de los amores dormidos","Longarela, Andrea",9786073900669,,"Planeta Audio; Crossbooks",2022,Barcelona,eAudiobook;Book;eBook,"Book::Del Paso Heights Teen Area: SPANISH TEEN FICTION Longarela, A. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Longarela, A. - On Shelf,Book::Colusa Main Branch Teen Collection: SP YA Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bccda5d1-cc33-ab24-8f4e-b1c48a006870-spa,"Aquel último verano","Herrero, Susanna, 1980-",9786078828173,,VRYA,2022,"Ciudad de México",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Herrero, S. - On Shelf,Book::Del Paso Heights Teen Area: SPANISH TEEN FICTION Herrero, S. - On Shelf,Book::Isleton Teen Area: SPANISH TEEN FICTION Herrero, S. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c972c11b-f71f-cc0c-5a7c-ca0fae0e52c6-spa,"El nuevo mundo","Godoy, Ariana",9786073832403,,"Wattpad by Montena; Penguin Random House Audio",2023,"[Miami, Florida",eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/17da3abd-6704-79eb-c663-b488d9e3130b-spa,"A todos los chicos de los que me enamoré","Han, Jenny",9786073903950,,"Destino; Cross Books; Destino México; Planeta Audio; Crossbooks","2014 - 2023","México, D.F; Ciudad de México",eAudiobook;Book;eBook,"Book::Orangevale: SPANISH TEEN FICTION Han, J. - On Shelf,Book::Sacramento Public Library Storage: SPANISH TEEN FICTION Han, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/50d6d09c-8fdb-6443-3a73-b27870b56edb-spa,Reckless,"Roberts, Lauren, 2002-",9786073850568,,"ALFAGUARA IJC; Penguin Random House Audio; Alfaguara",2024,Barcelona,eAudiobook;eBook;Book,"Book::Carmichael Teen Area: SPANISH TEEN FICTION Roberts, L. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Roberts, L. - Checked Out,Book::Colonial Heights: SPANISH TEEN FICTION Roberts, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a9191ba6-4646-40bb-e289-7751aa3bffee-spa,"Mis chicos","Gracia, Anna",9788419939197,,"Ediciones Kiwi",2023,Castellon,Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Gracia, A. - On Shelf,Book::Colonial Heights: SPANISH TEEN FICTION Gracia, A. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Gracia, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/767b972b-b8d3-d485-98a5-cae9f2dbc82b-spa,Silencio,"Fitzpatrick, Becca",9788420434254,,"Alfaguara; B De Block","2018 - 2024","Barcelona; Ciudad de México",Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ff831f60-f715-807a-9e09-9cf83ae0acd9-spa,"Juego de reinas","McGee, Katharine",9788410239074,,Puck,2024,Argentina,Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION McGee, K. - On Shelf,Book::Fair Oaks Teen Area: SPANISH TEEN FICTION McGee, K. - On Shelf,Book::Galt Teen Area: SPANISH TEEN FICTION McGee, K. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e8c62c4b-2b45-d0d5-a2d9-c9035af44ca3-spa,"La mecanica del amor","Follmuth, Alexene Farol",9788419252791,,Puck,2024,Argentina,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Follmuth, A. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Follmuth, A. - On Shelf,Book::Colonial Heights: SPANISH TEEN FICTION Follmuth, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c1c131cf-fcff-6683-f6f6-fa6b106dd210-spa,"Imagína me","Mafi, Tahereh",9788410239029,,Puck,2024,Argentina,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Mafi, T. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Mafi, T. - On Shelf,Book::Franklin Teen: SPANISH TEEN FICTION Mafi, T. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/207ef956-041a-5418-e9a0-98ce982ded45-spa,"Viva Lola Espinoza!","Cerón, Ella",9798890980342,,"Penguin Random House Grupo Editorial",2024,"Miami, FL",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Ceron, E. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Ceron, E. - Checked Out,Book::Rancho Cordova: SPANISH TEEN FICTION Ceron, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/201383dd-d5d7-a168-9560-e8261f34985f-spa,"A traves de mi ventana","Godoy, Ariana",9788420451916,,Alfaguara,2019,Barcelona,Book,"Book::Arcade Teen Area: SPANISH TEEN FICTION Godoy, A. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Godoy, A. - On Shelf,Book::Del Paso Heights Teen Area: SPANISH TEEN FICTION Godoy, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e685a454-f5a9-fdf0-b4f6-de713a7e7376-spa,Finale,"Fitzpatrick, Becca",9788420434261,,"Alfaguara; B De Block","2018 - 2024","Barcelona; Ciudad de México",Book,"Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf,Book::North Natomas: SPANISH TEEN FICTION Fitzpatrick, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/ae50418d-db79-7c3e-9c5c-4c895e029079-spa,"Rojo, blanco y sangre azul","McQuiston, Casey",9786073808323,,"Molino; Penguin Random House Audio; MOLINO","2022 - 2024","Ciudad de México",eAudiobook;Book;eBook,"Book::Central: SPANISH FICTION McQuiston, C. - On Shelf,Book::Courtland: SPANISH FICTION McQuiston, C. - On Shelf,Book::Isleton: SPANISH FICTION McQuiston, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f4278e73-35db-40e6-db18-2010bd8815d9-spa,"Un encantamiento frágil","Saft, Allison",9781250892836,,Puck,2024,Argentina,Book,"Book::Carmichael Teen Area: SPANISH TEEN FICTION Saft, A. - On Shelf,Book::Central Teen Area - 3rd Floor: SPANISH TEEN FICTION Saft, A. - On Shelf,Book::South Natomas Teen Area: SPANISH TEEN FICTION Saft, A. - On Shelf"
