Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/4368f186-dd33-3bfb-2a01-a4f132a435f7-eng,"The Obake code: a sci-fi heist","Yamamoto, Makana",9780063430860,,"HarperCollins; Harper Voyager, an imprint of HarperCollinsPublisher",2026,"New York, NY",eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: SCIENCE FICTION Yamamoto, M. - Checked Out,Book::Belle Cooledge: SCIENCE FICTION Yamamoto, M. - Checked Out,Book::Galt: SCIENCE FICTION Yamamoto, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/774b61f5-36c1-6406-a1d4-f4d5a53953df-eng,"Black sci-fi short stories: anthology of new & classic tales",,9781839644801,,"Flame Tree Publishing",2021,London,Book,"Book::Central: SCIENCE FICTION Black - On Shelf,Book::Colonial Heights: SCIENCE FICTION Black - Checked Out,Book::Colusa Main Branch Adult Collection: Fic - On Shelf"
https://catalog.saclibrary.org/GroupedWork/46e5334c-3b7e-a238-7e7c-1a0df4451c59-eng,"The Cleveland Heights LGBTQ Sci-fi and Fantasy Role Playing Club","Henderson, Doug, 1972-",9781609387563,,"University of Iowa Press",2021,"Iowa City",Book,"Book::Carmichael: FICTION Henderson, D. - On Shelf,Book::North Natomas: FICTION Henderson, D. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bb422004-ceb1-4b1b-31cd-07b57a688641-eng,"Crimson lucre: debut novel of the EPSILON sci-fi thriller series","Roberts, Brian H., 1950-",9781736992104,,"Brian H. Roberts",2021,"[Place of publication not identified]",Book,"Book::Rio Linda: SCIENCE FICTION Roberts, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c6bcbe4b-05b4-be7b-9101-e7064eec1253-eng,"The alchemy of sorrow: a fantasy & sci-fi anthology of grief and hope",,9781952667947,,"Crimson Fox Publishing",2022,"Turner, OR",Book,"Book::Central: SCIENCE FICTION Alchemy - On Shelf,Book::Franklin: SCIENCE FICTION Alchemy - Checked Out,Book::South Natomas: SCIENCE FICTION Alchemy - On Shelf"
https://catalog.saclibrary.org/GroupedWork/876d9633-f506-a90c-575d-e852f86aa282-eng,"The heart goes last: a novel","Atwood, Margaret, 1939-",9781101912362,9781101924761,"Knopf Doubleday Publishing Group; Random House, Inc; Anchor Books, a division of Penguin Random House LLC; Books on Tape","2015 - 2016","New York; [United States]","eAudiobook;Audiobook - CD;eBook;Book","Book::Arcade: FICTION Atwood, M. - On Shelf,Book::McKinley: FICTION Atwood, M. - Checked Out,Book::South Natomas: FICTION Atwood, M. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/f0de558d-3db6-1db6-14a3-3596b84318bf-eng,"The man who could work miracles","Wells, H. G. (Herbert George), 1866-1946",9781169157866,,"Interactive Media; Kessinger Publishing; Findaway Voices","2010 - 2025","[LaVergne, TN]",eBook;Book;eAudiobook,"Book::Central: SCIENCE FICTION Wells, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f6deff17-5f58-45ea-4a84-eb98e3ea5b47-eng,"Beacon 23","Howey, Hugh",9780544839632,,"Houghton Mifflin Harcourt; Blackstone Publishing","2016 - 2023",Boston,eAudiobook;Book,"Book::Central: SCIENCE FICTION Howey, H. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/583f24d3-9516-72c4-da6e-5091fcd603b0-eng,"The underwater welder","Lemire, Jeff",9781603090742,,"IDW Publishing; Top Shelf Productions","2012 - 2015",Atlanta,"Graphic Novel/Manga;eComic","Graphic Novel/Manga::Belle Cooledge: GRAPHIC NOVEL Lemire, J. - On Shelf,Graphic Novel/Manga::Elk Grove: GRAPHIC NOVEL Lemire, J. - On Shelf,Graphic Novel/Manga::North Natomas: GRAPHIC NOVEL Lemire, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/88183dbe-51fd-a3c3-ad0c-0d3df4c5829e-eng,"No child of mine","Giraldes, Nichelle",9781728270357,,"Poisoned Pen Press; Sourcebooks Inc; Dreamscape Media",2023,"Naperville, Illinois",eBook;Book;eAudiobook,"Book::Arcade: FICTION Giraldes, N. - On Shelf,Book::Central: FICTION Giraldes, N. - On Shelf,Book::Belle Cooledge: FICTION Giraldes, N. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/702f0c96-5444-5316-d79f-90ced637545f-eng,"Nine goblins","Kingfisher, T",9781250400116,,"Tantor Media, Inc; Tordotcom / Tor Publishing Group; T Kingfisher","2013 - 2025","New York",eAudiobook;eBook;Book,"Book::Carmichael: SCIENCE FICTION Kingfisher, T. - Checked Out,Book::Central New Books - 4th Floor: SCIENCE FICTION Kingfisher, T. - Checked Out,Book::Elk Grove: SCIENCE FICTION Kingfisher, T. - Checked Out"
https://catalog.saclibrary.org/GroupedWork/1dfda053-462b-725e-0843-c294391dc8c2-eng,"Poison study","Snyder, Maria V",9780778324331,,"MIRA Books; Harlequin Audio; Mira","2005 - 2024",Ontario,eBook;Book;eAudiobook,
https://catalog.saclibrary.org/GroupedWork/8a7c24dd-bfa3-df7a-3d5f-66099959aad8-eng,"Ocean's Godori","Cho, Elaine U",9781638930594,,"Zando; Hillman Grad Books, a Zando imprint; Books on Tape",2024,"New York",eAudiobook;Book;eBook,"Book::Central: SCIENCE FICTION Cho, E. - On Shelf,Book::Belle Cooledge: SCIENCE FICTION Cho, E. - Checked Out,Book::Galt: SCIENCE FICTION Cho, E. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9e4fc30e-53f6-1406-20e7-335b93106e87-eng,"Full speed to a crash landing","Revis, Beth",9780756419462,,"Astra Publishing House; Dreamscape Media; DAW Books",2024,"New York",eAudiobook;Book;eBook,"Book::Carmichael: SCIENCE FICTION Revis, B. - On Shelf,Book::Central: SCIENCE FICTION Revis, B. - On Shelf,Book::Colonial Heights: SCIENCE FICTION Revis, B. - On Shelf"
