Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/7586b0a0-38e1-1358-38a5-d10595927c8d-eng,"Sci-fi chronicles: a visual history of the galaxy's greatest science fiction",,9781770852648,,"Firefly Books",2014,"Richmond Hill, Ontario",Book,"Book::Carmichael: 791.43615 S416 2014 - Checked Out,Book::Central: 791.43615 S416 2014 - On Shelf,Book::Rancho Cordova: 791.43615 S416 2014 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dc06d22a-05e0-bc54-378a-cb6b3a4d07b0-eng,"Attack of the sci-fi trivia","Lyons, Nick, 1983-",9780979371615,,"Ladder Press",2007,"[New York?]",Book,"Book::South Natomas: 791.43615 L991 2007 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/01dfd4e4-dcf9-0e77-8080-7592d8c7ccda-eng,"The future was now: madmen, mavericks, and the epic sci-fi summer of 1982","Nashawaty, Chris",9781250827050,,"Flatiron Books",2024,"New York",eBook;Book,"Book::Arcade: 791.4361 N253 2024 - On Shelf,Book::Central: 791.4361 N253 2024 - On Shelf,Book::North Sacramento-Hagginwood: 791.4361 N253 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6ac3176e-3f88-1bb0-b16a-b3ec4ff7beaa-eng,"Must-see sci-fi: 50 movies that are out of this world","De Forest, Sloan",9780762491520,,"Running Press",2018,Philadelphia,Book,"Book::Carmichael: 791.4375 D315 2018 - On Shelf,Book::Franklin: 791.4375 D315 2018 - On Shelf,Book::Galt: 791.4375 D315 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a58179ed-521a-da1d-6950-9744b9601fee-eng,"The conservative futurist: how to create the sci-fi world we were promised","Pethokoukis, James",9781546005544,,"Center Street",2023,Nashville,Book,"Book::Central: 330.973 P486 2023 - On Shelf,Book::Belle Cooledge: 330.973 P486 2023 - On Shelf,Book::South Natomas: 330.973 P486 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/57221e5f-8cd2-5fdb-2b37-c8fd087cc37a-eng,"Startalk: everything you ever need to know about space travel, sci-fi, the human race, the universe, and beyond",,9781426330889,,"National Geographic","2016 - 2017","Washington, D.C",Book,"Book::Central Teen Area - 3rd Floor: TEEN 520 T994 2017 - On Shelf,Book::Del Paso Heights Teen Area: TEEN 520 T994 2017 - Checked Out,Book::Folsom Children's Area: CHILDREN 520 TYS 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/c6234961-e196-58f2-a0dc-902cd2f3976f-eng,"Badass braids: from Vikings to Game of thrones, 45 maverick braids, buns, and twists for sci-fi and fantasy fanatics","Burns, Shannon",9781631064388,,"Race Point Publishing",2018,"New York, NY",Book,"Book::Central: 646.7247 B967 2018 - On Shelf,Book::Colonial Heights: 646.7247 B967 2018 - On Shelf,Book::Galt: 646.7247 B967 2018 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/4552a2a9-d02e-77a1-65d0-39eb998584b0-eng,"The bionic book: the Six Million Dollar Man and the Bionic Woman reconstructed : the cybernetic compendium to TV's most realistic sci-fi superhero shows","Pilato, Herbie J",9781593930837,,"BearManor Media",2007,"Duncan, OK",Book,"Book::Central: 791.45652 P637 2007 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0b7f2008-b77b-39a6-1fd5-cb13afd9215c-eng,"The ultimate RPG character backstory guide: prompts and activities to create compelling characters for horror, sci-fi, x-punk, and more","D'Amato, James",9781507217917,,"Adams Media",2022,"New York",Book,"Book::Central: 793.93 D155 2022 - On Shelf,Book::Rancho Cordova: 793.93 D155 2022 - On Shelf,Book::Sylvan Oaks: 793.93 D155 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b7d33321-972c-842b-b320-f1c9df74a69c-eng,"The rough guide to sci-fi movies","Scalzi, John, 1969-",9781843535201,,"Rough Guides",2005,London,Book,
https://catalog.saclibrary.org/GroupedWork/6b4973c0-8538-fd64-70fc-6fe118ea8481-eng,"Star Wars, age of resistance: villains","Taylor, Tom, 1978-",9781302917302,,"Marvel Entertainment; Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC","2019 - 2020","New York, NY","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Central Teen Area - 3rd Floor: TEEN GRAPHIC NOVEL Star Wars - On Shelf,Graphic Novel/Manga::Sacramento Public Library Storage: TEEN GRAPHIC NOVEL Star Wars - On Shelf"
