Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/70d1fbbb-0c0d-c996-4738-7756cea9020a-eng,"Sci-Fi Junior High","Seegert, Scott",9780316315166,,"Jimmy Patterson Books, Little, Brown and Company; Hachette Audio; Little, Brown Books for Young Readers",2017,"New York",eBook;Book;eAudiobook,"Book::Franklin Children's: CHILDREN FICTION Seegert, S. - Checked Out,Book::Colusa Main Branch Juvenile Collection: J Fic - On Shelf,Book::Folsom Children's Area: CHILDREN FICTION Martin, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/875507f3-41c3-c335-0c99-b58e46b8cd7f-eng,"Skyboy: a sci-fi action adventure novel","Aresty, Adam",9781636985114,,"Morgan James Publishing",2025,"New York",Book,"Book::Elk Grove Teen Area: TEEN FICTION Aresty, A. - On Shelf,Book::Franklin Teen: TEEN FICTION Aresty, A. - On Shelf,Book::South Natomas Teen Area: TEEN FICTION Aresty, A. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e9ad1232-9872-05e1-42e8-d735ea07ea98-eng,"Love beyond body, space, and time: an indigenous LGBT sci-fi anthology",,9780993997075,,"Bedside Press",2016,"Winnipeg, MB",Book,"Book::Carmichael Teen Area: TEEN FICTION Love - On Shelf,Book::Central Teen Area - 3rd Floor: TEEN FICTION Love - On Shelf,Book::Elk Grove Teen Area: TEEN FICTION Love - Display"
https://catalog.saclibrary.org/GroupedWork/0e776204-78d2-9fc2-93da-89545c099bec-eng,"Crash landing","Seegert, Scott",9780316315210,,"JIMMY Patterson Books, Little, Brown and Company; Hachette Audio; Little, Brown Books for Young Readers",2018,"New York; [New York]","eAudiobook;Audiobook - CD;Book;eBook",
https://catalog.saclibrary.org/GroupedWork/c4206987-8c38-05ce-cd15-18b4dad285bf-eng,Tin,"Kenny, Pádraig",9781338277555,,"Scholastic Audiobooks; Chicken House, Scholastic Inc; Scholastic Inc.",2019,"New York; New York, NY","Audiobook - CD;eBook;Book","Book::Arcade Children's Area: CHILDREN FICTION Kenny, P. - On Shelf,Book::Carmichael Children's Area: CHILDREN FICTION Kenny, P. - On Shelf,Book::Del Paso Heights Children's Area: CHILDREN FICTION Kenny, P. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/cca1a394-0f0c-452e-fb91-0fa66e04ea64-eng,"The Proto project: a sci-fi adventure of the mind","Johnson, Bryan R., 1977-",9781940556079,,"Candy Wrapper",2019,"[Chicago, Illinois]",Book,
https://catalog.saclibrary.org/GroupedWork/583f24d3-9516-72c4-da6e-5091fcd603b0-eng,"The underwater welder","Lemire, Jeff",9781603090742,,"IDW Publishing; Top Shelf Productions","2012 - 2015",Atlanta,"Graphic Novel/Manga;eComic","Graphic Novel/Manga::Belle Cooledge: GRAPHIC NOVEL Lemire, J. - On Shelf,Graphic Novel/Manga::Elk Grove: GRAPHIC NOVEL Lemire, J. - On Shelf,Graphic Novel/Manga::North Natomas: GRAPHIC NOVEL Lemire, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/6c357cd7-1a4c-e50c-b0e0-30186fbb5041-eng,"Phoebe the moonlight dragon","Mara, Maddy",9781338846607,,"Scholastic Inc.; Scholastic Inc","2022 - 2023","New York, NY",eAudiobook;eBook;Book,"Book::Central Kids Place - Lower Level: MOVING UP Mara, M. - On Shelf,Book::Belle Cooledge Children's Area: MOVING UP Mara, M. - Checked Out,Book::Courtland Children's Area: MOVING UP Mara, M. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/851370c2-61c8-b269-3e93-e851707d240c-eng,"The thief of worlds","Coville, Bruce",9780385392518,,"Full Cast Audio; Random House","2021 - 2022","New York",Book;eAudiobook,"Book::Carmichael Children's Area: CHILDREN FICTION Coville, B. - On Shelf,Book::North Natomas Children's Area: CHILDREN FICTION Coville, B. - On Shelf,Book::Folsom Children's Area: CHILDREN FICTION Coville, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/eb904a81-c65f-9033-43c7-5155f9d4013a-eng,"Where the wild things are","Sendak, Maurice",9780060254933,,"Harper & Row; HarperCollins; Scholastic Inc.","1987 - 2023","[New York]","eAudiobook;Picture Book","Picture Book::Carmichael Children's Area: PICTURE BOOK Sendak, M. - On Shelf,Picture Book::Central Kids Place - Lower Level: PICTURE BOOK Sendak, M. - Checked Out,Picture Book::Elk Grove Kids' Place: PICTURE BOOK Sendak, M. - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/569041b2-23b2-8504-ea0e-efa1e7a813f0-eng,"The way of the hive: a honey bee's story","Hosler, Jay (Jay S.)",9780063007369,,"Harper Alley, an imprint of HarperCollinsPublishers; HarperCollins Publishers",2021,"New York, NY","Graphic Novel/Manga;eComic","Graphic Novel/Manga::Franklin Children's: CHILDREN GRAPHIC NOVEL Way of the Hive - Checked Out,Graphic Novel/Manga::Woodland Public Library Children's Area: CHILDREN GRAPHIC NOVEL Hosler, J. - On Shelf"
