Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/11fe15fb-ef4d-c48d-2f78-73edae85de5f-eng,"Make your own sci-fi flick","Quijano, Jonathan",9781429675314,,"Capstone Press",2012,"North Mankato, Minn",Book,"Book::Carmichael Children's Area: CHILDREN 791.43615 Q66m 2012 - On Shelf,Book::Belle Cooledge Children's Area: CHILDREN 791.43615 Q66m 2012 - On Shelf,Book::Valley Hi-North Laguna Children's Area: CHILDREN 791.43615 Q66m 2012 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/57221e5f-8cd2-5fdb-2b37-c8fd087cc37a-eng,"Startalk: everything you ever need to know about space travel, sci-fi, the human race, the universe, and beyond",,9781426330889,,"National Geographic","2016 - 2017","Washington, D.C",Book,"Book::Central Teen Area - 3rd Floor: TEEN 520 T994 2017 - On Shelf,Book::Del Paso Heights Teen Area: TEEN 520 T994 2017 - Checked Out,Book::Folsom Children's Area: CHILDREN 520 TYS 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/daff9dc1-500c-2147-4c70-07b0f2cf1952-eng,"What would it take to build a time machine?","LaPierre, Yvette, 1963-",9781496666017,,"Capstone; Capstone Press, a Capstone imprint",2020,"North Mankato, Minnesota",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/6ce4d681-64ca-9a2e-e942-5f4bb7e6947e-eng,"What would it take to build a deflector shield?","Baxter, Roberta, 1952-",9781496666000,,"Capstone Press; Capstone",2020,"North Mankato, Minnesota",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/30cc4b7e-ade5-5e67-daf6-f3f8db6075f4-eng,"What would it take to make an invisibility cloak?","MacCarald, Clara, 1979-",9781496665942,,"Capstone Press; Capstone",2020,"North Mankato, Minnesota",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/92cd6997-7ea5-19bc-7830-7c91528b384c-eng,"What would it take to make a flying car?","Durkin, Megan Ray",9781496665966,,"Capstone Press; Capstone",2020,"North Mankato, Minnesota",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/516f95cd-63c6-d1ae-bec5-bbd2aa0e8226-eng,"What would it take to make an energy blade?","Baxter, Roberta, 1952-",9781496665973,,"Capstone Press; Capstone",2020,"North Mankato, Minnesota",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/31092f7c-b266-5fb7-38f9-2ee0338155bc-eng,"What would it take to upload a mind?","Durkin, Megan Ray",9781543591194,,"Capstone Press; Capstone pr inc; Capstone",2020,"North Mankato, Minnesota; [Place of publication not identified]",eBook;Book,
https://catalog.saclibrary.org/GroupedWork/3c0cca1c-c3d3-0cc0-6ecf-82d021303947-eng,"What would it take to make a jet pack?","Amin, Anita Nahta",9781543591187,,"Capstone Press",2020,"North Mankato, Minnesota",Book,
https://catalog.saclibrary.org/GroupedWork/3ffd7a01-eb5a-497c-0479-db2525e9abef-eng,"What would it take to make a hoverboard?","Amin, Anita Nahta",9781496665959,,"Capstone Press",2020,"North Mankato, Minnesota",Book,
